Year,Mediul de reședință,Raioane,Value
2014,,Căușeni,
2014,,Cimișlia,
2014,,Leova,
2014,,Ștefan Vodă,
2014,,Taraclia,
2014,,UTA Găgăuzia,51.4
2015,,,29.6
2015,Urban,,13.4
2015,Rural,,39.1
2015,,Mun. Chișinău,12.1
2015,,Nord,28.0
2015,,mun. Bălți,
2015,,Briceni,
2015,,Dondușeni,227.8
2015,,Drochia,104.5
2015,,Edineț,
2015,,Fălești,
2015,,Florești,96.4
2015,,Glodeni,
2015,,Ocnița,
2015,,Râșcani,
2015,,Sângerei,
2015,,Soroca,
2015,,Centru,36.8
2015,,Anenii Noi,
2015,,Călărași,98.7
2015,,Criuleni,196.3
2015,,Dubăsari,
2015,,Hâncești,
2015,,Ialoveni,
2015,,Nisporeni,
2015,,Orhei,63.7
2015,,Rezina,
2015,,Strășeni,79.7
2015,,Șoldănești,
2015,,Telenești,
2015,,Ungheni,
2015,,Sud,48.8
2015,,Basarabeasca,
2015,,Cahul,142.1
2015,,Cantemir,
2015,,Căușeni,
2015,,Cimișlia,163.7
2015,,Leova,
2015,,Ștefan Vodă,
2015,,Taraclia,
2015,,UTA Găgăuzia,
2016,,,17.7
2016,Urban,,40.1
2016,Rural,,4.1
2016,,Mun. Chișinău,47.3
2016,,Nord,
2016,,mun. Bălți,
2016,,Briceni,
2016,,Dondușeni,
2016,,Drochia,
2016,,Edineț,
2016,,Fălești,
2016,,Florești,
2016,,Glodeni,
2016,,Ocnița,
2016,,Râșcani,
2016,,Sângerei,
2016,,Soroca,
2016,,Centru,7.6
2016,,Anenii Noi,
2016,,Călărași,
2016,,Criuleni,
2016,,Dubăsari,
2016,,Hâncești,
2016,,Ialoveni,
2016,,Nisporeni,
2016,,Orhei,64.9
2016,,Rezina,
2016,,Strășeni,
2016,,Șoldănești,
2016,,Telenești,
2016,,Ungheni,
2016,,Sud,34.4
2016,,Basarabeasca,
2016,,Cahul,
2016,,Cantemir,
2016,,Căușeni,98.3
2016,,Cimișlia,
2016,,Leova,
2016,,Ștefan Vodă,
2016,,Taraclia,256.4
2016,,UTA Găgăuzia,
2017,,,16.5
2017,Urban,,7.2
2017,Rural,,22.2
2017,,Mun. Chișinău,
2017,,Nord,20.7
2017,,mun. Bălți,78.7
2017,,Briceni,156.7
2017,,Dondușeni,
2017,,Drochia,
2017,,Edineț,
2017,,Fălești,
2017,,Florești,
2017,,Glodeni,
2017,,Ocnița,
2017,,Râșcani,
2017,,Sângerei,
2017,,Soroca,
2017,,Centru,16.7
2017,,Anenii Noi,
2017,,Călărași,120.5
2017,,Criuleni,
2017,,Dubăsari,
2017,,Hâncești,
2017,,Ialoveni,80.3
2017,,Nisporeni,
2017,,Orhei,
2017,,Rezina,
2017,,Strășeni,
2017,,Șoldănești,
2017,,Telenești,
2017,,Ungheni,
2017,,Sud,37.3
2017,,Basarabeasca,
2017,,Cahul,81.4
2017,,Cantemir,153.6
2017,,Căușeni,
2017,,Cimișlia,
2017,,Leova,
2017,,Ștefan Vodă,
2017,,Taraclia,
2017,,UTA Găgăuzia,
2018,,,14.5
2018,Urban,,
2018,Rural,,23.5
2018,,Mun. Chișinău,
2018,,Nord,32.9
2018,,mun. Bălți,
2018,,Briceni,
2018,,Dondușeni,223.7
2018,,Drochia,
2018,,Edineț,
2018,,Fălești,212.3
2018,,Florești,
2018,,Glodeni,
2018,,Ocnița,
2018,,Râșcani,
2018,,Sângerei,
2018,,Soroca,
2018,,Centru,8.9
2018,,Anenii Noi,
2018,,Călărași,
2018,,Criuleni,
2018,,Dubăsari,
2018,,Hâncești,
2018,,Ialoveni,
2018,,Nisporeni,
2018,,Orhei,77.3
2018,,Rezina,
2018,,Strășeni,
2018,,Șoldănești,
2018,,Telenești,
2018,,Ungheni,
2018,,Sud,20.2
2018,,Basarabeasca,
2018,,Cahul,
2018,,Cantemir,
2018,,Căușeni,
2018,,Cimișlia,
2018,,Leova,
2018,,Ștefan Vodă,137.0
2018,,Taraclia,
2018,,UTA Găgăuzia,
2019,,,15.4
2019,Urban,,15.7
2019,Rural,,15.3
2019,,Mun. Chișinău,26.7
2019,,Nord,11.9
2019,,mun. Bălți,
2019,,Briceni,
2019,,Dondușeni,
2019,,Drochia,
2019,,Edineț,
2019,,Fălești,
2019,,Florești,124.7
2019,,Glodeni,
2019,,Ocnița,
2019,,Râșcani,
2019,,Sângerei,
2019,,Soroca,
2019,,Centru,19.4
2019,,Anenii Noi,
2019,,Călărași,139.5
2019,,Criuleni,
2019,,Dubăsari,
2019,,Hâncești,
2019,,Ialoveni,
2019,,Nisporeni,
2019,,Orhei,
2019,,Rezina,
2019,,Strășeni,
2019,,Șoldănești,
2019,,Telenești,
2019,,Ungheni,83.6
2019,,Sud,
2019,,Basarabeasca,
2019,,Cahul,
2019,,Cantemir,
2019,,Căușeni,
2019,,Cimișlia,
2019,,Leova,
2019,,Ștefan Vodă,
2019,,Taraclia,
2019,,UTA Găgăuzia,
2020,,,16.2
2020,Urban,,24.6
2020,Rural,,10.7
2020,,Mun. Chișinău,13.7
2020,,Nord,12.7
2020,,mun. Bălți,
2020,,Briceni,
2020,,Dondușeni,
2020,,Drochia,
2020,,Edineț,
2020,,Fălești,
2020,,Florești,
2020,,Glodeni,
2020,,Ocnița,271.7
2020,,Râșcani,
2020,,Sângerei,
2020,,Soroca,
2020,,Centru,20.4
2020,,Anenii Noi,
2020,,Călărași,
2020,,Criuleni,134.6
2020,,Dubăsari,
2020,,Hâncești,
2020,,Ialoveni,
2020,,Nisporeni,
2020,,Orhei,
2020,,Rezina,
2020,,Strășeni,
2020,,Șoldănești,229.9
2020,,Telenești,
2020,,Ungheni,
2020,,Sud,23.1
2020,,Basarabeasca,
2020,,Cahul,104.9
2020,,Cantemir,
2020,,Căușeni,
2020,,Cimișlia,
2020,,Leova,
2020,,Ștefan Vodă,
2020,,Taraclia,
2020,,UTA Găgăuzia,
2021,,,47.9
2021,Urban,,50.7
2021,Rural,,46.0
2021,,Mun. Chișinău,28.6
2021,,Nord,65.8
2021,,mun. Bălți,181.2
2021,,Briceni,
2021,,Dondușeni,
2021,,Drochia,
2021,,Edineț,167.8
2021,,Fălești,
2021,,Florești,144.3
2021,,Glodeni,
2021,,Ocnița,
2021,,Râșcani,
2021,,Sângerei,
2021,,Soroca,135.9
2021,,Centru,65.9
2021,,Anenii Noi,138.5
2021,,Călărași,163.9
2021,,Criuleni,144.5
2021,,Dubăsari,
2021,,Hâncești,
2021,,Ialoveni,105.2
2021,,Nisporeni,
2021,,Orhei,
2021,,Rezina,234.2
2021,,Strășeni,
2021,,Șoldănești,
2021,,Telenești,
2021,,Ungheni,94.4
2021,,Sud,24.5
2021,,Basarabeasca,
2021,,Cahul,112.0
2021,,Cantemir,
2021,,Căușeni,
2021,,Cimișlia,
2021,,Leova,
2021,,Ștefan Vodă,
2021,,Taraclia,
2021,,UTA Găgăuzia,
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Mun. Chișinău,
2022,,Nord,
2022,,mun. Bălți,
2022,,Briceni,
2022,,Dondușeni,
2022,,Drochia,
2022,,Edineț,
2022,,Fălești,
2022,,Florești,
2022,,Glodeni,
2022,,Ocnița,
2022,,Râșcani,
2022,,Sângerei,
2022,,Soroca,
2022,,Centru,
2022,,Anenii Noi,
2022,,Călărași,
2022,,Criuleni,
2022,,Dubăsari,
2022,,Hâncești,
2022,,Ialoveni,
2022,,Nisporeni,
2022,,Orhei,
2022,,Rezina,
2022,,Strășeni,
2022,,Șoldănești,
2022,,Telenești,
2022,,Ungheni,
2022,,Sud,
2022,,Basarabeasca,
2022,,Cahul,
2022,,Cantemir,
2022,,Căușeni,
2022,,Cimișlia,
2022,,Leova,
2022,,Ștefan Vodă,
2022,,Taraclia,
2022,,UTA Găgăuzia,
