Year,Sex,Grupa de vârstă,Raioane,Value
2012,,,Centru,
2012,,,Anenii Noi,
2012,,,Călărași,
2012,,,Criuleni,
2012,,,Dubăsari,
2012,,,Hâncești,
2012,,,Ialoveni,
2012,,,Nisporeni,
2012,,,Orhei,
2012,,,Rezina,
2012,,,Strășeni,
2012,,,Șoldănești,
2012,,,Telenești,
2012,,,Ungheni,
2012,,,Sud,
2012,,,Basarabeasca,
2012,,,Cahul,
2012,,,Cantemir,
2012,,,Căușeni,
2012,,,Cimișlia,
2012,,,Leova,
2012,,,Ștefan Vodă,
2012,,,Taraclia,
2012,,,UTA Găgăuzia,
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,15-24,,
2013,,25-34,,
2013,,35-44,,
2013,,45-54,,
2013,,55+,,
2013,,,Mun. Chișinău,
2013,,,Nord,
2013,,,mun. Bălți,
2013,,,Briceni,
2013,,,Dondușeni,
2013,,,Drochia,
2013,,,Edineț,
2013,,,Fălești,
2013,,,Florești,
2013,,,Glodeni,
2013,,,Ocnița,
2013,,,Râșcani,
2013,,,Sângerei,
2013,,,Soroca,
2013,,,Centru,
2013,,,Anenii Noi,
2013,,,Călărași,
2013,,,Criuleni,
2013,,,Dubăsari,
2013,,,Hâncești,
2013,,,Ialoveni,
2013,,,Nisporeni,
2013,,,Orhei,
2013,,,Rezina,
2013,,,Strășeni,
2013,,,Șoldănești,
2013,,,Telenești,
2013,,,Ungheni,
2013,,,Sud,
2013,,,Basarabeasca,
2013,,,Cahul,
2013,,,Cantemir,
2013,,,Căușeni,
2013,,,Cimișlia,
2013,,,Leova,
2013,,,Ștefan Vodă,
2013,,,Taraclia,
2013,,,UTA Găgăuzia,
2014,,,,6.5
2014,Bărbați,,,7.0
2014,Femei,,,5.9
2014,,15-24,,5.4
2014,,25-34,,3.5
2014,,35-44,,5.9
2014,,45-54,,11.7
2014,,55+,,11.1
2014,,,Mun. Chișinău,4.4
2014,,,Nord,
2014,,,mun. Bălți,8.0
2014,,,Briceni,7.2
2014,,,Dondușeni,7.3
2014,,,Drochia,6.9
2014,,,Edineț,8.8
2014,,,Fălești,6.0
2014,,,Florești,7.5
2014,,,Glodeni,5.4
2014,,,Ocnița,6.8
2014,,,Râșcani,7.1
2014,,,Sângerei,7.8
2014,,,Soroca,9.0
2014,,,Centru,
2014,,,Anenii Noi,5.9
2014,,,Călărași,7.9
2014,,,Criuleni,6.2
2014,,,Dubăsari,8.4
2014,,,Hâncești,5.6
2014,,,Ialoveni,5.6
2014,,,Nisporeni,6.4
2014,,,Orhei,7.0
2014,,,Rezina,7.9
2014,,,Strășeni,6.9
2014,,,Șoldănești,13.6
2014,,,Telenești,9.0
2014,,,Ungheni,6.2
2014,,,Sud,
2014,,,Basarabeasca,8.0
2014,,,Cahul,5.0
2014,,,Cantemir,6.1
2014,,,Căușeni,5.0
2014,,,Cimișlia,6.1
2014,,,Leova,5.3
2014,,,Ștefan Vodă,6.4
2014,,,Taraclia,8.3
2014,,,UTA Găgăuzia,10.0
2015,,,,6.5
2015,Bărbați,,,7.0
2015,Femei,,,6.0
2015,,15-24,,5.4
2015,,25-34,,3.6
2015,,35-44,,5.9
2015,,45-54,,11.7
2015,,55+,,11.1
2015,,,Mun. Chișinău,4.4
2015,,,Nord,
2015,,,mun. Bălți,7.7
2015,,,Briceni,7.3
2015,,,Dondușeni,7.2
2015,,,Drochia,7.0
2015,,,Edineț,8.9
2015,,,Fălești,5.9
2015,,,Florești,7.4
2015,,,Glodeni,5.3
2015,,,Ocnița,6.8
2015,,,Râșcani,7.0
2015,,,Sângerei,7.9
2015,,,Soroca,8.8
2015,,,Centru,
2015,,,Anenii Noi,5.9
2015,,,Călărași,8.0
2015,,,Criuleni,6.3
2015,,,Dubăsari,8.1
2015,,,Hâncești,5.8
2015,,,Ialoveni,5.6
2015,,,Nisporeni,6.4
2015,,,Orhei,7.1
2015,,,Rezina,8.5
2015,,,Strășeni,7.0
2015,,,Șoldănești,15.1
2015,,,Telenești,9.2
2015,,,Ungheni,6.1
2015,,,Sud,
2015,,,Basarabeasca,8.2
2015,,,Cahul,5.1
2015,,,Cantemir,6.1
2015,,,Căușeni,4.9
2015,,,Cimișlia,6.3
2015,,,Leova,5.2
2015,,,Ștefan Vodă,6.3
2015,,,Taraclia,8.3
2015,,,UTA Găgăuzia,10.2
2016,,,,6.5
2016,Bărbați,,,7.1
2016,Femei,,,6.0
2016,,15-24,,5.3
2016,,25-34,,3.6
2016,,35-44,,5.9
2016,,45-54,,11.6
2016,,55+,,11.3
2016,,,Mun. Chișinău,4.4
2016,,,Nord,
2016,,,mun. Bălți,7.5
2016,,,Briceni,7.6
2016,,,Dondușeni,7.1
2016,,,Drochia,7.0
2016,,,Edineț,9.0
2016,,,Fălești,5.8
2016,,,Florești,7.4
2016,,,Glodeni,5.3
2016,,,Ocnița,6.8
2016,,,Râșcani,7.1
2016,,,Sângerei,8.0
2016,,,Soroca,8.7
2016,,,Centru,
2016,,,Anenii Noi,6.0
2016,,,Călărași,8.2
2016,,,Criuleni,6.2
2016,,,Dubăsari,8.1
2016,,,Hâncești,5.8
2016,,,Ialoveni,5.5
2016,,,Nisporeni,6.4
2016,,,Orhei,7.1
2016,,,Rezina,9.0
2016,,,Strășeni,7.1
2016,,,Șoldănești,16.4
2016,,,Telenești,9.2
2016,,,Ungheni,6.1
2016,,,Sud,
2016,,,Basarabeasca,8.0
2016,,,Cahul,5.2
2016,,,Cantemir,6.0
2016,,,Căușeni,5.0
2016,,,Cimișlia,6.2
2016,,,Leova,5.2
2016,,,Ștefan Vodă,6.3
2016,,,Taraclia,8.4
2016,,,UTA Găgăuzia,10.2
2017,,,,6.6
2017,Bărbați,,,7.2
2017,Femei,,,6.0
2017,,15-24,,5.6
2017,,25-34,,3.7
2017,,35-44,,5.9
2017,,45-54,,11.4
2017,,55+,,11.2
2017,,,Mun. Chișinău,4.3
2017,,,Nord,
2017,,,mun. Bălți,7.3
2017,,,Briceni,7.7
2017,,,Dondușeni,7.1
2017,,,Drochia,6.9
2017,,,Edineț,9.2
2017,,,Fălești,5.8
2017,,,Florești,7.4
2017,,,Glodeni,5.3
2017,,,Ocnița,6.8
2017,,,Râșcani,6.9
2017,,,Sângerei,8.2
2017,,,Soroca,8.7
2017,,,Centru,
2017,,,Anenii Noi,6.2
2017,,,Călărași,8.5
2017,,,Criuleni,6.2
2017,,,Dubăsari,8.3
2017,,,Hâncești,6.0
2017,,,Ialoveni,5.6
2017,,,Nisporeni,6.5
2017,,,Orhei,7.2
2017,,,Rezina,9.6
2017,,,Strășeni,7.2
2017,,,Șoldănești,17.5
2017,,,Telenești,9.5
2017,,,Ungheni,6.2
2017,,,Sud,
2017,,,Basarabeasca,7.9
2017,,,Cahul,5.3
2017,,,Cantemir,6.2
2017,,,Căușeni,5.0
2017,,,Cimișlia,6.3
2017,,,Leova,5.6
2017,,,Ștefan Vodă,6.3
2017,,,Taraclia,8.6
2017,,,UTA Găgăuzia,10.3
2018,,,,6.6
2018,Bărbați,,,7.2
2018,Femei,,,6.0
2018,,15-24,,5.3
2018,,25-34,,3.7
2018,,35-44,,5.7
2018,,45-54,,11.1
2018,,55+,,11.4
2018,,,Mun. Chișinău,4.3
2018,,,Nord,
2018,,,mun. Bălți,7.2
2018,,,Briceni,7.8
2018,,,Dondușeni,6.9
2018,,,Drochia,6.9
2018,,,Edineț,9.2
2018,,,Fălești,5.8
2018,,,Florești,7.4
2018,,,Glodeni,5.2
2018,,,Ocnița,6.8
2018,,,Râșcani,6.7
2018,,,Sângerei,8.3
2018,,,Soroca,8.7
2018,,,Centru,
2018,,,Anenii Noi,6.3
2018,,,Călărași,8.5
2018,,,Criuleni,6.2
2018,,,Dubăsari,8.2
2018,,,Hâncești,6.0
2018,,,Ialoveni,5.6
2018,,,Nisporeni,6.5
2018,,,Orhei,7.1
2018,,,Rezina,9.9
2018,,,Strășeni,7.3
2018,,,Șoldănești,17.8
2018,,,Telenești,9.8
2018,,,Ungheni,6.2
2018,,,Sud,
2018,,,Basarabeasca,7.8
2018,,,Cahul,5.4
2018,,,Cantemir,6.4
2018,,,Căușeni,4.9
2018,,,Cimișlia,6.4
2018,,,Leova,5.7
2018,,,Ștefan Vodă,6.3
2018,,,Taraclia,8.3
2018,,,UTA Găgăuzia,9.7
2019,,,,6.7
2019,Bărbați,,,7.4
2019,Femei,,,6.1
2019,,15-24,,5.6
2019,,25-34,,3.7
2019,,35-44,,5.7
2019,,45-54,,10.9
2019,,55+,,11.6
2019,,,Mun. Chișinău,4.3
2019,,,Nord,
2019,,,mun. Bălți,7.1
2019,,,Briceni,8.0
2019,,,Dondușeni,7.1
2019,,,Drochia,7.1
2019,,,Edineț,9.3
2019,,,Fălești,6.1
2019,,,Florești,7.6
2019,,,Glodeni,5.5
2019,,,Ocnița,7.2
2019,,,Râșcani,6.9
2019,,,Sângerei,8.6
2019,,,Soroca,9.0
2019,,,Centru,
2019,,,Anenii Noi,6.7
2019,,,Călărași,8.8
2019,,,Criuleni,6.4
2019,,,Dubăsari,8.4
2019,,,Hâncești,6.3
2019,,,Ialoveni,5.8
2019,,,Nisporeni,6.8
2019,,,Orhei,7.4
2019,,,Rezina,9.9
2019,,,Strășeni,7.4
2019,,,Șoldănești,17.7
2019,,,Telenești,10.2
2019,,,Ungheni,6.5
2019,,,Sud,
2019,,,Basarabeasca,8.3
2019,,,Cahul,5.6
2019,,,Cantemir,6.6
2019,,,Căușeni,5.2
2019,,,Cimișlia,6.7
2019,,,Leova,5.9
2019,,,Ștefan Vodă,6.5
2019,,,Taraclia,8.3
2019,,,UTA Găgăuzia,9.6
2020,,,,6.6
2020,Bărbați,,,7.3
2020,Femei,,,6.0
2020,,15-24,,5.6
2020,,25-34,,3.7
2020,,35-44,,5.5
2020,,45-54,,10.5
2020,,55+,,11.6
2020,,,Mun. Chișinău,4.2
2020,,,Nord,
2020,,,mun. Bălți,7.0
2020,,,Briceni,7.9
2020,,,Dondușeni,7.2
2020,,,Drochia,7.1
2020,,,Edineț,9.3
2020,,,Fălești,6.1
2020,,,Florești,7.6
2020,,,Glodeni,5.7
2020,,,Ocnița,7.2
2020,,,Râșcani,7.0
2020,,,Sângerei,8.7
2020,,,Soroca,8.9
2020,,,Centru,
2020,,,Anenii Noi,6.8
2020,,,Călărași,8.9
2020,,,Criuleni,6.4
2020,,,Dubăsari,8.3
2020,,,Hâncești,6.3
2020,,,Ialoveni,5.8
2020,,,Nisporeni,6.9
2020,,,Orhei,7.4
2020,,,Rezina,9.9
2020,,,Strășeni,7.4
2020,,,Șoldănești,17.6
2020,,,Telenești,9.9
2020,,,Ungheni,6.6
2020,,,Sud,
2020,,,Basarabeasca,8.4
2020,,,Cahul,5.6
2020,,,Cantemir,6.8
2020,,,Căușeni,5.3
2020,,,Cimișlia,6.5
2020,,,Leova,5.8
2020,,,Ștefan Vodă,6.5
2020,,,Taraclia,8.1
2020,,,UTA Găgăuzia,9.3
2021,,,,6.5
2021,Bărbați,,,7.1
2021,Femei,,,5.8
2021,,15-24,,5.7
2021,,25-34,,3.6
2021,,35-44,,5.3
2021,,45-54,,10.0
2021,,55+,,11.1
2021,,,Mun. Chișinău,4.0
2021,,,Nord,
2021,,,mun. Bălți,6.7
2021,,,Briceni,7.7
2021,,,Dondușeni,7.0
2021,,,Drochia,6.9
2021,,,Edineț,9.2
2021,,,Fălești,6.1
2021,,,Florești,7.3
2021,,,Glodeni,5.6
2021,,,Ocnița,7.0
2021,,,Râșcani,6.7
2021,,,Sângerei,8.5
2021,,,Soroca,8.6
2021,,,Centru,
2021,,,Anenii Noi,6.7
2021,,,Călărași,8.7
2021,,,Criuleni,6.3
2021,,,Dubăsari,8.4
2021,,,Hâncești,6.1
2021,,,Ialoveni,5.8
2021,,,Nisporeni,6.9
2021,,,Orhei,7.3
2021,,,Rezina,9.4
2021,,,Strășeni,7.2
2021,,,Șoldănești,17.1
2021,,,Telenești,10.1
2021,,,Ungheni,6.6
2021,,,Sud,
2021,,,Basarabeasca,8.1
2021,,,Cahul,5.5
2021,,,Cantemir,6.5
2021,,,Căușeni,5.2
2021,,,Cimișlia,6.4
2021,,,Leova,5.9
2021,,,Ștefan Vodă,6.5
2021,,,Taraclia,7.5
2021,,,UTA Găgăuzia,8.9
2022,,,,6.2
2022,Bărbați,,,6.9
2022,Femei,,,5.6
2022,,15-24,,5.9
2022,,25-34,,3.4
2022,,35-44,,5.4
2022,,45-54,,9.8
2022,,55+,,10.4
2022,,,Mun. Chișinău,4.0
2022,,,Nord,
2022,,,mun. Bălți,6.4
2022,,,Briceni,7.2
2022,,,Dondușeni,6.3
2022,,,Drochia,6.6
2022,,,Edineț,8.7
2022,,,Fălești,6.0
2022,,,Florești,7.1
2022,,,Glodeni,5.5
2022,,,Ocnița,6.9
2022,,,Râșcani,6.4
2022,,,Sângerei,8.3
2022,,,Soroca,7.9
2022,,,Centru,
2022,,,Anenii Noi,6.5
2022,,,Călărași,8.3
2022,,,Criuleni,6.0
2022,,,Dubăsari,8.0
2022,,,Hâncești,6.1
2022,,,Ialoveni,5.7
2022,,,Nisporeni,6.8
2022,,,Orhei,7.1
2022,,,Rezina,9.0
2022,,,Strășeni,7.1
2022,,,Șoldănești,16.0
2022,,,Telenești,9.7
2022,,,Ungheni,6.4
2022,,,Sud,
2022,,,Basarabeasca,8.0
2022,,,Cahul,5.4
2022,,,Cantemir,6.3
2022,,,Căușeni,5.1
2022,,,Cimișlia,6.1
2022,,,Leova,5.8
2022,,,Ștefan Vodă,6.1
2022,,,Taraclia,6.9
2022,,,UTA Găgăuzia,8.4
