Year,Sex,Grupa de vârstă,Regiuni statistice,Ocupaţii,Value
2015,,15-24,,,10.4
2015,,25 and over,,,9.5
2015,,,Mun. Chisnau,,14.5
2015,,,Nord,,7.1
2015,,,Centru,,6.9
2015,,,Sud,,10.0
2015,,,,"Legislators, senior officials and managers",11.7
2015,,,,Professionals,5.3
2015,,,,Technicians and associate professionals,7.6
2015,,,,Clerical support workers,6.4
2015,,,,Service and shop and Sales Workers,0.6
2015,,,,Craft and related trades workers,41.2
2015,,,,Plant and machine operators and assemblers,21.0
2015,,,,Elementary occupations,10.5
2016,,,,,9.5
2016,Bărbați,,,,9.5
2016,Femei,,,,9.5
2016,,15-24,,,12.4
2016,,25 and over,,,9.3
2016,,,Mun. Chisnau,,14.4
2016,,,Nord,,7.0
2016,,,Centru,,7.3
2016,,,Sud,,9.8
2016,,,,"Legislators, senior officials and managers",12.8
2016,,,,Professionals,4.6
2016,,,,Technicians and associate professionals,7.3
2016,,,,Clerical support workers,6.6
2016,,,,Service and shop and Sales Workers,0.3
2016,,,,Craft and related trades workers,42.7
2016,,,,Plant and machine operators and assemblers,23.3
2016,,,,Elementary occupations,10.3
2017,,,,,8.9
2017,Bărbați,,,,8.1
2017,Femei,,,,9.8
2017,,15-24,,,13.5
2017,,25 and over,,,8.6
2017,,,Mun. Chisnau,,11.7
2017,,,Nord,,9.0
2017,,,Centru,,7.4
2017,,,Sud,,7.1
2017,,,,"Legislators, senior officials and managers",13.4
2017,,,,Professionals,4.0
2017,,,,Technicians and associate professionals,5.1
2017,,,,Clerical support workers,6.8
2017,,,,Service and shop and Sales Workers,0.2
2017,,,,Craft and related trades workers,42.6
2017,,,,Plant and machine operators and assemblers,21.0
2017,,,,Elementary occupations,9.4
2018,,,,,9.0
2018,Bărbați,,,,9.0
2018,Femei,,,,9.0
2018,,15-24,,,13.0
2018,,25 and over,,,8.7
2018,,,Mun. Chisnau,,12.0
2018,,,Nord,,8.8
2018,,,Centru,,7.5
2018,,,Sud,,7.5
2018,,,,"Legislators, senior officials and managers",13.8
2018,,,,Professionals,3.4
2018,,,,Technicians and associate professionals,6.1
2018,,,,Clerical support workers,7.6
2018,,,,Service and shop and Sales Workers,0.3
2018,,,,Craft and related trades workers,43.3
2018,,,,Plant and machine operators and assemblers,15.8
2018,,,,Elementary occupations,10.1
2019,,,,,12.1
2019,Bărbați,,,,11.2
2019,Femei,,,,13.0
2019,,15-24,,,17.7
2019,,25 and over,,,11.7
2019,,,Mun. Chisnau,,12.3
2019,,,Nord,,10.8
2019,,,Centru,,15.2
2019,,,Sud,,8.9
2019,,,,"Legislators, senior officials and managers",7.1
2019,,,,Professionals,4.6
2019,,,,Technicians and associate professionals,6.9
2019,,,,Clerical support workers,7.0
2019,,,,Service and shop and Sales Workers,1.1
2019,,,,Craft and related trades workers,42.6
2019,,,,Plant and machine operators and assemblers,23.5
2019,,,,Elementary occupations,10.1
2020,,,,,11.7
2020,Bărbați,,,,10.3
2020,Femei,,,,13.3
2020,,15-24,,,17.5
2020,,25 and over,,,11.4
2020,,,Mun. Chisnau,,12.3
2020,,,Nord,,10.1
2020,,,Centru,,14.6
2020,,,Sud,,8.9
2020,,,,"Legislators, senior officials and managers",6.6
2020,,,,Professionals,4.5
2020,,,,Technicians and associate professionals,6.3
2020,,,,Clerical support workers,6.9
2020,,,,Service and shop and Sales Workers,1.3
2020,,,,Craft and related trades workers,38.4
2020,,,,Plant and machine operators and assemblers,27.0
2020,,,,Elementary occupations,10.6
2021,,,,,11.9
2021,Bărbați,,,,10.6
2021,Femei,,,,13.4
2021,,15-24,,,17.4
2021,,25 and over,,,11.6
2021,,,Mun. Chisnau,,14.1
2021,,,Nord,,10.7
2021,,,Centru,,13.3
2021,,,Sud,,8.2
2021,,,,"Legislators, senior officials and managers",7.9
2021,,,,Professionals,4.4
2021,,,,Technicians and associate professionals,7.1
2021,,,,Clerical support workers,10.7
2021,,,,Service and shop and Sales Workers,1.0
2021,,,,Craft and related trades workers,38.6
2021,,,,Plant and machine operators and assemblers,28.7
2021,,,,Elementary occupations,9.0
2022,,,,,12.4
2022,Bărbați,,,,11.4
2022,Femei,,,,13.4
2022,,15-24,,,14.7
2022,,25 and over,,,12.2
2022,,,Mun. Chisnau,,12.8
2022,,,Nord,,11.4
2022,,,Centru,,14.5
2022,,,Sud,,9.6
2022,,,,"Legislators, senior officials and managers",9.7
2022,,,,Professionals,4.6
2022,,,,Technicians and associate professionals,9.6
2022,,,,Clerical support workers,12.0
2022,,,,Service and shop and Sales Workers,0.6
2022,,,,Craft and related trades workers,38.2
2022,,,,Plant and machine operators and assemblers,31.7
2022,,,,Elementary occupations,8.5
