Year,Activități economice,Raioanele/Municipiile care dețin stații de epurare,Value
2017,,Nisporeni,57.9
2017,,Orhei,19.6
2017,,Rezina,3.2
2017,,Sângerei,7.7
2017,,Telenești,0.0
2017,,UTA Găgăguzia,14.0
2018,,,18.0
2018,"Agricultura, silvicultura și pescuit",,3.7
2018,Industria prelucrătoare,,77.8
2018,"Energia electrică, gaze și apă",,17.2
2018,Alte activități,,51.9
2018,,Mun. Chișinău,99.3
2018,,Mun. Bălți,99.3
2018,,Cahul,86.7
2018,,Călărași,84.9
2018,,Drochia,42.2
2018,,Edineț,69.2
2018,,Florești,0.0
2018,,Glodeni,0.0
2018,,Hâncești,0.0
2018,,Ialoveni,26.7
2018,,Nisporeni,61.1
2018,,Orhei,16.1
2018,,Rezina,6.5
2018,,Sângerei,8.3
2018,,Telenești,60.0
2018,,UTA Găgăguzia,7.8
2019,,,18.1
2019,"Agricultura, silvicultura și pescuit",,3.7
2019,Industria prelucrătoare,,79.5
2019,"Energia electrică, gaze și apă",,17.2
2019,Alte activități,,45.5
2019,,Mun. Chișinău,99.2
2019,,Mun. Bălți,99.3
2019,,Cahul,91.3
2019,,Călărași,50.0
2019,,Drochia,40.6
2019,,Edineț,68.0
2019,,Florești,0.0
2019,,Glodeni,0.0
2019,,Hâncești,0.0
2019,,Ialoveni,29.4
2019,,Nisporeni,60.0
2019,,Orhei,52.8
2019,,Rezina,6.3
2019,,Sângerei,8.3
2019,,Telenești,60.0
2019,,UTA Găgăguzia,8.5
2020,,,17.7
2020,"Agricultura, silvicultura și pescuit",,3.7
2020,Industria prelucrătoare,,79.0
2020,"Energia electrică, gaze și apă",,16.8
2020,Alte activități,,48.7
2020,,Mun. Chișinău,99.0
2020,,Mun. Bălți,99.2
2020,,Cahul,89.8
2020,,Călărași,68.6
2020,,Drochia,35.9
2020,,Edineț,69.2
2020,,Florești,0.0
2020,,Glodeni,0.0
2020,,Hâncești,0.0
2020,,Ialoveni,23.5
2020,,Nisporeni,69.6
2020,,Orhei,83.2
2020,,Rezina,6.3
2020,,Sângerei,8.3
2020,,Telenești,60.0
2020,,UTA Găgăguzia,10.1
2021,,,18.1
2021,"Agricultura, silvicultura și pescuit",,3.7
2021,Industria prelucrătoare,,81.3
2021,"Energia electrică, gaze și apă",,17.0
2021,Alte activități,,47.1
2021,,Mun. Chișinău,99.0
2021,,Mun. Bălți,99.4
2021,,Cahul,99.1
2021,,Călărași,58.0
2021,,Drochia,32.5
2021,,Edineț,78.1
2021,,Florești,0.0
2021,,Glodeni,0.0
2021,,Hâncești,0.0
2021,,Ialoveni,22.2
2021,,Nisporeni,69.6
2021,,Orhei,83.9
2021,,Rezina,6.1
2021,,Sângerei,8.0
2021,,Telenești,60.0
2021,,UTA Găgăguzia,9.4
2022,,,
2022,"Agricultura, silvicultura și pescuit",,
2022,Industria prelucrătoare,,
2022,"Energia electrică, gaze și apă",,
2022,Alte activități,,
2022,,Mun. Chișinău,
2022,,Mun. Bălți,
2022,,Cahul,
2022,,Călărași,
2022,,Drochia,
2022,,Edineț,
2022,,Florești,
2022,,Glodeni,
2022,,Hâncești,
2022,,Ialoveni,
2022,,Nisporeni,
2022,,Orhei,
2022,,Rezina,
2022,,Sângerei,
2022,,Telenești,
2022,,UTA Găgăguzia,
