Year,Indicatori,"Personal medical la 10.000 populație, în aspect teritorial",Value
2015,,Taraclia,79.6
2015,,UTA Găgăuzia,107.3
2016,Numărul personalului medical  la 10 000 populatie,,138.5
2016,Numărul de medici la 10 000 populație,,46.9
2016,Numărul personalului medical cu studii medii la 10 000 populație,,91.6
2016,Numărul de stomatologi și dentiști la 10 000 populație,,6.2
2016,Numărul de farmaciști la 10 000 populație,,5.9
2016,,Total țară,138.5
2016,,Mun. Chișinău,81.8
2016,,Nord,93.0
2016,,mun. Bălți,165.9
2016,,Briceni,78.8
2016,,Dondușeni,88.2
2016,,Drochia,81.6
2016,,Edineț,96.3
2016,,Fălești,68.8
2016,,Florești,80.5
2016,,Glodeni,76.6
2016,,Ocnița,81.3
2016,,Râșcani,86.7
2016,,Sângerei,72.3
2016,,Soroca,97.2
2016,,Centru,70.9
2016,,Anenii Noi,64.5
2016,,Călărași,76.0
2016,,Criuleni,64.1
2016,,Dubăsari,45.5
2016,,Hâncești,70.1
2016,,Ialoveni,58.0
2016,,Nisporeni,79.4
2016,,Orhei,86.2
2016,,Rezina,80.3
2016,,Strășeni,63.6
2016,,Șoldănești,76.3
2016,,Telenești,72.3
2016,,Ungheni,76.7
2016,,Sud,79.1
2016,,Basarabeasca,87.2
2016,,Cahul,88.6
2016,,Cantemir,78.9
2016,,Căușeni,74.7
2016,,Cimișlia,82.6
2016,,Leova,68.0
2016,,Ștefan Vodă,71.7
2016,,Taraclia,79.7
2016,,UTA Găgăuzia,108.9
2017,Numărul personalului medical  la 10 000 populatie,,139.7
2017,Numărul de medici la 10 000 populație,,47.7
2017,Numărul personalului medical cu studii medii la 10 000 populație,,92.0
2017,Numărul de stomatologi și dentiști la 10 000 populație,,6.3
2017,Numărul de farmaciști la 10 000 populație,,6.0
2017,,Total țară,139.7
2017,,Mun. Chișinău,80.7
2017,,Nord,93.1
2017,,mun. Bălți,165.4
2017,,Briceni,80.9
2017,,Dondușeni,88.0
2017,,Drochia,78.4
2017,,Edineț,99.1
2017,,Fălești,68.8
2017,,Florești,82.0
2017,,Glodeni,76.6
2017,,Ocnița,79.2
2017,,Râșcani,86.9
2017,,Sângerei,70.8
2017,,Soroca,97.3
2017,,Centru,71.6
2017,,Anenii Noi,69.3
2017,,Călărași,77.9
2017,,Criuleni,63.8
2017,,Dubăsari,47.1
2017,,Hâncești,70.1
2017,,Ialoveni,61.9
2017,,Nisporeni,79.0
2017,,Orhei,86.2
2017,,Rezina,78.6
2017,,Strășeni,63.4
2017,,Șoldănești,66.9
2017,,Telenești,73.7
2017,,Ungheni,77.7
2017,,Sud,80.1
2017,,Basarabeasca,89.3
2017,,Cahul,94.1
2017,,Cantemir,79.4
2017,,Căușeni,73.1
2017,,Cimișlia,83.0
2017,,Leova,70.8
2017,,Ștefan Vodă,71.0
2017,,Taraclia,76.6
2017,,UTA Găgăuzia,102.2
2018,Numărul personalului medical  la 10 000 populatie,,136.4
2018,Numărul de medici la 10 000 populație,,47.1
2018,Numărul personalului medical cu studii medii la 10 000 populație,,89.3
2018,Numărul de stomatologi și dentiști la 10 000 populație,,6.4
2018,Numărul de farmaciști la 10 000 populație,,6.3
2018,,Total țară,136.4
2018,,Mun. Chișinău,78.3
2018,,Nord,91.1
2018,,mun. Bălți,157.6
2018,,Briceni,80.2
2018,,Dondușeni,85.4
2018,,Drochia,77.3
2018,,Edineț,100.2
2018,,Fălești,66.0
2018,,Florești,80.7
2018,,Glodeni,74.9
2018,,Ocnița,79.5
2018,,Râșcani,81.2
2018,,Sângerei,71.6
2018,,Soroca,96.2
2018,,Centru,70.9
2018,,Anenii Noi,64.0
2018,,Călărași,77.3
2018,,Criuleni,65.5
2018,,Dubăsari,49.2
2018,,Hâncești,70.4
2018,,Ialoveni,59.9
2018,,Nisporeni,84.5
2018,,Orhei,85.8
2018,,Rezina,76.7
2018,,Strășeni,61.4
2018,,Șoldănești,72.9
2018,,Telenești,70.5
2018,,Ungheni,75.7
2018,,Sud,78.4
2018,,Basarabeasca,92.7
2018,,Cahul,91.5
2018,,Cantemir,81.8
2018,,Căușeni,71.7
2018,,Cimișlia,78.6
2018,,Leova,67.6
2018,,Ștefan Vodă,67.8
2018,,Taraclia,75.8
2018,,UTA Găgăuzia,99.5
2019,Numărul personalului medical  la 10 000 populatie,,136.7
2019,Numărul de medici la 10 000 populație,,47.5
2019,Numărul personalului medical cu studii medii la 10 000 populație,,89.2
2019,Numărul de stomatologi și dentiști la 10 000 populație,,6.4
2019,Numărul de farmaciști la 10 000 populație,,6.9
2019,,Total țară,136.7
2019,,Mun. Chișinău,76.6
2019,,Nord,90.3
2019,,mun. Bălți,154.0
2019,,Briceni,80.2
2019,,Dondușeni,84.3
2019,,Drochia,76.2
2019,,Edineț,100.8
2019,,Fălești,66.8
2019,,Florești,78.6
2019,,Glodeni,75.9
2019,,Ocnița,78.9
2019,,Râșcani,80.1
2019,,Sângerei,69.9
2019,,Soroca,96.5
2019,,Centru,71.9
2019,,Anenii Noi,66.1
2019,,Călărași,77.8
2019,,Criuleni,67.5
2019,,Dubăsari,47.4
2019,,Hâncești,70.5
2019,,Ialoveni,58.1
2019,,Nisporeni,86.8
2019,,Orhei,86.7
2019,,Rezina,76.9
2019,,Strășeni,62.5
2019,,Șoldănești,79.9
2019,,Telenești,75.0
2019,,Ungheni,75.5
2019,,Sud,79.1
2019,,Basarabeasca,89.2
2019,,Cahul,92.5
2019,,Cantemir,80.8
2019,,Căușeni,73.5
2019,,Cimișlia,80.2
2019,,Leova,69.9
2019,,Ștefan Vodă,68.6
2019,,Taraclia,74.4
2019,,UTA Găgăuzia,97.5
2020,Numărul personalului medical  la 10 000 populatie,,135.5
2020,Numărul de medici la 10 000 populație,,47.2
2020,Numărul personalului medical cu studii medii la 10 000 populație,,88.3
2020,Numărul de stomatologi și dentiști la 10 000 populație,,6.3
2020,Numărul de farmaciști la 10 000 populație,,4.6
2020,,Total țară,135.5
2020,,Mun. Chișinău,74.5
2020,,Nord,87.6
2020,,mun. Bălți,145.1
2020,,Briceni,78.3
2020,,Dondușeni,82.8
2020,,Drochia,75.2
2020,,Edineț,98.0
2020,,Fălești,64.8
2020,,Florești,77.9
2020,,Glodeni,74.1
2020,,Ocnița,76.7
2020,,Râșcani,79.5
2020,,Sângerei,69.2
2020,,Soroca,91.3
2020,,Centru,71.0
2020,,Anenii Noi,68.0
2020,,Călărași,77.9
2020,,Criuleni,66.3
2020,,Dubăsari,49.4
2020,,Hâncești,68.8
2020,,Ialoveni,58.4
2020,,Nisporeni,84.7
2020,,Orhei,87.2
2020,,Rezina,71.3
2020,,Strășeni,61.5
2020,,Șoldănești,77.7
2020,,Telenești,71.7
2020,,Ungheni,74.6
2020,,Sud,78.1
2020,,Basarabeasca,82.3
2020,,Cahul,90.8
2020,,Cantemir,82.1
2020,,Căușeni,73.6
2020,,Cimișlia,81.0
2020,,Leova,68.6
2020,,Ștefan Vodă,68.1
2020,,Taraclia,70.7
2020,,UTA Găgăuzia,97.1
2021,Numărul personalului medical  la 10 000 populatie,,138.9
2021,Numărul de medici la 10 000 populație,,46.9
2021,Numărul personalului medical cu studii medii la 10 000 populație,,92.0
2021,Numărul de stomatologi și dentiști la 10 000 populație,,5.9
2021,Numărul de farmaciști la 10 000 populație,,6.7
2021,,Total țară,138.9
2021,,Mun. Chișinău,75.4
2021,,Nord,87.2
2021,,mun. Bălți,146.1
2021,,Briceni,76.8
2021,,Dondușeni,78.9
2021,,Drochia,73.5
2021,,Edineț,96.9
2021,,Fălești,62.6
2021,,Florești,80.2
2021,,Glodeni,75.2
2021,,Ocnița,75.0
2021,,Râșcani,80.7
2021,,Sângerei,70.0
2021,,Soroca,88.8
2021,,Centru,71.8
2021,,Anenii Noi,68.3
2021,,Călărași,76.7
2021,,Criuleni,67.3
2021,,Dubăsari,49.8
2021,,Hâncești,69.3
2021,,Ialoveni,60.4
2021,,Nisporeni,84.9
2021,,Orhei,88.3
2021,,Rezina,75.4
2021,,Strășeni,62.1
2021,,Șoldănești,76.2
2021,,Telenești,72.1
2021,,Ungheni,75.9
2021,,Sud,79.2
2021,,Basarabeasca,86.3
2021,,Cahul,92.1
2021,,Cantemir,80.2
2021,,Căușeni,76.2
2021,,Cimișlia,83.2
2021,,Leova,69.7
2021,,Ștefan Vodă,68.3
2021,,Taraclia,70.3
2021,,UTA Găgăuzia,97.4
2022,Numărul personalului medical  la 10 000 populatie,,
2022,Numărul de medici la 10 000 populație,,
2022,Numărul personalului medical cu studii medii la 10 000 populație,,
2022,Numărul de stomatologi și dentiști la 10 000 populație,,
2022,Numărul de farmaciști la 10 000 populație,,
2022,,Total țară,
2022,,Mun. Chișinău,
2022,,Nord,
2022,,mun. Bălți,
2022,,Briceni,
2022,,Dondușeni,
2022,,Drochia,
2022,,Edineț,
2022,,Fălești,
2022,,Florești,
2022,,Glodeni,
2022,,Ocnița,
2022,,Râșcani,
2022,,Sângerei,
2022,,Soroca,
2022,,Centru,
2022,,Anenii Noi,
2022,,Călărași,
2022,,Criuleni,
2022,,Dubăsari,
2022,,Hâncești,
2022,,Ialoveni,
2022,,Nisporeni,
2022,,Orhei,
2022,,Rezina,
2022,,Strășeni,
2022,,Șoldănești,
2022,,Telenești,
2022,,Ungheni,
2022,,Sud,
2022,,Basarabeasca,
2022,,Cahul,
2022,,Cantemir,
2022,,Căușeni,
2022,,Cimișlia,
2022,,Leova,
2022,,Ștefan Vodă,
2022,,Taraclia,
2022,,UTA Găgăuzia,
