Year,Sex,Mediul de reședință,Mediul de reședință/Sex,Grupa de vârstă/sex,Value
2015,Bărbați,,,,
2015,Femei,,,,
2015,,Urban,,,
2015,,Rural,,,
2015,,,Urban/Bărbați,,
2015,,,Rural/Bărbați,,
2015,,,Urban/Femei,,
2015,,,Rural/Femei,,
2015,,,,15-24/Bărbați,
2015,,,,15-24/ Women,
2015,,,,25-34/Bărbați,
2015,,,,25-34/Femei,
2015,,,,35-44/Bărbați,
2015,,,,35-44/Femei,
2015,,,,45-49/Bărbați,
2015,,,,45-49/Femei,
2016,,,,,
2016,Bărbați,,,,
2016,Femei,,,,
2016,,Urban,,,
2016,,Rural,,,
2016,,,Urban/Bărbați,,
2016,,,Rural/Bărbați,,
2016,,,Urban/Femei,,
2016,,,Rural/Femei,,
2016,,,,15-24/Bărbați,
2016,,,,15-24/ Women,
2016,,,,25-34/Bărbați,
2016,,,,25-34/Femei,
2016,,,,35-44/Bărbați,
2016,,,,35-44/Femei,
2016,,,,45-49/Bărbați,
2016,,,,45-49/Femei,
2017,,,,,61.0
2017,Bărbați,,,,75.8
2017,Femei,,,,49.5
2017,,Urban,,,61.3
2017,,Rural,,,60.6
2017,,,Urban/Bărbați,,
2017,,,Rural/Bărbați,,
2017,,,Urban/Femei,,
2017,,,Rural/Femei,,
2017,,,,15-24/Bărbați,
2017,,,,15-24/ Women,
2017,,,,25-34/Bărbați,
2017,,,,25-34/Femei,
2017,,,,35-44/Bărbați,
2017,,,,35-44/Femei,
2017,,,,45-49/Bărbați,
2017,,,,45-49/Femei,
2018,,,,,
2018,Bărbați,,,,
2018,Femei,,,,
2018,,Urban,,,
2018,,Rural,,,
2018,,,Urban/Bărbați,,
2018,,,Rural/Bărbați,,
2018,,,Urban/Femei,,
2018,,,Rural/Femei,,
2018,,,,15-24/Bărbați,
2018,,,,15-24/ Women,
2018,,,,25-34/Bărbați,
2018,,,,25-34/Femei,
2018,,,,35-44/Bărbați,
2018,,,,35-44/Femei,
2018,,,,45-49/Bărbați,
2018,,,,45-49/Femei,
2019,,,,,
2019,Bărbați,,,,
2019,Femei,,,,
2019,,Urban,,,
2019,,Rural,,,
2019,,,Urban/Bărbați,,
2019,,,Rural/Bărbați,,
2019,,,Urban/Femei,,
2019,,,Rural/Femei,,
2019,,,,15-24/Bărbați,
2019,,,,15-24/ Women,
2019,,,,25-34/Bărbați,
2019,,,,25-34/Femei,
2019,,,,35-44/Bărbați,
2019,,,,35-44/Femei,
2019,,,,45-49/Bărbați,
2019,,,,45-49/Femei,
2020,,,,,
2020,Bărbați,,,,
2020,Femei,,,,
2020,,Urban,,,
2020,,Rural,,,
2020,,,Urban/Bărbați,,
2020,,,Rural/Bărbați,,
2020,,,Urban/Femei,,
2020,,,Rural/Femei,,
2020,,,,15-24/Bărbați,
2020,,,,15-24/ Women,
2020,,,,25-34/Bărbați,
2020,,,,25-34/Femei,
2020,,,,35-44/Bărbați,
2020,,,,35-44/Femei,
2020,,,,45-49/Bărbați,
2020,,,,45-49/Femei,
2021,,,,,63.2
2021,Bărbați,,,,73.1
2021,Femei,,,,53.2
2021,,Urban,,,68.2
2021,,Rural,,,57.8
2021,,,Urban/Bărbați,,
2021,,,Rural/Bărbați,,
2021,,,Urban/Femei,,
2021,,,Rural/Femei,,
2021,,,,15-24/Bărbați,
2021,,,,15-24/ Women,
2021,,,,25-34/Bărbați,
2021,,,,25-34/Femei,
2021,,,,35-44/Bărbați,
2021,,,,35-44/Femei,
2021,,,,45-49/Bărbați,
2021,,,,45-49/Femei,
2022,,,,,
2022,Bărbați,,,,
2022,Femei,,,,
2022,,Urban,,,
2022,,Rural,,,
2022,,,Urban/Bărbați,,
2022,,,Rural/Bărbați,,
2022,,,Urban/Femei,,
2022,,,Rural/Femei,,
2022,,,,15-24/Bărbați,
2022,,,,15-24/ Women,
2022,,,,25-34/Bărbați,
2022,,,,25-34/Femei,
2022,,,,35-44/Bărbați,
2022,,,,35-44/Femei,
2022,,,,45-49/Bărbați,
2022,,,,45-49/Femei,
