Year,"Accidente mortale, după sex","Accidente mortale, după activități economice","Accidente nemortale, după sex","Accidente nemortale, după activități economice",Value
2012,,Activitati de servicii administrative si activitati de servicii suport,,,
2012,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2012,,Învățământ,,,
2012,,Sănătate și asistență socială,,,
2012,,"Arta, activități de recreere și de agrement",,,
2012,,Alte activități de servicii,,,
2012,,,Total,,64.419
2012,,,Bărbați,,91.5
2012,,,Femei,,49.9
2012,,,,"Agricultura, silvicultura și pescuit",
2012,,,,Industrie,
2012,,,,Industria extractivă,
2012,,,,Industria prelucrătoare,
2012,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2012,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2012,,,,Construcții,
2012,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2012,,,,Transport și depozitare,
2012,,,,Activitati de cazare si alimentatie publica,
2012,,,,Informații și comunicații,
2012,,,,Activități financiare și de asigurări,
2012,,,,Tranzacții imobiliare,
2012,,,,"Activități profesionale, științifice și tehnice",
2012,,,,Activitati de servicii administrative si activitati de servicii suport,
2012,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2012,,,,Învățământ,
2012,,,,Sănătate și asistență socială,
2012,,,,"Arta, activități de recreere și de agrement",
2012,,,,Alte activități de servicii,
2013,,,,,
2013,Total,,,,6.2
2013,Bărbați,,,,13.3
2013,Femei,,,,0.3
2013,,"Agricultura, silvicultura și pescuit",,,
2013,,Industrie,,,
2013,,Industria extractivă,,,
2013,,Industria prelucrătoare,,,
2013,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2013,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2013,,Construcții,,,
2013,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2013,,Transport și depozitare,,,
2013,,Activitati de cazare si alimentatie publica,,,
2013,,Informații și comunicații,,,
2013,,Activități financiare și de asigurări,,,
2013,,Tranzacții imobiliare,,,
2013,,"Activități profesionale, științifice și tehnice",,,
2013,,Activitati de servicii administrative si activitati de servicii suport,,,
2013,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2013,,Învățământ,,,
2013,,Sănătate și asistență socială,,,
2013,,"Arta, activități de recreere și de agrement",,,
2013,,Alte activități de servicii,,,
2013,,,Total,,90.585
2013,,,Bărbați,,158.4
2013,,,Femei,,45.7
2013,,,,"Agricultura, silvicultura și pescuit",
2013,,,,Industrie,
2013,,,,Industria extractivă,
2013,,,,Industria prelucrătoare,
2013,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2013,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2013,,,,Construcții,
2013,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2013,,,,Transport și depozitare,
2013,,,,Activitati de cazare si alimentatie publica,
2013,,,,Informații și comunicații,
2013,,,,Activități financiare și de asigurări,
2013,,,,Tranzacții imobiliare,
2013,,,,"Activități profesionale, științifice și tehnice",
2013,,,,Activitati de servicii administrative si activitati de servicii suport,
2013,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2013,,,,Învățământ,
2013,,,,Sănătate și asistență socială,
2013,,,,"Arta, activități de recreere și de agrement",
2013,,,,Alte activități de servicii,
2014,,,,,
2014,Total,,,,5.9
2014,Bărbați,,,,12.7
2014,Femei,,,,0.3
2014,,"Agricultura, silvicultura și pescuit",,,
2014,,Industrie,,,
2014,,Industria extractivă,,,
2014,,Industria prelucrătoare,,,
2014,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2014,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2014,,Construcții,,,
2014,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2014,,Transport și depozitare,,,
2014,,Activitati de cazare si alimentatie publica,,,
2014,,Informații și comunicații,,,
2014,,Activități financiare și de asigurări,,,
2014,,Tranzacții imobiliare,,,
2014,,"Activități profesionale, științifice și tehnice",,,
2014,,Activitati de servicii administrative si activitati de servicii suport,,,
2014,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2014,,Învățământ,,,
2014,,Sănătate și asistență socială,,,
2014,,"Arta, activități de recreere și de agrement",,,
2014,,Alte activități de servicii,,,
2014,,,Total,,80.029
2014,,,Bărbați,,150.9
2014,,,Femei,,31.4
2014,,,,"Agricultura, silvicultura și pescuit",
2014,,,,Industrie,
2014,,,,Industria extractivă,
2014,,,,Industria prelucrătoare,
2014,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2014,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2014,,,,Construcții,
2014,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2014,,,,Transport și depozitare,
2014,,,,Activitati de cazare si alimentatie publica,
2014,,,,Informații și comunicații,
2014,,,,Activități financiare și de asigurări,
2014,,,,Tranzacții imobiliare,
2014,,,,"Activități profesionale, științifice și tehnice",
2014,,,,Activitati de servicii administrative si activitati de servicii suport,
2014,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2014,,,,Învățământ,
2014,,,,Sănătate și asistență socială,
2014,,,,"Arta, activități de recreere și de agrement",
2014,,,,Alte activități de servicii,
2015,,,,,
2015,Total,,,,5.7
2015,Bărbați,,,,12.0
2015,Femei,,,,0.6
2015,,"Agricultura, silvicultura și pescuit",,,
2015,,Industrie,,,
2015,,Industria extractivă,,,
2015,,Industria prelucrătoare,,,
2015,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2015,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2015,,Construcții,,,
2015,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2015,,Transport și depozitare,,,
2015,,Activitati de cazare si alimentatie publica,,,
2015,,Informații și comunicații,,,
2015,,Activități financiare și de asigurări,,,
2015,,Tranzacții imobiliare,,,
2015,,"Activități profesionale, științifice și tehnice",,,
2015,,Activitati de servicii administrative si activitati de servicii suport,,,
2015,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2015,,Învățământ,,,
2015,,Sănătate și asistență socială,,,
2015,,"Arta, activități de recreere și de agrement",,,
2015,,Alte activități de servicii,,,
2015,,,Total,,67.842
2015,,,Bărbați,,121.6
2015,,,Femei,,29.4
2015,,,,"Agricultura, silvicultura și pescuit",
2015,,,,Industrie,
2015,,,,Industria extractivă,
2015,,,,Industria prelucrătoare,
2015,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2015,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2015,,,,Construcții,
2015,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2015,,,,Transport și depozitare,
2015,,,,Activitati de cazare si alimentatie publica,
2015,,,,Informații și comunicații,
2015,,,,Activități financiare și de asigurări,
2015,,,,Tranzacții imobiliare,
2015,,,,"Activități profesionale, științifice și tehnice",
2015,,,,Activitati de servicii administrative si activitati de servicii suport,
2015,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2015,,,,Învățământ,
2015,,,,Sănătate și asistență socială,
2015,,,,"Arta, activități de recreere și de agrement",
2015,,,,Alte activități de servicii,
2016,,,,,
2016,Total,,,,4.9
2016,Bărbați,,,,9.0
2016,Femei,,,,1.3
2016,,"Agricultura, silvicultura și pescuit",,,10.9
2016,,Industrie,,,7.1
2016,,Industria extractivă,,,0.0
2016,,Industria prelucrătoare,,,7.7
2016,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2016,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,13.0
2016,,Construcții,,,14.5
2016,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,5.4
2016,,Transport și depozitare,,,19.5
2016,,Activitati de cazare si alimentatie publica,,,0.0
2016,,Informații și comunicații,,,0.0
2016,,Activități financiare și de asigurări,,,0.0
2016,,Tranzacții imobiliare,,,8.6
2016,,"Activități profesionale, științifice și tehnice",,,0.0
2016,,Activitati de servicii administrative si activitati de servicii suport,,,18.2
2016,,Administratțe publică și apărare; asigurări sociale obligatorii,,,0.0
2016,,Învățământ,,,0.0
2016,,Sănătate și asistență socială,,,0.0
2016,,"Arta, activități de recreere și de agrement",,,0.0
2016,,Alte activități de servicii,,,0.0
2016,,,Total,,57.555
2016,,,Bărbați,,74.088
2016,,,Femei,,43.014
2016,,,,"Agricultura, silvicultura și pescuit",76.24
2016,,,,Industrie,97.913
2016,,,,Industria extractivă,194.363
2016,,,,Industria prelucrătoare,86.95
2016,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",134.904
2016,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",130.107
2016,,,,Construcții,87.235
2016,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,42.445
2016,,,,Transport și depozitare,89.308
2016,,,,Activitati de cazare si alimentatie publica,40.492
2016,,,,Informații și comunicații,33.173
2016,,,,Activități financiare și de asigurări,41.432
2016,,,,Tranzacții imobiliare,34.406
2016,,,,"Activități profesionale, științifice și tehnice",12.889
2016,,,,Activitati de servicii administrative si activitati de servicii suport,136.252
2016,,,,Administratțe publică și apărare; asigurări sociale obligatorii,15.485
2016,,,,Învățământ,19.1
2016,,,,Sănătate și asistență socială,79.603
2016,,,,"Arta, activități de recreere și de agrement",110.349
2016,,,,Alte activități de servicii,45.76
2017,,,,,
2017,Total,,,,6.8
2017,Bărbați,,,,14.5
2017,Femei,,,,0.0
2017,,"Agricultura, silvicultura și pescuit",,,29.3
2017,,Industrie,,,5.7
2017,,Industria extractivă,,,197.9
2017,,Industria prelucrătoare,,,2.4
2017,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2017,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2017,,Construcții,,,36.7
2017,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,2.1
2017,,Transport și depozitare,,,22.8
2017,,Activitati de cazare si alimentatie publica,,,0.0
2017,,Informații și comunicații,,,0.0
2017,,Activități financiare și de asigurări,,,0.0
2017,,Tranzacții imobiliare,,,8.8
2017,,"Activități profesionale, științifice și tehnice",,,0.0
2017,,Activitati de servicii administrative si activitati de servicii suport,,,17.1
2017,,Administratțe publică și apărare; asigurări sociale obligatorii,,,4.0
2017,,Învățământ,,,1.0
2017,,Sănătate și asistență socială,,,0.0
2017,,"Arta, activități de recreere și de agrement",,,0.0
2017,,Alte activități de servicii,,,0.0
2017,,,Total,,67.953
2017,,,Bărbați,,94.521
2017,,,Femei,,44.238
2017,,,,"Agricultura, silvicultura și pescuit",61.165
2017,,,,Industrie,89.952
2017,,,,Industria extractivă,49.456
2017,,,,Industria prelucrătoare,89.266
2017,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",73.193
2017,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",132.802
2017,,,,Construcții,114.595
2017,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,49.788
2017,,,,Transport și depozitare,74.165
2017,,,,Activitati de cazare si alimentatie publica,39.987
2017,,,,Informații și comunicații,37.84
2017,,,,Activități financiare și de asigurări,40.447
2017,,,,Tranzacții imobiliare,53.032
2017,,,,"Activități profesionale, științifice și tehnice",25.905
2017,,,,Activitati de servicii administrative si activitati de servicii suport,85.419
2017,,,,Administratțe publică și apărare; asigurări sociale obligatorii,169.372
2017,,,,Învățământ,22.591
2017,,,,Sănătate și asistență socială,72.082
2017,,,,"Arta, activități de recreere și de agrement",33.198
2017,,,,Alte activități de servicii,39.549
2018,,,,,
2018,Total,,,,6.2
2018,Bărbați,,,,12.6
2018,Femei,,,,0.3
2018,,"Agricultura, silvicultura și pescuit",,,5.3
2018,,Industrie,,,9.2
2018,,Industria extractivă,,,0.0
2018,,Industria prelucrătoare,,,6.8
2018,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,9.4
2018,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,39.6
2018,,Construcții,,,25.6
2018,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,5.9
2018,,Transport și depozitare,,,25.5
2018,,Activitati de cazare si alimentatie publica,,,0.0
2018,,Informații și comunicații,,,0.0
2018,,Activități financiare și de asigurări,,,0.0
2018,,Tranzacții imobiliare,,,9.1
2018,,"Activități profesionale, științifice și tehnice",,,6.5
2018,,Activitati de servicii administrative si activitati de servicii suport,,,7.8
2018,,Administratțe publică și apărare; asigurări sociale obligatorii,,,2.0
2018,,Învățământ,,,0.0
2018,,Sănătate și asistență socială,,,0.0
2018,,"Arta, activități de recreere și de agrement",,,8.2
2018,,Alte activități de servicii,,,0.0
2018,,,Total,,75.851
2018,,,Bărbați,,104.532
2018,,,Femei,,49.639
2018,,,,"Agricultura, silvicultura și pescuit",42.457
2018,,,,Industrie,108.455
2018,,,,Industria extractivă,51.256
2018,,,,Industria prelucrătoare,106.029
2018,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",122.33
2018,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",132.118
2018,,,,Construcții,76.782
2018,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,55.06
2018,,,,Transport și depozitare,84.904
2018,,,,Activitati de cazare si alimentatie publica,0.0
2018,,,,Informații și comunicații,40.99
2018,,,,Activități financiare și de asigurări,47.68
2018,,,,Tranzacții imobiliare,27.34
2018,,,,"Activități profesionale, științifice și tehnice",38.9
2018,,,,Activitati de servicii administrative si activitati de servicii suport,70.594
2018,,,,Administratțe publică și apărare; asigurări sociale obligatorii,260.958
2018,,,,Învățământ,13.553
2018,,,,Sănătate și asistență socială,82.816
2018,,,,"Arta, activități de recreere și de agrement",32.752
2018,,,,Alte activități de servicii,19.249
2019,,,,,
2019,Total,,,,5.8
2019,Bărbați,,,,11.4
2019,Femei,,,,0.6
2019,,"Agricultura, silvicultura și pescuit",,,16.5
2019,,Industrie,,,5.4
2019,,Industria extractivă,,,48.0
2019,,Industria prelucrătoare,,,5.5
2019,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2019,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2019,,Construcții,,,44.7
2019,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,4.8
2019,,Transport și depozitare,,,10.9
2019,,Activitati de cazare si alimentatie publica,,,0.0
2019,,Informații și comunicații,,,4.6
2019,,Activități financiare și de asigurări,,,0.0
2019,,Tranzacții imobiliare,,,0.0
2019,,"Activități profesionale, științifice și tehnice",,,7.2
2019,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2019,,Administratțe publică și apărare; asigurări sociale obligatorii,,,0.0
2019,,Învățământ,,,0.0
2019,,Sănătate și asistență socială,,,3.3
2019,,"Arta, activități de recreere și de agrement",,,0.0
2019,,Alte activități de servicii,,,0.0
2019,,,Total,,73.096
2019,,,Bărbați,,105.6
2019,,,Femei,,43.437
2019,,,,"Agricultura, silvicultura și pescuit",65.863
2019,,,,Industrie,94.292
2019,,,,Industria extractivă,48.031
2019,,,,Industria prelucrătoare,78.117
2019,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",170.681
2019,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",191.351
2019,,,,Construcții,129.907
2019,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,61.329
2019,,,,Transport și depozitare,98.439
2019,,,,Activitati de cazare si alimentatie publica,27.569
2019,,,,Informații și comunicații,37.132
2019,,,,Activități financiare și de asigurări,15.636
2019,,,,Tranzacții imobiliare,41.684
2019,,,,"Activități profesionale, științifice și tehnice",14.354
2019,,,,Activitati de servicii administrative si activitati de servicii suport,90.491
2019,,,,Administratțe publică și apărare; asigurări sociale obligatorii,225.982
2019,,,,Învățământ,11.518
2019,,,,Sănătate și asistență socială,57.972
2019,,,,"Arta, activități de recreere și de agrement",24.331
2019,,,,Alte activități de servicii,46.225
2020,,,,,
2020,Total,,,,5.2
2020,Bărbați,,,,10.9
2020,Femei,,,,0.0
2020,,"Agricultura, silvicultura și pescuit",,,11.7
2020,,Industrie,,,8.5
2020,,Industria extractivă,,,0.0
2020,,Industria prelucrătoare,,,10.5
2020,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2020,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2020,,Construcții,,,12.4
2020,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,1.0
2020,,Transport și depozitare,,,26.4
2020,,Activitati de cazare si alimentatie publica,,,0.0
2020,,Informații și comunicații,,,4.2
2020,,Activități financiare și de asigurări,,,0.0
2020,,Tranzacții imobiliare,,,0.0
2020,,"Activități profesionale, științifice și tehnice",,,0.0
2020,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2020,,Administratțe publică și apărare; asigurări sociale obligatorii,,,6.1
2020,,Învățământ,,,1.1
2020,,Sănătate și asistență socială,,,0.0
2020,,"Arta, activități de recreere și de agrement",,,0.0
2020,,Alte activități de servicii,,,0.0
2020,,,Total,,64.495
2020,,,Bărbați,,92.128
2020,,,Femei,,39.541
2020,,,,"Agricultura, silvicultura și pescuit",32.151
2020,,,,Industrie,96.213
2020,,,,Industria extractivă,153.139
2020,,,,Industria prelucrătoare,90.886
2020,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",47.742
2020,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",206.132
2020,,,,Construcții,141.085
2020,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,48.359
2020,,,,Transport și depozitare,70.326
2020,,,,Activitati de cazare si alimentatie publica,41.275
2020,,,,Informații și comunicații,33.688
2020,,,,Activități financiare și de asigurări,7.78
2020,,,,Tranzacții imobiliare,17.029
2020,,,,"Activități profesionale, științifice și tehnice",15.312
2020,,,,Activitati de servicii administrative si activitati de servicii suport,169.981
2020,,,,Administratțe publică și apărare; asigurări sociale obligatorii,174.393
2020,,,,Învățământ,19.251
2020,,,,Sănătate și asistență socială,43.071
2020,,,,"Arta, activități de recreere și de agrement",16.945
2020,,,,Alte activități de servicii,0.0
2021,,,,,
2021,Total,,,,4.8
2021,Bărbați,,,,10.1
2021,Femei,,,,0.0
2021,,"Agricultura, silvicultura și pescuit",,,23.2
2021,,Industrie,,,1.9
2021,,Industria extractivă,,,0.0
2021,,Industria prelucrătoare,,,1.2
2021,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2021,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,12.5
2021,,Construcții,,,27.2
2021,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,2.8
2021,,Transport și depozitare,,,8.6
2021,,Activitati de cazare si alimentatie publica,,,0.0
2021,,Informații și comunicații,,,0.0
2021,,Activități financiare și de asigurări,,,0.0
2021,,Tranzacții imobiliare,,,9.1
2021,,"Activități profesionale, științifice și tehnice",,,0.0
2021,,Activitati de servicii administrative si activitati de servicii suport,,,8.0
2021,,Administratțe publică și apărare; asigurări sociale obligatorii,,,6.0
2021,,Învățământ,,,0.0
2021,,Sănătate și asistență socială,,,0.0
2021,,"Arta, activități de recreere și de agrement",,,8.5
2021,,Alte activități de servicii,,,16.9
2021,,,Total,,83.996
2021,,,Bărbați,,111.929
2021,,,Femei,,58.728
2021,,,,"Agricultura, silvicultura și pescuit",46.412
2021,,,,Industrie,133.464
2021,,,,Industria extractivă,54.735
2021,,,,Industria prelucrătoare,127.701
2021,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",153.462
2021,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",187.406
2021,,,,Construcții,178.71
2021,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,72.482
2021,,,,Transport și depozitare,122.833
2021,,,,Activitati de cazare si alimentatie publica,64.977
2021,,,,Informații și comunicații,25.473
2021,,,,Activități financiare și de asigurări,30.241
2021,,,,Tranzacții imobiliare,90.621
2021,,,,"Activități profesionale, științifice și tehnice",44.89
2021,,,,Activitati de servicii administrative si activitati de servicii suport,96.595
2021,,,,Administratțe publică și apărare; asigurări sociale obligatorii,126.235
2021,,,,Învățământ,27.886
2021,,,,Sănătate și asistență socială,88.939
2021,,,,"Arta, activități de recreere și de agrement",42.355
2021,,,,Alte activități de servicii,16.886
2022,,,,,
2022,Total,,,,4.8
2022,Bărbați,,,,9.5
2022,Femei,,,,0.6
2022,,"Agricultura, silvicultura și pescuit",,,8.9
2022,,Industrie,,,7.6
2022,,Industria extractivă,,,56.6
2022,,Industria prelucrătoare,,,5.9
2022,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,9.7
2022,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,12.7
2022,,Construcții,,,28.9
2022,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,4.5
2022,,Transport și depozitare,,,5.6
2022,,Activitati de cazare si alimentatie publica,,,0.0
2022,,Informații și comunicații,,,0.0
2022,,Activități financiare și de asigurări,,,0.0
2022,,Tranzacții imobiliare,,,0.0
2022,,"Activități profesionale, științifice și tehnice",,,0.0
2022,,Activitati de servicii administrative si activitati de servicii suport,,,15.7
2022,,Administratțe publică și apărare; asigurări sociale obligatorii,,,4.1
2022,,Învățământ,,,1.1
2022,,Sănătate și asistență socială,,,0.0
2022,,"Arta, activități de recreere și de agrement",,,0.0
2022,,Alte activități de servicii,,,0.0
2022,,,Total,,78.255
2022,,,Bărbați,,110.459
2022,,,Femei,,49.655
