Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Existence of disability,Value
2017,,Men,,,,18.6
2017,,Women,,,,16.8
2017,,,0-17,,,31.9
2017,,,18-29,,,21.1
2017,,,30-39,,,27.6
2017,,,40-49,,,15.5
2017,,,50-59,,,5.8
2017,,,60+,,,5.0
2017,,,,I,,27.7
2017,,,,II,,17.9
2017,,,,III,,14.5
2017,,,,IV,,18.1
2017,,,,V,,10.0
2017,,,,,People with disability,9.5
2017,,,,,People without disability,18.3
2018,,,,,,16.8
2018,Urban,,,,,26.2
2018,Rural,,,,,10.3
2018,,Men,,,,17.2
2018,,Women,,,,16.5
2018,,,0-17,,,30.1
2018,,,18-29,,,23.7
2018,,,30-39,,,25.9
2018,,,40-49,,,13.6
2018,,,50-59,,,6.3
2018,,,60+,,,3.9
2018,,,,I,,28.2
2018,,,,II,,14.6
2018,,,,III,,15.3
2018,,,,IV,,12.0
2018,,,,V,,14.1
2018,,,,,People with disability,8.4
2018,,,,,People without disability,17.5
2019,,,,,,17.5
2019,Urban,,,,,23.4
2019,Rural,,,,,13.6
2019,,Men,,,,18.2
2019,,Women,,,,16.9
2019,,,0-17,,,33.8
2019,,,18-29,,,21.4
2019,,,30-39,,,26.4
2019,,,40-49,,,15.7
2019,,,50-59,,,5.1
2019,,,60+,,,3.8
2019,,,,I,,30.3
2019,,,,II,,19.4
2019,,,,III,,13.6
2019,,,,IV,,10.4
2019,,,,V,,13.9
2019,,,,,People with disability,9.1
2019,,,,,People without disability,18.1
2020,,,,,,17.0
2020,Urban,,,,,23.3
2020,Rural,,,,,12.8
2020,,Men,,,,17.6
2020,,Women,,,,16.4
2020,,,0-17,,,33.2
2020,,,18-29,,,19.0
2020,,,30-39,,,26.7
2020,,,40-49,,,17.0
2020,,,50-59,,,5.3
2020,,,60+,,,2.9
2020,,,,I,,28.9
2020,,,,II,,16.1
2020,,,,III,,15.9
2020,,,,IV,,13.8
2020,,,,V,,10.2
2020,,,,,People with disability,10.2
2020,,,,,People without disability,17.5
2021,,,,,,17.0
2021,Urban,,,,,24.1
2021,Rural,,,,,12.4
2021,,Men,,,,18.1
2021,,Women,,,,16.2
2021,,,0-17,,,32.8
2021,,,18-29,,,21.7
2021,,,30-39,,,28.8
2021,,,40-49,,,15.0
2021,,,50-59,,,6.0
2021,,,60+,,,3.2
2021,,,,I,,31.1
2021,,,,II,,13.3
2021,,,,III,,13.3
2021,,,,IV,,16.4
2021,,,,V,,11.0
2021,,,,,People with disability,9.0
2021,,,,,People without disability,17.6
2022,,,,,,16.1
2022,Urban,,,,,25.4
2022,Rural,,,,,9.9
2022,,Men,,,,17.1
2022,,Women,,,,15.2
2022,,,0-17,,,33.0
2022,,,18-29,,,19.7
2022,,,30-39,,,27.0
2022,,,40-49,,,15.1
2022,,,50-59,,,4.2
2022,,,60+,,,2.6
2022,,,,I,,27.2
2022,,,,II,,18.1
2022,,,,III,,9.7
2022,,,,IV,,13.9
2022,,,,V,,11.5
2022,,,,,People with disability,7.8
2022,,,,,People without disability,16.7
