Year,Mediul de reședință,Sex,Grupa de vârstă,Nivelul de instruire a capului gospodăriei,Etnia capului gospodăriei,Quintile de bunăstare,Value
2014,,,,,,V,
2015,,,,,,,
2015,Urban,,,,,,
2015,Rural,,,,,,
2015,,Bărbați,,,,,
2015,,Femei,,,,,
2015,,,2-4,,,,
2015,,,5-9,,,,
2015,,,10-14,,,,
2015,,,,Primare și mai jos,,,
2015,,,,Secundare,,,
2015,,,,Profesional,,,
2015,,,,Superioare,,,
2015,,,,,Moldovean/Român,,
2015,,,,,Rus,,
2015,,,,,Ucrainean,,
2015,,,,,Rom,,
2015,,,,,Găgăuz,,
2015,,,,,Alte,,
2015,,,,,,I,
2015,,,,,,II,
2015,,,,,,III,
2015,,,,,,IV,
2015,,,,,,V,
2016,,,,,,,
2016,Urban,,,,,,
2016,Rural,,,,,,
2016,,Bărbați,,,,,
2016,,Femei,,,,,
2016,,,2-4,,,,
2016,,,5-9,,,,
2016,,,10-14,,,,
2016,,,,Primare și mai jos,,,
2016,,,,Secundare,,,
2016,,,,Profesional,,,
2016,,,,Superioare,,,
2016,,,,,Moldovean/Român,,
2016,,,,,Rus,,
2016,,,,,Ucrainean,,
2016,,,,,Rom,,
2016,,,,,Găgăuz,,
2016,,,,,Alte,,
2016,,,,,,I,
2016,,,,,,II,
2016,,,,,,III,
2016,,,,,,IV,
2016,,,,,,V,
2017,,,,,,,
2017,Urban,,,,,,
2017,Rural,,,,,,
2017,,Bărbați,,,,,
2017,,Femei,,,,,
2017,,,2-4,,,,
2017,,,5-9,,,,
2017,,,10-14,,,,
2017,,,,Primare și mai jos,,,
2017,,,,Secundare,,,
2017,,,,Profesional,,,
2017,,,,Superioare,,,
2017,,,,,Moldovean/Român,,
2017,,,,,Rus,,
2017,,,,,Ucrainean,,
2017,,,,,Rom,,
2017,,,,,Găgăuz,,
2017,,,,,Alte,,
2017,,,,,,I,
2017,,,,,,II,
2017,,,,,,III,
2017,,,,,,IV,
2017,,,,,,V,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,Bărbați,,,,,
2018,,Femei,,,,,
2018,,,2-4,,,,
2018,,,5-9,,,,
2018,,,10-14,,,,
2018,,,,Primare și mai jos,,,
2018,,,,Secundare,,,
2018,,,,Profesional,,,
2018,,,,Superioare,,,
2018,,,,,Moldovean/Român,,
2018,,,,,Rus,,
2018,,,,,Ucrainean,,
2018,,,,,Rom,,
2018,,,,,Găgăuz,,
2018,,,,,Alte,,
2018,,,,,,I,
2018,,,,,,II,
2018,,,,,,III,
2018,,,,,,IV,
2018,,,,,,V,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Bărbați,,,,,
2019,,Femei,,,,,
2019,,,2-4,,,,
2019,,,5-9,,,,
2019,,,10-14,,,,
2019,,,,Primare și mai jos,,,
2019,,,,Secundare,,,
2019,,,,Profesional,,,
2019,,,,Superioare,,,
2019,,,,,Moldovean/Român,,
2019,,,,,Rus,,
2019,,,,,Ucrainean,,
2019,,,,,Rom,,
2019,,,,,Găgăuz,,
2019,,,,,Alte,,
2019,,,,,,I,
2019,,,,,,II,
2019,,,,,,III,
2019,,,,,,IV,
2019,,,,,,V,
2020,,,,,,,
2020,Urban,,,,,,
2020,Rural,,,,,,
2020,,Bărbați,,,,,
2020,,Femei,,,,,
2020,,,2-4,,,,
2020,,,5-9,,,,
2020,,,10-14,,,,
2020,,,,Primare și mai jos,,,
2020,,,,Secundare,,,
2020,,,,Profesional,,,
2020,,,,Superioare,,,
2020,,,,,Moldovean/Român,,
2020,,,,,Rus,,
2020,,,,,Ucrainean,,
2020,,,,,Rom,,
2020,,,,,Găgăuz,,
2020,,,,,Alte,,
2020,,,,,,I,
2020,,,,,,II,
2020,,,,,,III,
2020,,,,,,IV,
2020,,,,,,V,
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Bărbați,,,,,
2021,,Femei,,,,,
2021,,,2-4,,,,
2021,,,5-9,,,,
2021,,,10-14,,,,
2021,,,,Primare și mai jos,,,
2021,,,,Secundare,,,
2021,,,,Profesional,,,
2021,,,,Superioare,,,
2021,,,,,Moldovean/Român,,
2021,,,,,Rus,,
2021,,,,,Ucrainean,,
2021,,,,,Rom,,
2021,,,,,Găgăuz,,
2021,,,,,Alte,,
2021,,,,,,I,
2021,,,,,,II,
2021,,,,,,III,
2021,,,,,,IV,
2021,,,,,,V,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Bărbați,,,,,
2022,,Femei,,,,,
2022,,,2-4,,,,
2022,,,5-9,,,,
2022,,,10-14,,,,
2022,,,,Primare și mai jos,,,
2022,,,,Secundare,,,
2022,,,,Profesional,,,
2022,,,,Superioare,,,
2022,,,,,Moldovean/Român,,
2022,,,,,Rus,,
2022,,,,,Ucrainean,,
2022,,,,,Rom,,
2022,,,,,Găgăuz,,
2022,,,,,Alte,,
2022,,,,,,I,
2022,,,,,,II,
2022,,,,,,III,
2022,,,,,,IV,
2022,,,,,,V,
