Year,Mediul de reședință,Sex,Age group,Education level,Employment status,Value
2016,,,18-29,,,
2016,,,30-39,,,
2016,,,40-49,,,
2016,,,50-59,,,
2016,,,60+,,,
2016,,,,Higher,,
2016,,,,Vocational,,
2016,,,,General secondary,,
2016,,,,Primary or less,,
2016,,,,,Employees,
2016,,,,,Self-employers in agriculture,
2016,,,,,Self-employers in non-agricultural activities,
2016,,,,,Pensioners,
2016,,,,,Others,
2017,,,,,,
2017,Urban,,,,,
2017,Rural,,,,,
2017,,Bărbați,,,,
2017,,Femei,,,,
2017,,,0-17,,,
2017,,,18-29,,,
2017,,,30-39,,,
2017,,,40-49,,,
2017,,,50-59,,,
2017,,,60+,,,
2017,,,,Higher,,
2017,,,,Vocational,,
2017,,,,General secondary,,
2017,,,,Primary or less,,
2017,,,,,Employees,
2017,,,,,Self-employers in agriculture,
2017,,,,,Self-employers in non-agricultural activities,
2017,,,,,Pensioners,
2017,,,,,Others,
2018,,,,,,
2018,Urban,,,,,
2018,Rural,,,,,
2018,,Bărbați,,,,
2018,,Femei,,,,
2018,,,0-17,,,
2018,,,18-29,,,
2018,,,30-39,,,
2018,,,40-49,,,
2018,,,50-59,,,
2018,,,60+,,,
2018,,,,Higher,,
2018,,,,Vocational,,
2018,,,,General secondary,,
2018,,,,Primary or less,,
2018,,,,,Employees,
2018,,,,,Self-employers in agriculture,
2018,,,,,Self-employers in non-agricultural activities,
2018,,,,,Pensioners,
2018,,,,,Others,
2019,,,,,,
2019,Urban,,,,,
2019,Rural,,,,,
2019,,Bărbați,,,,
2019,,Femei,,,,
2019,,,0-17,,,
2019,,,18-29,,,
2019,,,30-39,,,
2019,,,40-49,,,
2019,,,50-59,,,
2019,,,60+,,,
2019,,,,Higher,,
2019,,,,Vocational,,
2019,,,,General secondary,,
2019,,,,Primary or less,,
2019,,,,,Employees,
2019,,,,,Self-employers in agriculture,
2019,,,,,Self-employers in non-agricultural activities,
2019,,,,,Pensioners,
2019,,,,,Others,
2020,,,,,,
2020,Urban,,,,,
2020,Rural,,,,,
2020,,Bărbați,,,,
2020,,Femei,,,,
2020,,,0-17,,,
2020,,,18-29,,,
2020,,,30-39,,,
2020,,,40-49,,,
2020,,,50-59,,,
2020,,,60+,,,
2020,,,,Higher,,
2020,,,,Vocational,,
2020,,,,General secondary,,
2020,,,,Primary or less,,
2020,,,,,Employees,
2020,,,,,Self-employers in agriculture,
2020,,,,,Self-employers in non-agricultural activities,
2020,,,,,Pensioners,
2020,,,,,Others,
2021,,,,,,
2021,Urban,,,,,
2021,Rural,,,,,
2021,,Bărbați,,,,
2021,,Femei,,,,
2021,,,0-17,,,
2021,,,18-29,,,
2021,,,30-39,,,
2021,,,40-49,,,
2021,,,50-59,,,
2021,,,60+,,,
2021,,,,Higher,,
2021,,,,Vocational,,
2021,,,,General secondary,,
2021,,,,Primary or less,,
2021,,,,,Employees,
2021,,,,,Self-employers in agriculture,
2021,,,,,Self-employers in non-agricultural activities,
2021,,,,,Pensioners,
2021,,,,,Others,
2022,,,,,,
2022,Urban,,,,,
2022,Rural,,,,,
2022,,Bărbați,,,,
2022,,Femei,,,,
2022,,,0-17,,,
2022,,,18-29,,,
2022,,,30-39,,,
2022,,,40-49,,,
2022,,,50-59,,,
2022,,,60+,,,
2022,,,,Higher,,
2022,,,,Vocational,,
2022,,,,General secondary,,
2022,,,,Primary or less,,
2022,,,,,Employees,
2022,,,,,Self-employers in agriculture,
2022,,,,,Self-employers in non-agricultural activities,
2022,,,,,Pensioners,
2022,,,,,Others,
