Year,SNA production boundary basis - Age group / Sex,SNA general production boundary basis - Age group / Sex,Value
2013,5-17 / Women,,
2013,5-11 / Both sexes,,
2013,5-11 / Men,,
2013,5-11 / Women,,
2013,12-14 / Both sexes,,
2013,12-14 / Men,,
2013,12-14 / Women,,
2013,15-17 / Both sexes,,
2013,15-17 / Men,,
2013,15-17 / Women,,
2013,,5-17 / Both sexes,
2013,,5-17 / Men,
2013,,5-17 / Women,
2013,,5-11 / Both sexes,
2013,,5-11 / Men,
2013,,5-11 / Women,
2013,,12-14 / Both sexes,
2013,,12-14 / Men,
2013,,12-14 / Women,
2013,,15-17 / Both sexes,
2013,,15-17 / Men,
2013,,15-17 / Women,
2014,,,
2014,5-17 / Both sexes,,
2014,5-17 / Men,,
2014,5-17 / Women,,
2014,5-11 / Both sexes,,
2014,5-11 / Men,,
2014,5-11 / Women,,
2014,12-14 / Both sexes,,
2014,12-14 / Men,,
2014,12-14 / Women,,
2014,15-17 / Both sexes,,
2014,15-17 / Men,,
2014,15-17 / Women,,
2014,,5-17 / Both sexes,
2014,,5-17 / Men,
2014,,5-17 / Women,
2014,,5-11 / Both sexes,
2014,,5-11 / Men,
2014,,5-11 / Women,
2014,,12-14 / Both sexes,
2014,,12-14 / Men,
2014,,12-14 / Women,
2014,,15-17 / Both sexes,
2014,,15-17 / Men,
2014,,15-17 / Women,
2015,,,
2015,5-17 / Both sexes,,
2015,5-17 / Men,,
2015,5-17 / Women,,
2015,5-11 / Both sexes,,
2015,5-11 / Men,,
2015,5-11 / Women,,
2015,12-14 / Both sexes,,
2015,12-14 / Men,,
2015,12-14 / Women,,
2015,15-17 / Both sexes,,
2015,15-17 / Men,,
2015,15-17 / Women,,
2015,,5-17 / Both sexes,
2015,,5-17 / Men,
2015,,5-17 / Women,
2015,,5-11 / Both sexes,
2015,,5-11 / Men,
2015,,5-11 / Women,
2015,,12-14 / Both sexes,
2015,,12-14 / Men,
2015,,12-14 / Women,
2015,,15-17 / Both sexes,
2015,,15-17 / Men,
2015,,15-17 / Women,
2016,,,
2016,5-17 / Both sexes,,
2016,5-17 / Men,,
2016,5-17 / Women,,
2016,5-11 / Both sexes,,
2016,5-11 / Men,,
2016,5-11 / Women,,
2016,12-14 / Both sexes,,
2016,12-14 / Men,,
2016,12-14 / Women,,
2016,15-17 / Both sexes,,
2016,15-17 / Men,,
2016,15-17 / Women,,
2016,,5-17 / Both sexes,
2016,,5-17 / Men,
2016,,5-17 / Women,
2016,,5-11 / Both sexes,
2016,,5-11 / Men,
2016,,5-11 / Women,
2016,,12-14 / Both sexes,
2016,,12-14 / Men,
2016,,12-14 / Women,
2016,,15-17 / Both sexes,
2016,,15-17 / Men,
2016,,15-17 / Women,
2017,,,
2017,5-17 / Both sexes,,
2017,5-17 / Men,,
2017,5-17 / Women,,
2017,5-11 / Both sexes,,
2017,5-11 / Men,,
2017,5-11 / Women,,
2017,12-14 / Both sexes,,
2017,12-14 / Men,,
2017,12-14 / Women,,
2017,15-17 / Both sexes,,
2017,15-17 / Men,,
2017,15-17 / Women,,
2017,,5-17 / Both sexes,
2017,,5-17 / Men,
2017,,5-17 / Women,
2017,,5-11 / Both sexes,
2017,,5-11 / Men,
2017,,5-11 / Women,
2017,,12-14 / Both sexes,
2017,,12-14 / Men,
2017,,12-14 / Women,
2017,,15-17 / Both sexes,
2017,,15-17 / Men,
2017,,15-17 / Women,
2018,,,
2018,5-17 / Both sexes,,
2018,5-17 / Men,,
2018,5-17 / Women,,
2018,5-11 / Both sexes,,
2018,5-11 / Men,,
2018,5-11 / Women,,
2018,12-14 / Both sexes,,
2018,12-14 / Men,,
2018,12-14 / Women,,
2018,15-17 / Both sexes,,
2018,15-17 / Men,,
2018,15-17 / Women,,
2018,,5-17 / Both sexes,
2018,,5-17 / Men,
2018,,5-17 / Women,
2018,,5-11 / Both sexes,
2018,,5-11 / Men,
2018,,5-11 / Women,
2018,,12-14 / Both sexes,
2018,,12-14 / Men,
2018,,12-14 / Women,
2018,,15-17 / Both sexes,
2018,,15-17 / Men,
2018,,15-17 / Women,
2019,,,
2019,5-17 / Both sexes,,
2019,5-17 / Men,,
2019,5-17 / Women,,
2019,5-11 / Both sexes,,
2019,5-11 / Men,,
2019,5-11 / Women,,
2019,12-14 / Both sexes,,
2019,12-14 / Men,,
2019,12-14 / Women,,
2019,15-17 / Both sexes,,
2019,15-17 / Men,,
2019,15-17 / Women,,
2019,,5-17 / Both sexes,
2019,,5-17 / Men,
2019,,5-17 / Women,
2019,,5-11 / Both sexes,
2019,,5-11 / Men,
2019,,5-11 / Women,
2019,,12-14 / Both sexes,
2019,,12-14 / Men,
2019,,12-14 / Women,
2019,,15-17 / Both sexes,
2019,,15-17 / Men,
2019,,15-17 / Women,
2020,,,
2020,5-17 / Both sexes,,
2020,5-17 / Men,,
2020,5-17 / Women,,
2020,5-11 / Both sexes,,
2020,5-11 / Men,,
2020,5-11 / Women,,
2020,12-14 / Both sexes,,
2020,12-14 / Men,,
2020,12-14 / Women,,
2020,15-17 / Both sexes,,
2020,15-17 / Men,,
2020,15-17 / Women,,
2020,,5-17 / Both sexes,
2020,,5-17 / Men,
2020,,5-17 / Women,
2020,,5-11 / Both sexes,
2020,,5-11 / Men,
2020,,5-11 / Women,
2020,,12-14 / Both sexes,
2020,,12-14 / Men,
2020,,12-14 / Women,
2020,,15-17 / Both sexes,
2020,,15-17 / Men,
2020,,15-17 / Women,
2021,,,
2021,5-17 / Both sexes,,
2021,5-17 / Men,,
2021,5-17 / Women,,
2021,5-11 / Both sexes,,
2021,5-11 / Men,,
2021,5-11 / Women,,
2021,12-14 / Both sexes,,
2021,12-14 / Men,,
2021,12-14 / Women,,
2021,15-17 / Both sexes,,
2021,15-17 / Men,,
2021,15-17 / Women,,
2021,,5-17 / Both sexes,
2021,,5-17 / Men,
2021,,5-17 / Women,
2021,,5-11 / Both sexes,
2021,,5-11 / Men,
2021,,5-11 / Women,
2021,,12-14 / Both sexes,
2021,,12-14 / Men,
2021,,12-14 / Women,
2021,,15-17 / Both sexes,
2021,,15-17 / Men,
2021,,15-17 / Women,
2022,,,
2022,5-17 / Both sexes,,
2022,5-17 / Men,,
2022,5-17 / Women,,
2022,5-11 / Both sexes,,
2022,5-11 / Men,,
2022,5-11 / Women,,
2022,12-14 / Both sexes,,
2022,12-14 / Men,,
2022,12-14 / Women,,
2022,15-17 / Both sexes,,
2022,15-17 / Men,,
2022,15-17 / Women,,
2022,,5-17 / Both sexes,
2022,,5-17 / Men,
2022,,5-17 / Women,
2022,,5-11 / Both sexes,
2022,,5-11 / Men,
2022,,5-11 / Women,
2022,,12-14 / Both sexes,
2022,,12-14 / Men,
2022,,12-14 / Women,
2022,,15-17 / Both sexes,
2022,,15-17 / Men,
2022,,15-17 / Women,
