Year,Capabilities of the health sector,Value
2016,(02) coordination and liaison with national focal points,100
2016,(03) supervision,95
2016,(04) the answer,94
2016,(05) training,53
2016,(06) risk communication,57
2016,(07) human resources,0
2016,(08) the laboratory,96
2016,(09) entry points,69
2016,(10) zoonotic events,100
2016,(11) food safety,100
2016,(12) chemical events,92
2016,(13) radionuclear emergencies,92
2016,funding,
2016,preparation and response,
2016,providing medical assistance,
2016,infection prevention and control,
2017,,
2017,"(01) national legislation, policies and funding",
2017,(02) coordination and liaison with national focal points,
2017,(03) supervision,
2017,(04) the answer,
2017,(05) training,
2017,(06) risk communication,
2017,(07) human resources,
2017,(08) the laboratory,
2017,(09) entry points,
2017,(10) zoonotic events,
2017,(11) food safety,
2017,(12) chemical events,
2017,(13) radionuclear emergencies,
2017,funding,
2017,preparation and response,
2017,providing medical assistance,
2017,infection prevention and control,
2018,,
2018,"(01) national legislation, policies and funding",80
2018,(02) coordination and liaison with national focal points,70
2018,(03) supervision,60
2018,(04) the answer,80
2018,(05) training,53
2018,(06) risk communication,80
2018,(07) human resources,40
2018,(08) the laboratory,53
2018,(09) entry points,60
2018,(10) zoonotic events,60
2018,(11) food safety,60
2018,(12) chemical events,40
2018,(13) radionuclear emergencies,40
2018,funding,
2018,preparation and response,
2018,providing medical assistance,
2018,infection prevention and control,
2019,,
2019,"(01) national legislation, policies and funding",72
2019,(02) coordination and liaison with national focal points,70
2019,(03) supervision,60
2019,(04) the answer,80
2019,(05) training,53
2019,(06) risk communication,80
2019,(07) human resources,40
2019,(08) the laboratory,53
2019,(09) entry points,60
2019,(10) zoonotic events,60
2019,(11) food safety,70
2019,(12) chemical events,40
2019,(13) radionuclear emergencies,40
2019,funding,
2019,preparation and response,
2019,providing medical assistance,
2019,infection prevention and control,
2020,,
2020,"(01) national legislation, policies and funding",73
2020,(02) coordination and liaison with national focal points,70
2020,(03) supervision,60
2020,(04) the answer,80
2020,(05) training,53
2020,(06) risk communication,80
2020,(07) human resources,40
2020,(08) the laboratory,60
2020,(09) entry points,60
2020,(10) zoonotic events,80
2020,(11) food safety,70
2020,(12) chemical events,40
2020,(13) radionuclear emergencies,40
2020,funding,
2020,preparation and response,
2020,providing medical assistance,
2020,infection prevention and control,
2021,,
2021,"(01) national legislation, policies and funding",70
2021,(02) coordination and liaison with national focal points,80
2021,(03) supervision,80
2021,(04) the answer,
2021,(05) training,
2021,(06) risk communication,60
2021,(07) human resources,30
2021,(08) the laboratory,56
2021,(09) entry points,60
2021,(10) zoonotic events,60
2021,(11) food safety,40
2021,(12) chemical events,40
2021,(13) radionuclear emergencies,40
2021,funding,70
2021,preparation and response,73
2021,providing medical assistance,73
2021,infection prevention and control,67
2022,,
2022,"(01) national legislation, policies and funding",60
2022,(02) coordination and liaison with national focal points,73
2022,(03) supervision,80
2022,(04) the answer,
2022,(05) training,
2022,(06) risk communication,67
2022,(07) human resources,30
2022,(08) the laboratory,68
2022,(09) entry points,67
2022,(10) zoonotic events,60
2022,(11) food safety,80
2022,(12) chemical events,40
2022,(13) radionuclear emergencies,40
2022,funding,80
2022,preparation and response,60
2022,providing medical assistance,67
2022,infection prevention and control,60
