Year,Area of residence,Statistical regions,Quintiles on consumption expenditures,Sex of the head of the household,Type of sewerage ,Value
2018,,,,,,72.337
2018,Urban,,,,,95.37
2018,Rural,,,,,56.302
2018,,Municipality Chisinau,,,,97.681
2018,,North,,,,55.589
2018,,Center,,,,66.245
2018,,South,,,,74.91
2018,,,I,,,45.872
2018,,,II,,,66.15
2018,,,III,,,74.546
2018,,,IV,,,83.164
2018,,,V,,,91.962
2018,,,,Men,,73.021
2018,,,,Women,,71.019
2018,,,,,Public network,35.326
2018,,,,,Own system,37.011
2019,,,,,,74.519
2019,Urban,,,,,95.629
2019,Rural,,,,,60.582
2019,,Municipality Chisinau,,,,98.087
2019,,North,,,,62.68
2019,,Center,,,,70.843
2019,,South,,,,68.416
2019,,,I,,,46.182
2019,,,II,,,69.272
2019,,,III,,,77.927
2019,,,IV,,,85.814
2019,,,V,,,93.435
2019,,,,Men,,75.85
2019,,,,Women,,71.695
2019,,,,,Public network,32.743
2019,,,,,Own system,41.776
2020,,,,,,77.619
2020,Urban,,,,,96.982
2020,Rural,,,,,64.86
2020,,Municipality Chisinau,,,,98.68
2020,,North,,,,65.34
2020,,Center,,,,73.878
2020,,South,,,,75.536
2020,,,I,,,57.426
2020,,,II,,,70.08
2020,,,III,,,78.053
2020,,,IV,,,86.727
2020,,,V,,,95.824
2020,,,,Men,,79.542
2020,,,,Women,,73.724
2020,,,,,Public network,33.035
2020,,,,,Own system,44.583
2021,,,,,,80.394
2021,Urban,,,,,96.601
2021,Rural,,,,,69.74
2021,,Municipality Chisinau,,,,98.605
2021,,North,,,,69.361
2021,,Center,,,,76.89
2021,,South,,,,79.75
2021,,,I,,,59.209
2021,,,II,,,73.818
2021,,,III,,,83.702
2021,,,IV,,,88.915
2021,,,V,,,96.37
2021,,,,Men,,81.72
2021,,,,Women,,77.662
2021,,,,,Public network,33.241
2021,,,,,Own system,47.152
2022,,,,,,81.464
2022,Urban,,,,,98.143
2022,Rural,,,,,70.51
2022,,Municipality Chisinau,,,,99.304
2022,,North,,,,69.88
2022,,Center,,,,79.221
2022,,South,,,,80.165
2022,,,I,,,65.268
2022,,,II,,,75.94
2022,,,III,,,80.395
2022,,,IV,,,88.901
2022,,,V,,,96.82
2022,,,,Men,,83.107
2022,,,,Women,,78.242
2022,,,,,Public network,33.99
2022,,,,,Own system,47.475
2023,,,,,,85.02
2023,Urban,,,,,98.425
2023,Rural,,,,,74.944
2023,,Municipality Chisinau,,,,98.807
2023,,North,,,,74.499
2023,,Center,,,,81.794
2023,,South,,,,85.353
2023,,,I,,,69.94
2023,,,II,,,82.128
2023,,,III,,,84.903
2023,,,IV,,,90.985
2023,,,V,,,97.137
2023,,,,Men,,85.894
2023,,,,Women,,83.341
2023,,,,,Public network,38.826
2023,,,,,Own system,46.194
