Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,I,II,III,IV,V,People with disability,People without disability,Value
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,Existence of disability,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,21.5
2014,Area of residence,,,,,,,,,,,,,,,,,29.5
2014,,,,,,,,,,,,,,,,,,15.7
2014,,,Sex,,,,,,,,,,,,,,,22.7
2014,,,,,,,,,,,,,,,,,,20.4
2014,,,,,Age group,,,,,,,,,,,,,36.4
2014,,,,,,,,,,,,,,,,,,28.5
2014,,,,,,,,,,,,,,,,,,30.2
2014,,,,,,,,,,,,,,,,,,19.6
2014,,,,,,,,,,,,,,,,,,9.4
2014,,,,,,,,,,,,,,,,,,4.5
2014,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,35.6
2014,,,,,,,,,,,,,,,,,,20.5
2014,,,,,,,,,,,,,,,,,,19.1
2014,,,,,,,,,,,,,,,,,,15.8
2014,,,,,,,,,,,,,,,,,,16.5
2014,,,,,,,,,,,,,,,,Existence of disability,,10.2
2014,,,,,,,,,,,,,,,,,,22.2
2015,,,,,,,,,,,,,,,,,,18.4
2015,Area of residence,,,,,,,,,,,,,,,,,27.1
2015,,,,,,,,,,,,,,,,,,12.2
2015,,,Sex,,,,,,,,,,,,,,,19.1
2015,,,,,,,,,,,,,,,,,,17.8
2015,,,,,Age group,,,,,,,,,,,,,33.4
2015,,,,,,,,,,,,,,,,,,20.1
2015,,,,,,,,,,,,,,,,,,29.2
2015,,,,,,,,,,,,,,,,,,17
2015,,,,,,,,,,,,,,,,,,6.7
2015,,,,,,,,,,,,,,,,,,4.8
2015,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,27.7
2015,,,,,,,,,,,,,,,,,,17.8
2015,,,,,,,,,,,,,,,,,,15.2
2015,,,,,,,,,,,,,,,,,,17.1
2015,,,,,,,,,,,,,,,,,,14.4
2015,,,,,,,,,,,,,,,,Existence of disability,,8.9
2015,,,,,,,,,,,,,,,,,,19.2
2016,,,,,,,,,,,,,,,,,,18.9
2016,Area of residence,,,,,,,,,,,,,,,,,26.1
2016,,,,,,,,,,,,,,,,,,13.7
2016,,,Sex,,,,,,,,,,,,,,,19.9
2016,,,,,,,,,,,,,,,,,,18
2016,,,,,Age group,,,,,,,,,,,,,35.3
2016,,,,,,,,,,,,,,,,,,22.3
2016,,,,,,,,,,,,,,,,,,27.7
2016,,,,,,,,,,,,,,,,,,16
2016,,,,,,,,,,,,,,,,,,7.3
2016,,,,,,,,,,,,,,,,,,4.2
2016,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,29.4
2016,,,,,,,,,,,,,,,,,,20.7
2016,,,,,,,,,,,,,,,,,,15.5
2016,,,,,,,,,,,,,,,,,,14.5
2016,,,,,,,,,,,,,,,,,,14.3
2016,,,,,,,,,,,,,,,,Existence of disability,,9.5
2016,,,,,,,,,,,,,,,,,,19.6
2017,,,,,,,,,,,,,,,,,,17.6
2017,Area of residence,,,,,,,,,,,,,,,,,24.5
2017,,,,,,,,,,,,,,,,,,12.8
2017,,,Sex,,,,,,,,,,,,,,,18.6
2017,,,,,,,,,,,,,,,,,,16.8
2017,,,,,Age group,,,,,,,,,,,,,31.9
2017,,,,,,,,,,,,,,,,,,21.1
2017,,,,,,,,,,,,,,,,,,27.6
2017,,,,,,,,,,,,,,,,,,15.5
2017,,,,,,,,,,,,,,,,,,5.8
2017,,,,,,,,,,,,,,,,,,5
2017,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,27.7
2017,,,,,,,,,,,,,,,,,,17.9
2017,,,,,,,,,,,,,,,,,,14.5
2017,,,,,,,,,,,,,,,,,,18.1
2017,,,,,,,,,,,,,,,,,,10
2017,,,,,,,,,,,,,,,,Existence of disability,,9.5
2017,,,,,,,,,,,,,,,,,,18.3
2018,,,,,,,,,,,,,,,,,,16.8
2018,Area of residence,,,,,,,,,,,,,,,,,26.2
2018,,,,,,,,,,,,,,,,,,10.3
2018,,,Sex,,,,,,,,,,,,,,,17.2
2018,,,,,,,,,,,,,,,,,,16.5
2018,,,,,Age group,,,,,,,,,,,,,30.1
2018,,,,,,,,,,,,,,,,,,23.7
2018,,,,,,,,,,,,,,,,,,25.9
2018,,,,,,,,,,,,,,,,,,13.6
2018,,,,,,,,,,,,,,,,,,6.3
2018,,,,,,,,,,,,,,,,,,3.9
2018,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,28.2
2018,,,,,,,,,,,,,,,,,,14.6
2018,,,,,,,,,,,,,,,,,,15.3
2018,,,,,,,,,,,,,,,,,,12
2018,,,,,,,,,,,,,,,,,,14.1
2018,,,,,,,,,,,,,,,,Existence of disability,,8.4
2018,,,,,,,,,,,,,,,,,,17.5
2019,,,,,,,,,,,,,,,,,,17.5
2019,Area of residence,,,,,,,,,,,,,,,,,23.4
2019,,,,,,,,,,,,,,,,,,13.6
2019,,,Sex,,,,,,,,,,,,,,,18.2
2019,,,,,,,,,,,,,,,,,,16.9
2019,,,,,Age group,,,,,,,,,,,,,33.8
2019,,,,,,,,,,,,,,,,,,21.4
2019,,,,,,,,,,,,,,,,,,26.4
2019,,,,,,,,,,,,,,,,,,15.7
2019,,,,,,,,,,,,,,,,,,5.1
2019,,,,,,,,,,,,,,,,,,3.8
2019,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,30.3
2019,,,,,,,,,,,,,,,,,,19.4
2019,,,,,,,,,,,,,,,,,,13.6
2019,,,,,,,,,,,,,,,,,,10.4
2019,,,,,,,,,,,,,,,,,,13.9
2019,,,,,,,,,,,,,,,,Existence of disability,,9.1
2019,,,,,,,,,,,,,,,,,,18.1
2020,,,,,,,,,,,,,,,,,,17
2020,Area of residence,,,,,,,,,,,,,,,,,23.3
2020,,,,,,,,,,,,,,,,,,12.8
2020,,,Sex,,,,,,,,,,,,,,,17.6
2020,,,,,,,,,,,,,,,,,,16.4
2020,,,,,Age group,,,,,,,,,,,,,33.2
2020,,,,,,,,,,,,,,,,,,19
2020,,,,,,,,,,,,,,,,,,26.7
2020,,,,,,,,,,,,,,,,,,17
2020,,,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,,,2.9
2020,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,28.9
2020,,,,,,,,,,,,,,,,,,16.1
2020,,,,,,,,,,,,,,,,,,15.9
2020,,,,,,,,,,,,,,,,,,13.8
2020,,,,,,,,,,,,,,,,,,10.2
2020,,,,,,,,,,,,,,,,Existence of disability,,10.2
2020,,,,,,,,,,,,,,,,,,17.5
2021,,,,,,,,,,,,,,,,,,17
2021,Area of residence,,,,,,,,,,,,,,,,,24.1
2021,,,,,,,,,,,,,,,,,,12.4
2021,,,Sex,,,,,,,,,,,,,,,18.1
2021,,,,,,,,,,,,,,,,,,16.2
2021,,,,,Age group,,,,,,,,,,,,,32.8
2021,,,,,,,,,,,,,,,,,,21.7
2021,,,,,,,,,,,,,,,,,,28.8
2021,,,,,,,,,,,,,,,,,,15
2021,,,,,,,,,,,,,,,,,,6
2021,,,,,,,,,,,,,,,,,,3.2
2021,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,31.1
2021,,,,,,,,,,,,,,,,,,13.3
2021,,,,,,,,,,,,,,,,,,13.3
2021,,,,,,,,,,,,,,,,,,16.4
2021,,,,,,,,,,,,,,,,,,11
2021,,,,,,,,,,,,,,,,Existence of disability,,9
2021,,,,,,,,,,,,,,,,,,17.6
2022,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,Sex,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,Age group,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,Existence of disability,,
2022,,,,,,,,,,,,,,,,,,
