Year,Area of residence,Sex,Age group,Level of education of the head of the household,Ethnicity of the head of the household,Wellbeing quintile,Value
2015,,,2-4,,,,
2015,,,5-9,,,,
2015,,,10-14,,,,
2015,,,,Primary and below,,,
2015,,,,Secondary,,,
2015,,,,Professional,,,
2015,,,,Higher,,,
2015,,,,,Moldovan/Romanian,,
2015,,,,,Russian,,
2015,,,,,Ucrainian,,
2015,,,,,Rum,,
2015,,,,,Gagauz,,
2015,,,,,Other,,
2015,,,,,,I,
2015,,,,,,II,
2015,,,,,,III,
2015,,,,,,IV,
2015,,,,,,V,
2016,,,,,,,
2016,Urban,,,,,,
2016,Rural,,,,,,
2016,,Men,,,,,
2016,,Women,,,,,
2016,,,2-4,,,,
2016,,,5-9,,,,
2016,,,10-14,,,,
2016,,,,Primary and below,,,
2016,,,,Secondary,,,
2016,,,,Professional,,,
2016,,,,Higher,,,
2016,,,,,Moldovan/Romanian,,
2016,,,,,Russian,,
2016,,,,,Ucrainian,,
2016,,,,,Rum,,
2016,,,,,Gagauz,,
2016,,,,,Other,,
2016,,,,,,I,
2016,,,,,,II,
2016,,,,,,III,
2016,,,,,,IV,
2016,,,,,,V,
2017,,,,,,,
2017,Urban,,,,,,
2017,Rural,,,,,,
2017,,Men,,,,,
2017,,Women,,,,,
2017,,,2-4,,,,
2017,,,5-9,,,,
2017,,,10-14,,,,
2017,,,,Primary and below,,,
2017,,,,Secondary,,,
2017,,,,Professional,,,
2017,,,,Higher,,,
2017,,,,,Moldovan/Romanian,,
2017,,,,,Russian,,
2017,,,,,Ucrainian,,
2017,,,,,Rum,,
2017,,,,,Gagauz,,
2017,,,,,Other,,
2017,,,,,,I,
2017,,,,,,II,
2017,,,,,,III,
2017,,,,,,IV,
2017,,,,,,V,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,Men,,,,,
2018,,Women,,,,,
2018,,,2-4,,,,
2018,,,5-9,,,,
2018,,,10-14,,,,
2018,,,,Primary and below,,,
2018,,,,Secondary,,,
2018,,,,Professional,,,
2018,,,,Higher,,,
2018,,,,,Moldovan/Romanian,,
2018,,,,,Russian,,
2018,,,,,Ucrainian,,
2018,,,,,Rum,,
2018,,,,,Gagauz,,
2018,,,,,Other,,
2018,,,,,,I,
2018,,,,,,II,
2018,,,,,,III,
2018,,,,,,IV,
2018,,,,,,V,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Men,,,,,
2019,,Women,,,,,
2019,,,2-4,,,,
2019,,,5-9,,,,
2019,,,10-14,,,,
2019,,,,Primary and below,,,
2019,,,,Secondary,,,
2019,,,,Professional,,,
2019,,,,Higher,,,
2019,,,,,Moldovan/Romanian,,
2019,,,,,Russian,,
2019,,,,,Ucrainian,,
2019,,,,,Rum,,
2019,,,,,Gagauz,,
2019,,,,,Other,,
2019,,,,,,I,
2019,,,,,,II,
2019,,,,,,III,
2019,,,,,,IV,
2019,,,,,,V,
2020,,,,,,,
2020,Urban,,,,,,
2020,Rural,,,,,,
2020,,Men,,,,,
2020,,Women,,,,,
2020,,,2-4,,,,
2020,,,5-9,,,,
2020,,,10-14,,,,
2020,,,,Primary and below,,,
2020,,,,Secondary,,,
2020,,,,Professional,,,
2020,,,,Higher,,,
2020,,,,,Moldovan/Romanian,,
2020,,,,,Russian,,
2020,,,,,Ucrainian,,
2020,,,,,Rum,,
2020,,,,,Gagauz,,
2020,,,,,Other,,
2020,,,,,,I,
2020,,,,,,II,
2020,,,,,,III,
2020,,,,,,IV,
2020,,,,,,V,
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Men,,,,,
2021,,Women,,,,,
2021,,,2-4,,,,
2021,,,5-9,,,,
2021,,,10-14,,,,
2021,,,,Primary and below,,,
2021,,,,Secondary,,,
2021,,,,Professional,,,
2021,,,,Higher,,,
2021,,,,,Moldovan/Romanian,,
2021,,,,,Russian,,
2021,,,,,Ucrainian,,
2021,,,,,Rum,,
2021,,,,,Gagauz,,
2021,,,,,Other,,
2021,,,,,,I,
2021,,,,,,II,
2021,,,,,,III,
2021,,,,,,IV,
2021,,,,,,V,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Men,,,,,
2022,,Women,,,,,
2022,,,2-4,,,,
2022,,,5-9,,,,
2022,,,10-14,,,,
2022,,,,Primary and below,,,
2022,,,,Secondary,,,
2022,,,,Professional,,,
2022,,,,Higher,,,
2022,,,,,Moldovan/Romanian,,
2022,,,,,Russian,,
2022,,,,,Ucrainian,,
2022,,,,,Rum,,
2022,,,,,Gagauz,,
2022,,,,,Other,,
2022,,,,,,I,
2022,,,,,,II,
2022,,,,,,III,
2022,,,,,,IV,
2022,,,,,,V,
