Year,Ethnicity,Sex,Age group,Disability,Citizenship,Beneficiary status - foreign citizen,Requested authority,Legal basis,Type of qualified assistance,Primary care,Value
2018,,,0-17,,,,,,,,2605
2018,,,18+,,,,,,,,47090
2018,,,, ,,,,,,,8
2018,,,,Mental,,,,,,,7
2018,,,,Intellectual,,,,,,,0
2018,,,,Sensory,,,,,,,1
2018,,,,,Republic of Moldova,,,,,,49629
2018,,,,,Foreign citizenship,,,,,,66
2018,,,,,Stateless,,,,,,0
2018,,,,,,Temporary protection,,,,,38
2018,,,,,,Humanitarian protection,,,,,1
2018,,,,,,Refugees,,,,,1
2018,,,,,,Asylum seekers,,,,,12
2018,,,,,,,Prosecution,,,,1836
2018,,,,,,,Police inspectorate,,,,21217
2018,,,,,,,Court,,,,19017
2018,,,,,,,Court of Appeal,,,,5270
2018,,,,,,,Supreme Court of Justice,,,,43
2018,,,,,,,Other authorities,,,,2312
2018,,,,,,,,Regardless of income level (art. 20 law 198),,,36340
2018,,,,,,,,Depending on the income level (art. 21 law 198),,,13355
2018,,,,,,,,,Qualified criminal cases,,39903
2018,,,,,,,,,Qualified contravention cases,,2737
2018,,,,,,,,,Qualified civil cases,,3546
2018,,,,,,,,,Emergency criminal cases,,3464
2018,,,,,,,,,Emergency contravention cases,,45
2018,,,,,,,,,,Total,10535
2019,,,,,,,,,,,48515
2019,Bulgarians,,,,,,,,,,1
2019,Roma,,,,,,,,,,1
2019,Russians,,,,,,,,,,7
2019,Jews,,,,,,,,,,0
2019,Ukrainians,,,,,,,,,,5
2019,,Men,,,,,,,,,42884
2019,,Women,,,,,,,,,5631
2019,,,0-17,,,,,,,,2403
2019,,,18+,,,,,,,,46112
2019,,,, ,,,,,,,52
2019,,,,Mental,,,,,,,21
2019,,,,Intellectual,,,,,,,1
2019,,,,Sensory,,,,,,,3
2019,,,,,Republic of Moldova,,,,,,48385
2019,,,,,Foreign citizenship,,,,,,130
2019,,,,,Stateless,,,,,,0
2019,,,,,,Temporary protection,,,,,100
2019,,,,,,Humanitarian protection,,,,,5
2019,,,,,,Refugees,,,,,0
2019,,,,,,Asylum seekers,,,,,14
2019,,,,,,,Prosecution,,,,1644
2019,,,,,,,Police inspectorate,,,,19878
2019,,,,,,,Court,,,,19716
2019,,,,,,,Court of Appeal,,,,5399
2019,,,,,,,Supreme Court of Justice,,,,52
2019,,,,,,,Other authorities,,,,1826
2019,,,,,,,,Regardless of income level (art. 20 law 198),,,38163
2019,,,,,,,,Depending on the income level (art. 21 law 198),,,10352
2019,,,,,,,,,Qualified criminal cases,,38663
2019,,,,,,,,,Qualified contravention cases,,2738
2019,,,,,,,,,Qualified civil cases,,3720
2019,,,,,,,,,Emergency criminal cases,,3333
2019,,,,,,,,,Emergency contravention cases,,61
2019,,,,,,,,,,Total,11812
2020,,,,,,,,,,,44265
2020,Bulgarians,,,,,,,,,,100
2020,Roma,,,,,,,,,,144
2020,Russians,,,,,,,,,,412
2020,Jews,,,,,,,,,,15
2020,Ukrainians,,,,,,,,,,148
2020,,Men,,,,,,,,,38662
2020,,Women,,,,,,,,,5603
2020,,,0-17,,,,,,,,2323
2020,,,18+,,,,,,,,41942
2020,,,, ,,,,,,,317
2020,,,,Mental,,,,,,,232
2020,,,,Intellectual,,,,,,,57
2020,,,,Sensory,,,,,,,15
2020,,,,,Republic of Moldova,,,,,,44218
2020,,,,,Foreign citizenship,,,,,,47
2020,,,,,Stateless,,,,,,0
2020,,,,,,Temporary protection,,,,,866
2020,,,,,,Humanitarian protection,,,,,139
2020,,,,,,Refugees,,,,,12
2020,,,,,,Asylum seekers,,,,,20
2020,,,,,,,Prosecution,,,,1513
2020,,,,,,,Police inspectorate,,,,19713
2020,,,,,,,Court,,,,17038
2020,,,,,,,Court of Appeal,,,,4731
2020,,,,,,,Supreme Court of Justice,,,,50
2020,,,,,,,Other authorities,,,,1220
2020,,,,,,,,Regardless of income level (art. 20 law 198),,,32625
2020,,,,,,,,Depending on the income level (art. 21 law 198),,,
2020,,,,,,,,,Qualified criminal cases,,34563
2020,,,,,,,,,Qualified contravention cases,,2868
2020,,,,,,,,,Qualified civil cases,,3720
2020,,,,,,,,,Emergency criminal cases,,3061
2020,,,,,,,,,Emergency contravention cases,,53
2020,,,,,,,,,,Total,12519
2021,,,,,,,,,,,47990
2021,Bulgarians,,,,,,,,,,179
2021,Roma,,,,,,,,,,320
2021,Russians,,,,,,,,,,832
2021,Jews,,,,,,,,,,38
2021,Ukrainians,,,,,,,,,,356
2021,,Men,,,,,,,,,41478
2021,,Women,,,,,,,,,6512
2021,,,0-17,,,,,,,,2213
2021,,,18+,,,,,,,,45777
2021,,,, ,,,,,,,279
2021,,,,Mental,,,,,,,579
2021,,,,Intellectual,,,,,,,115
2021,,,,Sensory,,,,,,,26
2021,,,,,Republic of Moldova,,,,,,47937
2021,,,,,Foreign citizenship,,,,,,53
2021,,,,,Stateless,,,,,,0
2021,,,,,,Temporary protection,,,,,2755
2021,,,,,,Humanitarian protection,,,,,135
2021,,,,,,Refugees,,,,,19
2021,,,,,,Asylum seekers,,,,,52
2021,,,,,,,Prosecution,,,,1419
2021,,,,,,,Police inspectorate,,,,20406
2021,,,,,,,Court,,,,19392
2021,,,,,,,Court of Appeal,,,,5277
2021,,,,,,,Supreme Court of Justice,,,,45
2021,,,,,,,Other authorities,,,,1451
2021,,,,,,,,Regardless of income level (art. 20 law 198),,,32854
2021,,,,,,,,Depending on the income level (art. 21 law 198),,,
2021,,,,,,,,,Qualified criminal cases,,36461
2021,,,,,,,,,Qualified contravention cases,,3872
2021,,,,,,,,,Qualified civil cases,,4133
2021,,,,,,,,,Emergency criminal cases,,3474
2021,,,,,,,,,Emergency contravention cases,,50
2021,,,,,,,,,,Total,13364
2022,,,,,,,,,,,50360
2022,Bulgarians,,,,,,,,,,215
2022,Roma,,,,,,,,,,255
2022,Russians,,,,,,,,,,841
2022,Jews,,,,,,,,,,26
2022,Ukrainians,,,,,,,,,,470
2022,,Men,,,,,,,,,43566
2022,,Women,,,,,,,,,6794
2022,,,0-17,,,,,,,,2513
2022,,,18+,,,,,,,,47847
2022,,,, ,,,,,,,239
2022,,,,Mental,,,,,,,682
2022,,,,Intellectual,,,,,,,138
2022,,,,Sensory,,,,,,,19
2022,,,,,Republic of Moldova,,,,,,50299
2022,,,,,Foreign citizenship,,,,,,61
2022,,,,,Stateless,,,,,,0
2022,,,,,,Temporary protection,,,,,3540
2022,,,,,,Humanitarian protection,,,,,88
2022,,,,,,Refugees,,,,,59
2022,,,,,,Asylum seekers,,,,,55
2022,,,,,,,Prosecution,,,,1081
2022,,,,,,,Police inspectorate,,,,20390
2022,,,,,,,Court,,,,21178
2022,,,,,,,Court of Appeal,,,,6253
2022,,,,,,,Supreme Court of Justice,,,,31
2022,,,,,,,Other authorities,,,,1427
2022,,,,,,,,Regardless of income level (art. 20 law 198),,,36383
2022,,,,,,,,Depending on the income level (art. 21 law 198),,,
2022,,,,,,,,,Qualified criminal cases,,38297
2022,,,,,,,,,Qualified contravention cases,,4087
2022,,,,,,,,,Qualified civil cases,,3975
2022,,,,,,,,,Emergency criminal cases,,3922
2022,,,,,,,,,Emergency contravention cases,,79
2022,,,,,,,,,,Total,13772
