Year,Area of residence,Sex of the head of the household,"Age groups of head of household, years",Quintiles on consumption expenditures,Household type,Value
2016,,,,,Without children up to 18 years,22.9
2017,,,,,,16.3
2017,Urban,,,,,15.6
2017,Rural,,,,,16.8
2017,,Men,,,,14.9
2017,,Women,,,,19
2017,,,<30,,,7.1
2017,,,30-39,,,7.9
2017,,,40-49,,,9.9
2017,,,50-59,,,17.9
2017,,,60-64,,,24.3
2017,,,65+,,,31.9
2017,,,,I,,12.3
2017,,,,II,,15.6
2017,,,,III,,15.6
2017,,,,IV,,16.7
2017,,,,V,,21.2
2017,,,,,With children up to 18 years,11.3
2017,,,,,Without children up to 18 years,21.6
2018,,,,,,13.1
2018,Urban,,,,,13.5
2018,Rural,,,,,12.8
2018,,Men,,,,12.1
2018,,Women,,,,15.1
2018,,,<30,,,7.1
2018,,,30-39,,,8.9
2018,,,40-49,,,9.8
2018,,,50-59,,,11.2
2018,,,60-64,,,18
2018,,,65+,,,25.3
2018,,,,I,,7.9
2018,,,,II,,12.2
2018,,,,III,,12.8
2018,,,,IV,,13.3
2018,,,,V,,19.3
2018,,,,,With children up to 18 years,10.4
2018,,,,,Without children up to 18 years,15.9
2019,,,,,,14
2019,Urban,,,,,15.4
2019,Rural,,,,,13.1
2019,,Men,,,,13
2019,,Women,,,,16.4
2019,,,<30,,,12.3
2019,,,30-39,,,8.4
2019,,,40-49,,,8.7
2019,,,50-59,,,15.7
2019,,,60-64,,,19.2
2019,,,65+,,,23.4
2019,,,,I,,6.8
2019,,,,II,,11.2
2019,,,,III,,13
2019,,,,IV,,18
2019,,,,V,,21.3
2019,,,,,With children up to 18 years,9.3
2019,,,,,Without children up to 18 years,18.9
2020,,,,,,12
2020,Urban,,,,,14.1
2020,Rural,,,,,10.6
2020,,Men,,,,11
2020,,Women,,,,14
2020,,,<30,,,9.7
2020,,,30-39,,,7
2020,,,40-49,,,8.6
2020,,,50-59,,,11.9
2020,,,60-64,,,15.8
2020,,,65+,,,21.8
2020,,,,I,,3.9
2020,,,,II,,8
2020,,,,III,,12.5
2020,,,,IV,,18
2020,,,,V,,17.5
2020,,,,,With children up to 18 years,7.7
2020,,,,,Without children up to 18 years,16.3
2021,,,,,,14.2
2021,Urban,,,,,17.1
2021,Rural,,,,,12.2
2021,,Men,,,,13.5
2021,,Women,,,,15.5
2021,,,<30,,,8.5
2021,,,30-39,,,10.2
2021,,,40-49,,,10.5
2021,,,50-59,,,14.2
2021,,,60-64,,,18.4
2021,,,65+,,,23.6
2021,,,,I,,6.9
2021,,,,II,,11.7
2021,,,,III,,11.4
2021,,,,IV,,17.7
2021,,,,V,,23.2
2021,,,,,With children up to 18 years,11.2
2021,,,,,Without children up to 18 years,17.1
2022,,,,,,
2022,Urban,,,,,
2022,Rural,,,,,
2022,,Men,,,,
2022,,Women,,,,
2022,,,<30,,,
2022,,,30-39,,,
2022,,,40-49,,,
2022,,,50-59,,,
2022,,,60-64,,,
2022,,,65+,,,
2022,,,,I,,
2022,,,,II,,
2022,,,,III,,
2022,,,,IV,,
2022,,,,V,,
2022,,,,,With children up to 18 years,
2022,,,,,Without children up to 18 years,
