Year,"Number of children subjected to violence, at the end of the year",Area of residence (subjected to violence),Sex (subjected to violence),Age group (subjected to violence),Disability (subjected to violence),"Number of neglected children, at the end of the year",Area of residence (neglected),Sex (neglected),Age group (neglected),Disability (neglected),Value
2021,,,,,,,,,0-2 years old,,626
2021,,,,,,,,,3-6 years old,,1481
2021,,,,,,,,,7-15 years old,,3250
2021,,,,,,,,,16-17 years old,,940
2021,,,,,,,,,,With disabilities,142
2022,Total,,,,,,,,,,515
2022,,Urban,,,,,,,,,193
2022,,Rural,,,,,,,,,322
2022,,,Girls,,,,,,,,277
2022,,,Boys,,,,,,,,238
2022,,,,0-2 years,,,,,,,34
2022,,,,3-6 years,,,,,,,97
2022,,,,7-15 years,,,,,,,278
2022,,,,16-17 years,,,,,,,106
2022,,,,,With disabilities,,,,,,
2022,,,,,,Total,,,,,12102
2022,,,,,,,Urban,,,,3899
2022,,,,,,,Rural,,,,8203
2022,,,,,,,,Girls,,,5822
2022,,,,,,,,Boys,,,6280
2022,,,,,,,,,0-2 years old,,1526
2022,,,,,,,,,3-6 years old,,2952
2022,,,,,,,,,7-15 years old,,6105
2022,,,,,,,,,16-17 years old,,1519
2022,,,,,,,,,,With disabilities,307
2023,Total,,,,,,,,,,547
2023,,Urban,,,,,,,,,202
2023,,Rural,,,,,,,,,345
2023,,,Girls,,,,,,,,293
2023,,,Boys,,,,,,,,254
2023,,,,0-2 years,,,,,,,26
2023,,,,3-6 years,,,,,,,89
2023,,,,7-15 years,,,,,,,349
2023,,,,16-17 years,,,,,,,83
2023,,,,,With disabilities,,,,,,0
2023,,,,,,Total,,,,,10376
2023,,,,,,,Urban,,,,2672
2023,,,,,,,Rural,,,,7704
2023,,,,,,,,Girls,,,4892
2023,,,,,,,,Boys,,,5484
2023,,,,,,,,,0-2 years old,,1189
2023,,,,,,,,,3-6 years old,,2528
2023,,,,,,,,,7-15 years old,,5444
2023,,,,,,,,,16-17 years old,,1215
2023,,,,,,,,,,With disabilities,325
2024,Total,,,,,,,,,,324
2024,,Urban,,,,,,,,,59
2024,,Rural,,,,,,,,,265
2024,,,Girls,,,,,,,,162
2024,,,Boys,,,,,,,,162
2024,,,,0-2 years,,,,,,,26
2024,,,,3-6 years,,,,,,,72
2024,,,,7-15 years,,,,,,,171
2024,,,,16-17 years,,,,,,,55
2024,,,,,With disabilities,,,,,,7
2024,,,,,,Total,,,,,7288
2024,,,,,,,Urban,,,,1415
2024,,,,,,,Rural,,,,5873
2024,,,,,,,,Girls,,,3567
2024,,,,,,,,Boys,,,3721
2024,,,,,,,,,0-2 years old,,874
2024,,,,,,,,,3-6 years old,,1834
2024,,,,,,,,,7-15 years old,,3832
2024,,,,,,,,,16-17 years old,,748
2024,,,,,,,,,,With disabilities,264
2025,Total,,,,,,,,,,615
2025,,Urban,,,,,,,,,130
2025,,Rural,,,,,,,,,485
2025,,,Girls,,,,,,,,319
2025,,,Boys,,,,,,,,296
2025,,,,0-2 years,,,,,,,46
2025,,,,3-6 years,,,,,,,94
2025,,,,7-15 years,,,,,,,388
2025,,,,16-17 years,,,,,,,87
2025,,,,,With disabilities,,,,,,16
2025,,,,,,Total,,,,,16517
2025,,,,,,,Urban,,,,3288
2025,,,,,,,Rural,,,,13229
2025,,,,,,,,Girls,,,8197
2025,,,,,,,,Boys,,,8320
2025,,,,,,,,,0-2 years old,,1924
2025,,,,,,,,,3-6 years old,,3824
2025,,,,,,,,,7-15 years old,,9065
2025,,,,,,,,,16-17 years old,,1704
2025,,,,,,,,,,With disabilities,436
