Year,Managerial positions held by women,Women in senior and middle management positions,Value
2012,Public property - Proportion of managerial positions held by women,,
2012,Other forms of property - Proportion of managerial positions held by women,,
2012,,Total - Proportion of women in senior and middle management positions,
2012,,Urban - Proportion of women in senior and middle management positions,
2012,,Rural - Proportion of women in senior and middle management positions,
2012,,Agriculture - Proportion of women in senior and middle management positions,
2012,,Industry - Proportion of women in senior and middle management positions,
2012,,Construction - Proportion of women in senior and middle management positions,
2012,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,
2012,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,
2012,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,
2012,,Other activities - Proportion of women in senior and middle management positions,
2012,,Public property - Proportion of women in senior and middle management positions,
2012,,Other forms of property - Proportion of women in senior and middle management positions,
2013,Total - Proportion of managerial positions held by women,,
2013,Urban - Proportion of managerial positions held by women,,
2013,Rural - Proportion of managerial positions held by women,,
2013,Agriculture - Proportion of managerial positions held by women,,
2013,Industry - Proportion of managerial positions held by women,,
2013,Construction - Proportion of managerial positions held by women,,
2013,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,
2013,Transportation and storage; information and communication - Proportion of managerial positions held by women,,
2013,Public administration; education; health and social work - Proportion of managerial positions held by women,,
2013,Other activities - Proportion of managerial positions held by women,,
2013,Public property - Proportion of managerial positions held by women,,
2013,Other forms of property - Proportion of managerial positions held by women,,
2013,,Total - Proportion of women in senior and middle management positions,
2013,,Urban - Proportion of women in senior and middle management positions,
2013,,Rural - Proportion of women in senior and middle management positions,
2013,,Agriculture - Proportion of women in senior and middle management positions,
2013,,Industry - Proportion of women in senior and middle management positions,
2013,,Construction - Proportion of women in senior and middle management positions,
2013,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,
2013,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,
2013,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,
2013,,Other activities - Proportion of women in senior and middle management positions,
2013,,Public property - Proportion of women in senior and middle management positions,
2013,,Other forms of property - Proportion of women in senior and middle management positions,
2014,Total - Proportion of managerial positions held by women,,42.569
2014,Urban - Proportion of managerial positions held by women,,40.393
2014,Rural - Proportion of managerial positions held by women,,48.81
2014,Agriculture - Proportion of managerial positions held by women,,10.327
2014,Industry - Proportion of managerial positions held by women,,35.439
2014,Construction - Proportion of managerial positions held by women,,14.257
2014,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,36.249
2014,Transportation and storage; information and communication - Proportion of managerial positions held by women,,47.167
2014,Public administration; education; health and social work - Proportion of managerial positions held by women,,58.21
2014,Other activities - Proportion of managerial positions held by women,,50.636
2014,Public property - Proportion of managerial positions held by women,,56.458
2014,Other forms of property - Proportion of managerial positions held by women,,36.641
2014,,Total - Proportion of women in senior and middle management positions,43.735
2014,,Urban - Proportion of women in senior and middle management positions,41.144
2014,,Rural - Proportion of women in senior and middle management positions,50.363
2014,,Agriculture - Proportion of women in senior and middle management positions,10.327
2014,,Industry - Proportion of women in senior and middle management positions,36.367
2014,,Construction - Proportion of women in senior and middle management positions,14.257
2014,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,37.353
2014,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,47.44
2014,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,58.54
2014,,Other activities - Proportion of women in senior and middle management positions,52.124
2014,,Public property - Proportion of women in senior and middle management positions,57.628
2014,,Other forms of property - Proportion of women in senior and middle management positions,36.474
2015,Total - Proportion of managerial positions held by women,,48.468
2015,Urban - Proportion of managerial positions held by women,,47.131
2015,Rural - Proportion of managerial positions held by women,,52.358
2015,Agriculture - Proportion of managerial positions held by women,,13.03
2015,Industry - Proportion of managerial positions held by women,,42.284
2015,Construction - Proportion of managerial positions held by women,,18.111
2015,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,46.28
2015,Transportation and storage; information and communication - Proportion of managerial positions held by women,,49.587
2015,Public administration; education; health and social work - Proportion of managerial positions held by women,,60.625
2015,Other activities - Proportion of managerial positions held by women,,54.795
2015,Public property - Proportion of managerial positions held by women,,60.904
2015,Other forms of property - Proportion of managerial positions held by women,,42.498
2015,,Total - Proportion of women in senior and middle management positions,48.8
2015,,Urban - Proportion of women in senior and middle management positions,45.4
2015,,Rural - Proportion of women in senior and middle management positions,58.3
2015,,Agriculture - Proportion of women in senior and middle management positions,13.3
2015,,Industry - Proportion of women in senior and middle management positions,42.9
2015,,Construction - Proportion of women in senior and middle management positions,18.9
2015,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,58.8
2015,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,49.8
2015,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,63
2015,,Other activities - Proportion of women in senior and middle management positions,52
2015,,Public property - Proportion of women in senior and middle management positions,64.424
2015,,Other forms of property - Proportion of women in senior and middle management positions,38.716
2016,Total - Proportion of managerial positions held by women,,46.596
2016,Urban - Proportion of managerial positions held by women,,45.07
2016,Rural - Proportion of managerial positions held by women,,51.013
2016,Agriculture - Proportion of managerial positions held by women,,12.473
2016,Industry - Proportion of managerial positions held by women,,34.411
2016,Construction - Proportion of managerial positions held by women,,28.266
2016,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,45.436
2016,Transportation and storage; information and communication - Proportion of managerial positions held by women,,48.207
2016,Public administration; education; health and social work - Proportion of managerial positions held by women,,59.601
2016,Other activities - Proportion of managerial positions held by women,,55.575
2016,Public property - Proportion of managerial positions held by women,,61.981
2016,Other forms of property - Proportion of managerial positions held by women,,40.453
2016,,Total - Proportion of women in senior and middle management positions,46.3
2016,,Urban - Proportion of women in senior and middle management positions,43
2016,,Rural - Proportion of women in senior and middle management positions,54.4
2016,,Agriculture - Proportion of women in senior and middle management positions,12.5
2016,,Industry - Proportion of women in senior and middle management positions,33.4
2016,,Construction - Proportion of women in senior and middle management positions,28.3
2016,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,53.5
2016,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,48.2
2016,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,61.2
2016,,Other activities - Proportion of women in senior and middle management positions,55.3
2016,,Public property - Proportion of women in senior and middle management positions,65.8
2016,,Other forms of property - Proportion of women in senior and middle management positions,35.6
2017,Total - Proportion of managerial positions held by women,,41.452
2017,Urban - Proportion of managerial positions held by women,,39.014
2017,Rural - Proportion of managerial positions held by women,,48.226
2017,Agriculture - Proportion of managerial positions held by women,,10.48
2017,Industry - Proportion of managerial positions held by women,,41.694
2017,Construction - Proportion of managerial positions held by women,,25.793
2017,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,36.74
2017,Transportation and storage; information and communication - Proportion of managerial positions held by women,,41.223
2017,Public administration; education; health and social work - Proportion of managerial positions held by women,,58.157
2017,Other activities - Proportion of managerial positions held by women,,37.904
2017,Public property - Proportion of managerial positions held by women,,53.336
2017,Other forms of property - Proportion of managerial positions held by women,,36.309
2017,,Total - Proportion of women in senior and middle management positions,45.5
2017,,Urban - Proportion of women in senior and middle management positions,42.4
2017,,Rural - Proportion of women in senior and middle management positions,53.8
2017,,Agriculture - Proportion of women in senior and middle management positions,10.5
2017,,Industry - Proportion of women in senior and middle management positions,42
2017,,Construction - Proportion of women in senior and middle management positions,26.9
2017,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,58.5
2017,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,43.1
2017,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,63
2017,,Other activities - Proportion of women in senior and middle management positions,36.6
2017,,Public property - Proportion of women in senior and middle management positions,59
2017,,Other forms of property - Proportion of women in senior and middle management positions,38.4
2018,Total - Proportion of managerial positions held by women,,40.252
2018,Urban - Proportion of managerial positions held by women,,36.016
2018,Rural - Proportion of managerial positions held by women,,51.888
2018,Agriculture - Proportion of managerial positions held by women,,12.207
2018,Industry - Proportion of managerial positions held by women,,36.324
2018,Construction - Proportion of managerial positions held by women,,13.184
2018,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,34.822
2018,Transportation and storage; information and communication - Proportion of managerial positions held by women,,48.777
2018,Public administration; education; health and social work - Proportion of managerial positions held by women,,51.699
2018,Other activities - Proportion of managerial positions held by women,,50.765
2018,Public property - Proportion of managerial positions held by women,,47.95
2018,Other forms of property - Proportion of managerial positions held by women,,36.463
2018,,Total - Proportion of women in senior and middle management positions,43.1
2018,,Urban - Proportion of women in senior and middle management positions,39.3
2018,,Rural - Proportion of women in senior and middle management positions,52.5
2018,,Agriculture - Proportion of women in senior and middle management positions,12.2
2018,,Industry - Proportion of women in senior and middle management positions,36.5
2018,,Construction - Proportion of women in senior and middle management positions,13.2
2018,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,68.2
2018,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,49.2
2018,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,51.4
2018,,Other activities - Proportion of women in senior and middle management positions,53
2018,,Public property - Proportion of women in senior and middle management positions,46.5
2018,,Other forms of property - Proportion of women in senior and middle management positions,41
2019,Total - Proportion of managerial positions held by women,,45.676
2019,Urban - Proportion of managerial positions held by women,,43.771
2019,Rural - Proportion of managerial positions held by women,,49.75
2019,Agriculture - Proportion of managerial positions held by women,,21.237
2019,Industry - Proportion of managerial positions held by women,,36.752
2019,Construction - Proportion of managerial positions held by women,,15.623
2019,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,38.559
2019,Transportation and storage; information and communication - Proportion of managerial positions held by women,,52.618
2019,Public administration; education; health and social work - Proportion of managerial positions held by women,,52.851
2019,Other activities - Proportion of managerial positions held by women,,64.065
2019,Public property - Proportion of managerial positions held by women,,56.822
2019,Other forms of property - Proportion of managerial positions held by women,,40.3
2019,,Total - Proportion of women in senior and middle management positions,46.8
2019,,Urban - Proportion of women in senior and middle management positions,43.6
2019,,Rural - Proportion of women in senior and middle management positions,53.8
2019,,Agriculture - Proportion of women in senior and middle management positions,21.2
2019,,Industry - Proportion of women in senior and middle management positions,34.4
2019,,Construction - Proportion of women in senior and middle management positions,15.6
2019,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,62.5
2019,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,52.6
2019,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,49.8
2019,,Other activities - Proportion of women in senior and middle management positions,63.4
2019,,Public property - Proportion of women in senior and middle management positions,54.1
2019,,Other forms of property - Proportion of women in senior and middle management positions,41.2
2020,Total - Proportion of managerial positions held by women,,42.268
2020,Urban - Proportion of managerial positions held by women,,38.859
2020,Rural - Proportion of managerial positions held by women,,49.654
2020,Agriculture - Proportion of managerial positions held by women,,13.968
2020,Industry - Proportion of managerial positions held by women,,35.123
2020,Construction - Proportion of managerial positions held by women,,4.307
2020,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,36.224
2020,Transportation and storage; information and communication - Proportion of managerial positions held by women,,47.269
2020,Public administration; education; health and social work - Proportion of managerial positions held by women,,55.687
2020,Other activities - Proportion of managerial positions held by women,,52.721
2020,Public property - Proportion of managerial positions held by women,,54.824
2020,Other forms of property - Proportion of managerial positions held by women,,36.71
2020,,Total - Proportion of women in senior and middle management positions,45.2
2020,,Urban - Proportion of women in senior and middle management positions,41
2020,,Rural - Proportion of women in senior and middle management positions,54.6
2020,,Agriculture - Proportion of women in senior and middle management positions,13.968
2020,,Industry - Proportion of women in senior and middle management positions,35.205
2020,,Construction - Proportion of women in senior and middle management positions,4.307
2020,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,59.612
2020,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,48.857
2020,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,53.49
2020,,Other activities - Proportion of women in senior and middle management positions,59.489
2020,,Public property - Proportion of women in senior and middle management positions,53.5
2020,,Other forms of property - Proportion of women in senior and middle management positions,39.7
2021,Total - Proportion of managerial positions held by women,,44.59
2021,Urban - Proportion of managerial positions held by women,,42.686
2021,Rural - Proportion of managerial positions held by women,,49.295
2021,Agriculture - Proportion of managerial positions held by women,,14.147
2021,Industry - Proportion of managerial positions held by women,,52.137
2021,Construction - Proportion of managerial positions held by women,,30.83
2021,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,35.343
2021,Transportation and storage; information and communication - Proportion of managerial positions held by women,,61.303
2021,Public administration; education; health and social work - Proportion of managerial positions held by women,,56.368
2021,Other activities - Proportion of managerial positions held by women,,50.227
2021,Public property - Proportion of managerial positions held by women,,55.381
2021,Other forms of property - Proportion of managerial positions held by women,,40.386
2021,,Total - Proportion of women in senior and middle management positions,52.004
2021,,Urban - Proportion of women in senior and middle management positions,52.067
2021,,Rural - Proportion of women in senior and middle management positions,51.877
2021,,Agriculture - Proportion of women in senior and middle management positions,14.147
2021,,Industry - Proportion of women in senior and middle management positions,53.226
2021,,Construction - Proportion of women in senior and middle management positions,30.83
2021,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,55.925
2021,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,60.999
2021,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,59.707
2021,,Other activities - Proportion of women in senior and middle management positions,53.644
2021,,Public property - Proportion of women in senior and middle management positions,58.7
2021,,Other forms of property - Proportion of women in senior and middle management positions,47.8
2022,Total - Proportion of managerial positions held by women,,44.598
2022,Urban - Proportion of managerial positions held by women,,42.427
2022,Rural - Proportion of managerial positions held by women,,50.193
2022,Agriculture - Proportion of managerial positions held by women,,4.05
2022,Industry - Proportion of managerial positions held by women,,38.166
2022,Construction - Proportion of managerial positions held by women,,28.475
2022,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,38.062
2022,Transportation and storage; information and communication - Proportion of managerial positions held by women,,63.191
2022,Public administration; education; health and social work - Proportion of managerial positions held by women,,54.315
2022,Other activities - Proportion of managerial positions held by women,,54.811
2022,Public property - Proportion of managerial positions held by women,,58.233
2022,Other forms of property - Proportion of managerial positions held by women,,38.563
2022,,Total - Proportion of women in senior and middle management positions,47.282
2022,,Urban - Proportion of women in senior and middle management positions,45.975
2022,,Rural - Proportion of women in senior and middle management positions,50.454
2022,,Agriculture - Proportion of women in senior and middle management positions,4.05
2022,,Industry - Proportion of women in senior and middle management positions,37.646
2022,,Construction - Proportion of women in senior and middle management positions,28.475
2022,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,54.87
2022,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,64.221
2022,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,50.729
2022,,Other activities - Proportion of women in senior and middle management positions,56.307
2022,,Public property - Proportion of women in senior and middle management positions,56.531
2022,,Other forms of property - Proportion of women in senior and middle management positions,40.862
2023,Total - Proportion of managerial positions held by women,,43.569
2023,Urban - Proportion of managerial positions held by women,,42.737
2023,Rural - Proportion of managerial positions held by women,,46.474
2023,Agriculture - Proportion of managerial positions held by women,,7.729
2023,Industry - Proportion of managerial positions held by women,,18.994
2023,Construction - Proportion of managerial positions held by women,,32.765
2023,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,42.606
2023,Transportation and storage; information and communication - Proportion of managerial positions held by women,,48.042
2023,Public administration; education; health and social work - Proportion of managerial positions held by women,,61.638
2023,Other activities - Proportion of managerial positions held by women,,51.249
2023,Public property - Proportion of managerial positions held by women,,59.318
2023,Other forms of property - Proportion of managerial positions held by women,,37.815
2023,,Total - Proportion of women in senior and middle management positions,42.67
2023,,Urban - Proportion of women in senior and middle management positions,41.819
2023,,Rural - Proportion of women in senior and middle management positions,45.644
2023,,Agriculture - Proportion of women in senior and middle management positions,7.729
2023,,Industry - Proportion of women in senior and middle management positions,19.616
2023,,Construction - Proportion of women in senior and middle management positions,32.765
2023,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,42.528
2023,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,46.494
2023,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,62.056
2023,,Other activities - Proportion of women in senior and middle management positions,55.769
2023,,Public property - Proportion of women in senior and middle management positions,59.829
2023,,Other forms of property - Proportion of women in senior and middle management positions,34.263
2024,Total - Proportion of managerial positions held by women,,44.779
2024,Urban - Proportion of managerial positions held by women,,43.446
2024,Rural - Proportion of managerial positions held by women,,49.966
2024,Agriculture - Proportion of managerial positions held by women,,20.436
2024,Industry - Proportion of managerial positions held by women,,28.26
2024,Construction - Proportion of managerial positions held by women,,35.33
2024,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,36.405
2024,Transportation and storage; information and communication - Proportion of managerial positions held by women,,46.774
2024,Public administration; education; health and social work - Proportion of managerial positions held by women,,70.07
2024,Other activities - Proportion of managerial positions held by women,,52.213
2024,Public property - Proportion of managerial positions held by women,,65.675
2024,Other forms of property - Proportion of managerial positions held by women,,38.038
2024,,Total - Proportion of women in senior and middle management positions,44.839
2024,,Urban - Proportion of women in senior and middle management positions,44.045
2024,,Rural - Proportion of women in senior and middle management positions,47.814
2024,,Agriculture - Proportion of women in senior and middle management positions,20.436
2024,,Industry - Proportion of women in senior and middle management positions,28.26
2024,,Construction - Proportion of women in senior and middle management positions,35.344
2024,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,40.591
2024,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,45.863
2024,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,67.519
2024,,Other activities - Proportion of women in senior and middle management positions,48.273
2024,,Public property - Proportion of women in senior and middle management positions,63.896
2024,,Other forms of property - Proportion of women in senior and middle management positions,36.737
2025,Total - Proportion of managerial positions held by women,,43.947
2025,Urban - Proportion of managerial positions held by women,,41.39
2025,Rural - Proportion of managerial positions held by women,,55.208
2025,Agriculture - Proportion of managerial positions held by women,,18.777
2025,Industry - Proportion of managerial positions held by women,,21.828
2025,Construction - Proportion of managerial positions held by women,,24.975
2025,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,41.683
2025,Transportation and storage; information and communication - Proportion of managerial positions held by women,,40.243
2025,Public administration; education; health and social work - Proportion of managerial positions held by women,,62.211
2025,Other activities - Proportion of managerial positions held by women,,50.385
2025,Public property - Proportion of managerial positions held by women,,60.483
2025,Other forms of property - Proportion of managerial positions held by women,,38.251
2025,,Total - Proportion of women in senior and middle management positions,43.426
2025,,Urban - Proportion of women in senior and middle management positions,41.43
2025,,Rural - Proportion of women in senior and middle management positions,51.886
2025,,Agriculture - Proportion of women in senior and middle management positions,18.777
2025,,Industry - Proportion of women in senior and middle management positions,21.194
2025,,Construction - Proportion of women in senior and middle management positions,24.975
2025,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,51.115
2025,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,40.256
2025,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,60.483
2025,,Other activities - Proportion of women in senior and middle management positions,47.199
2025,,Public property - Proportion of women in senior and middle management positions,58.321
2025,,Other forms of property - Proportion of women in senior and middle management positions,35.308
