Year,Sex,Area of residence,Area of residence/Sex,Age group/Sex,Value
2015,,,,15-24/Men,
2015,,,,15-24/ Women,
2015,,,,25-34/Men,
2015,,,,25-34/Women,
2015,,,,35-44/Men,
2015,,,,35-44/Women,
2015,,,,45-49/Men,
2015,,,,45-49/Women,
2016,,,,,
2016,Men,,,,
2016,Women,,,,
2016,,Urban,,,
2016,,Rural,,,
2016,,,Urban/Men,,
2016,,,Rural/Men,,
2016,,,Urban/Women,,
2016,,,Rural/Women,,
2016,,,,15-24/Men,
2016,,,,15-24/ Women,
2016,,,,25-34/Men,
2016,,,,25-34/Women,
2016,,,,35-44/Men,
2016,,,,35-44/Women,
2016,,,,45-49/Men,
2016,,,,45-49/Women,
2017,,,,,61
2017,Men,,,,75.8
2017,Women,,,,49.5
2017,,Urban,,,61.3
2017,,Rural,,,60.6
2017,,,Urban/Men,,
2017,,,Rural/Men,,
2017,,,Urban/Women,,
2017,,,Rural/Women,,
2017,,,,15-24/Men,
2017,,,,15-24/ Women,
2017,,,,25-34/Men,
2017,,,,25-34/Women,
2017,,,,35-44/Men,
2017,,,,35-44/Women,
2017,,,,45-49/Men,
2017,,,,45-49/Women,
2018,,,,,
2018,Men,,,,
2018,Women,,,,
2018,,Urban,,,
2018,,Rural,,,
2018,,,Urban/Men,,
2018,,,Rural/Men,,
2018,,,Urban/Women,,
2018,,,Rural/Women,,
2018,,,,15-24/Men,
2018,,,,15-24/ Women,
2018,,,,25-34/Men,
2018,,,,25-34/Women,
2018,,,,35-44/Men,
2018,,,,35-44/Women,
2018,,,,45-49/Men,
2018,,,,45-49/Women,
2019,,,,,
2019,Men,,,,
2019,Women,,,,
2019,,Urban,,,
2019,,Rural,,,
2019,,,Urban/Men,,
2019,,,Rural/Men,,
2019,,,Urban/Women,,
2019,,,Rural/Women,,
2019,,,,15-24/Men,
2019,,,,15-24/ Women,
2019,,,,25-34/Men,
2019,,,,25-34/Women,
2019,,,,35-44/Men,
2019,,,,35-44/Women,
2019,,,,45-49/Men,
2019,,,,45-49/Women,
2020,,,,,
2020,Men,,,,
2020,Women,,,,
2020,,Urban,,,
2020,,Rural,,,
2020,,,Urban/Men,,
2020,,,Rural/Men,,
2020,,,Urban/Women,,
2020,,,Rural/Women,,
2020,,,,15-24/Men,
2020,,,,15-24/ Women,
2020,,,,25-34/Men,
2020,,,,25-34/Women,
2020,,,,35-44/Men,
2020,,,,35-44/Women,
2020,,,,45-49/Men,
2020,,,,45-49/Women,
2021,,,,,63.2
2021,Men,,,,73.1
2021,Women,,,,53.2
2021,,Urban,,,68.2
2021,,Rural,,,57.8
2021,,,Urban/Men,,
2021,,,Rural/Men,,
2021,,,Urban/Women,,
2021,,,Rural/Women,,
2021,,,,15-24/Men,
2021,,,,15-24/ Women,
2021,,,,25-34/Men,
2021,,,,25-34/Women,
2021,,,,35-44/Men,
2021,,,,35-44/Women,
2021,,,,45-49/Men,
2021,,,,45-49/Women,
2022,,,,,
2022,Men,,,,
2022,Women,,,,
2022,,Urban,,,
2022,,Rural,,,
2022,,,Urban/Men,,
2022,,,Rural/Men,,
2022,,,Urban/Women,,
2022,,,Rural/Women,,
2022,,,,15-24/Men,
2022,,,,15-24/ Women,
2022,,,,25-34/Men,
2022,,,,25-34/Women,
2022,,,,35-44/Men,
2022,,,,35-44/Women,
2022,,,,45-49/Men,
2022,,,,45-49/Women,
