Year,Units,Series,Mediul de reședință,Sex,Value
2015,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,98.7
2015,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,98.8
2015,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.1
2015,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,77.2
2015,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,90.2
2015,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,69.8
2015,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,73.0
2015,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,81.5
2016,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.8
2016,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,100.0
2016,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.8
2016,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.8
2016,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.9
2016,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.3
2016,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,100.0
2016,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,99.0
2016,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,99.6
2016,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.0
2016,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,79.3
2016,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,91.1
2016,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,71.6
2016,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,76.0
2016,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,82.7
2017,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.9
2017,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.6
2017,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,100.0
2017,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.7
2017,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,100.0
2017,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.4
2017,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,99.6
2017,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,99.3
2017,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,99.5
2017,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.3
2017,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,79.9
2017,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,91.6
2017,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,73.9
2017,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,78.4
2017,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,81.5
2018,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.7
2018,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.5
2018,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.7
2018,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.9
2018,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.4
2018,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.0
2018,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,99.1
2018,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,98.9
2018,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,98.9
2018,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.1
2018,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,78.0
2018,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,89.1
2018,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,70.4
2018,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,78.4
2018,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,77.4
2019,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.6
2019,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.7
2019,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.5
2019,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.7
2019,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.4
2019,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.1
2019,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,98.3
2019,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,99.6
2019,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,99.2
2019,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.0
2019,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,80.5
2019,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,91.1
2019,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,72.9
2019,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,77.3
2019,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,83.7
2020,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.8
2020,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.7
2020,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.8
2020,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.8
2020,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.8
2020,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,100.0
2020,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,100.0
2020,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,100.0
2020,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,100.0
2020,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,100.0
2020,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,80.6
2020,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,88.7
2020,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,74.7
2020,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,78.2
2020,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,83.1
2021,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,100.0
2021,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,100.0
2021,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,100.0
2021,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,100.0
2021,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,100.0
2021,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.1
2021,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,98.6
2021,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,99.4
2021,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,99.1
2021,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.1
2021,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,78.1
2021,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,85.3
2021,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,72.1
2021,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,74.8
2021,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,81.3
2022,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.8
2022,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.7
2022,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.9
2022,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.8
2022,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.8
2022,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.0
2022,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,98.6
2022,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,99.3
2022,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,98.9
2022,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.2
2022,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,75.0
2022,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,83.0
2022,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,68.4
2022,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,73.1
2022,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,76.8
