Year,Sex,Age group,Statistical regions,Occupations,Value
2015,,15-24,,,10.4
2015,,25 and over,,,9.5
2015,,,Mun. Chisinau,,14.5
2015,,,North,,7.1
2015,,,Center,,6.9
2015,,,South,,10.0
2015,,,,"Legislators, senior officials and managers",11.69
2015,,,,Professionals,5.282
2015,,,,Technicians and associate professionals,7.576
2015,,,,Clerical support workers,6.353
2015,,,,Service and shop and Sales Workers,0.593
2015,,,,Craft and related trades workers,41.162
2015,,,,Plant and machine operators and assemblers,20.992
2015,,,,Elementary occupations,10.477
2016,,,,,9.5
2016,Men,,,,9.5
2016,Women,,,,9.5
2016,,15-24,,,12.4
2016,,25 and over,,,9.3
2016,,,Mun. Chisinau,,14.4
2016,,,North,,7.0
2016,,,Center,,7.3
2016,,,South,,9.8
2016,,,,"Legislators, senior officials and managers",12.843
2016,,,,Professionals,4.57
2016,,,,Technicians and associate professionals,7.269
2016,,,,Clerical support workers,6.576
2016,,,,Service and shop and Sales Workers,0.328
2016,,,,Craft and related trades workers,42.719
2016,,,,Plant and machine operators and assemblers,23.323
2016,,,,Elementary occupations,10.312
2017,,,,,8.9
2017,Men,,,,8.1
2017,Women,,,,9.8
2017,,15-24,,,13.5
2017,,25 and over,,,8.6
2017,,,Mun. Chisinau,,11.7
2017,,,North,,9.0
2017,,,Center,,7.4
2017,,,South,,7.1
2017,,,,"Legislators, senior officials and managers",13.402
2017,,,,Professionals,3.967
2017,,,,Technicians and associate professionals,5.1
2017,,,,Clerical support workers,6.76
2017,,,,Service and shop and Sales Workers,0.218
2017,,,,Craft and related trades workers,42.588
2017,,,,Plant and machine operators and assemblers,20.982
2017,,,,Elementary occupations,9.406
2018,,,,,9.0
2018,Men,,,,9.0
2018,Women,,,,9.0
2018,,15-24,,,13.0
2018,,25 and over,,,8.7
2018,,,Mun. Chisinau,,12.0
2018,,,North,,8.8
2018,,,Center,,7.5
2018,,,South,,7.5
2018,,,,"Legislators, senior officials and managers",13.8
2018,,,,Professionals,3.4
2018,,,,Technicians and associate professionals,6.1
2018,,,,Clerical support workers,7.6
2018,,,,Service and shop and Sales Workers,0.3
2018,,,,Craft and related trades workers,43.3
2018,,,,Plant and machine operators and assemblers,15.8
2018,,,,Elementary occupations,10.1
2019,,,,,12.1
2019,Men,,,,11.2
2019,Women,,,,13.0
2019,,15-24,,,17.7
2019,,25 and over,,,11.7
2019,,,Mun. Chisinau,,12.3
2019,,,North,,10.8
2019,,,Center,,15.2
2019,,,South,,8.9
2019,,,,"Legislators, senior officials and managers",7.069
2019,,,,Professionals,4.58
2019,,,,Technicians and associate professionals,6.923
2019,,,,Clerical support workers,6.977
2019,,,,Service and shop and Sales Workers,1.055
2019,,,,Craft and related trades workers,42.602
2019,,,,Plant and machine operators and assemblers,23.453
2019,,,,Elementary occupations,10.062
2020,,,,,11.726
2020,Men,,,,10.291
2020,Women,,,,13.287
2020,,15-24,,,17.518
2020,,25 and over,,,11.391
2020,,,Mun. Chisinau,,12.297
2020,,,North,,10.079
2020,,,Center,,14.559
2020,,,South,,8.946
2020,,,,"Legislators, senior officials and managers",6.565
2020,,,,Professionals,4.481
2020,,,,Technicians and associate professionals,6.31
2020,,,,Clerical support workers,6.898
2020,,,,Service and shop and Sales Workers,1.289
2020,,,,Craft and related trades workers,38.389
2020,,,,Plant and machine operators and assemblers,27.002
2020,,,,Elementary occupations,10.559
2021,,,,,11.947
2021,Men,,,,10.634
2021,Women,,,,13.399
2021,,15-24,,,17.448
2021,,25 and over,,,11.644
2021,,,Mun. Chisinau,,14.061
2021,,,North,,10.701
2021,,,Center,,13.262
2021,,,South,,8.163
2021,,,,"Legislators, senior officials and managers",7.94
2021,,,,Professionals,4.446
2021,,,,Technicians and associate professionals,7.052
2021,,,,Clerical support workers,10.693
2021,,,,Service and shop and Sales Workers,1.011
2021,,,,Craft and related trades workers,38.61
2021,,,,Plant and machine operators and assemblers,28.673
2021,,,,Elementary occupations,9.002
2022,,,,,12.356
2022,Men,,,,11.356
2022,Women,,,,13.415
2022,,15-24,,,14.65
2022,,25 and over,,,12.237
2022,,,Mun. Chisinau,,12.8
2022,,,North,,11.4
2022,,,Center,,14.534
2022,,,South,,9.643
2022,,,,"Legislators, senior officials and managers",9.744
2022,,,,Professionals,4.599
2022,,,,Technicians and associate professionals,9.608
2022,,,,Clerical support workers,12.035
2022,,,,Service and shop and Sales Workers,0.563
2022,,,,Craft and related trades workers,38.247
2022,,,,Plant and machine operators and assemblers,31.66
2022,,,,Elementary occupations,8.461
