Year,Tipuri de infracțiuni,Sex,Grupa de vârstă,Forme de violență,Value
2018,Tâlhăria (art. 188),,,,2.3
2018,Șantajul (art. 189),,,,2.8
2018,Violenţa în familie (art.2011),,,,23.6
2018,Huliganismul (art.287),,,,36.5
2018,,Bărbați,,,135.3
2018,,Femei,,,107.1
2018,,,0-17 ani,,99.6
2018,,,18 ani și peste,,126.4
2018,,,,Violență psihologică,32.0
2018,,,,Violență fizică,64.6
2018,,,,Violență sexuală,19.3
2019,,,,,114.0
2019,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,5.8
2019,Răpirea unei persoane (art. 164),,,,0.9
2019,Agresiune sexuală (art. 171-1751),,,,19.4
2019,Jaf (art. 187),,,,18.4
2019,Tâlhăria (art. 188),,,,2.7
2019,Șantajul (art. 189),,,,1.8
2019,Violenţa în familie (art.2011),,,,22.3
2019,Huliganismul (art.287),,,,33.8
2019,,Bărbați,,,129.7
2019,,Femei,,,99.7
2019,,,0-17 ani,,91.2
2019,,,18 ani și peste,,120.3
2019,,,,Violență psihologică,28.9
2019,,,,Violență fizică,60.9
2019,,,,Violență sexuală,19.4
2020,,,,,87.1
2020,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,3.9
2020,Răpirea unei persoane (art. 164),,,,0.9
2020,Agresiune sexuală (art. 171-1751),,,,16.0
2020,Jaf (art. 187),,,,14.1
2020,Tâlhăria (art. 188),,,,1.7
2020,Șantajul (art. 189),,,,1.3
2020,Violenţa în familie (art.2011),,,,18.3
2020,Huliganismul (art.287),,,,23.5
2020,,Bărbați,,,96.7
2020,,Femei,,,78.3
2020,,,0-17 ani,,77.1
2020,,,18 ani și peste,,89.9
2020,,,,Violență psihologică,22.2
2020,,,,Violență fizică,44.6
2020,,,,Violență sexuală,16.0
2021,,,,,104.0
2021,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,3.9
2021,Răpirea unei persoane (art. 164),,,,1.2
2021,Agresiune sexuală (art. 171-1751),,,,17.9
2021,Jaf (art. 187),,,,14.5
2021,Tâlhăria (art. 188),,,,1.8
2021,Șantajul (art. 189),,,,2.9
2021,Violenţa în familie (art.2011),,,,22.6
2021,Huliganismul (art.287),,,,28.2
2021,,Bărbați,,,115.4
2021,,Femei,,,93.6
2021,,,0-17 ani,,96.8
2021,,,18 ani și peste,,105.9
2021,,,,Violență psihologică,26.5
2021,,,,Violență fizică,50.4
2021,,,,Violență sexuală,17.9
2022,,,,,116.6
2022,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.0
2022,Răpirea unei persoane (art. 164),,,,1.1
2022,Agresiune sexuală (art. 171-1751),,,,19.2
2022,Jaf (art. 187),,,,14.9
2022,Tâlhăria (art. 188),,,,2.3
2022,Șantajul (art. 189),,,,2.6
2022,Violenţa în familie (art.2011),,,,24.3
2022,Huliganismul (art.287),,,,33.0
2022,,Bărbați,,,130.1
2022,,Femei,,,104.5
2022,,,0-17 ani,,112.1
2022,,,18 ani și peste,,117.8
2022,,,,Violență psihologică,32.4
2022,,,,Violență fizică,59.1
2022,,,,Violență sexuală,19.2
2023,,,,,120.8
2023,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.0
2023,Răpirea unei persoane (art. 164),,,,1.0
2023,Agresiune sexuală (art. 171-1751),,,,17.6
2023,Jaf (art. 187),,,,10.9
2023,Tâlhăria (art. 188),,,,2.0
2023,Șantajul (art. 189),,,,3.5
2023,Violenţa în familie (art.2011),,,,28.2
2023,Huliganismul (art.287),,,,35.0
2023,,Bărbați,,,132.3
2023,,Femei,,,110.8
2023,,,0-17 ani,,112.8
2023,,,18 ani și peste,,123.1
2023,,,,Violență psihologică,22.3
2023,,,,Violență fizică,65.6
2023,,,,Violență sexuală,17.6
2024,,,,,130.4
2024,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.0
2024,Răpirea unei persoane (art. 164),,,,0.8
2024,Agresiune sexuală (art. 171-1751),,,,18.8
2024,Jaf (art. 187),,,,9.7
2024,Tâlhăria (art. 188),,,,1.2
2024,Șantajul (art. 189),,,,2.2
2024,Violenţa în familie (art.2011),,,,32.4
2024,Huliganismul (art.287),,,,39.1
2024,,Bărbați,,,150.2
2024,,Femei,,,113.2
2024,,,0-17 ani,,132.2
2024,,,18 ani și peste,,128.6
2024,,,,Violență psihologică,22.9
2024,,,,Violență fizică,70.4
2024,,,,Violență sexuală,18.8
2025,,,,,130.4
2025,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.6
2025,Răpirea unei persoane (art. 164),,,,1.8
2025,Agresiune sexuală (art. 171-1751),,,,23.0
2025,Jaf (art. 187),,,,0.2
2025,Tâlhăria (art. 188),,,,1.6
2025,Șantajul (art. 189),,,,2.7
2025,Violenţa în familie (art.2011),,,,35.7
2025,Huliganismul (art.287),,,,48.8
2025,,Bărbați,,,70.3
2025,,Femei,,,60.2
2025,,,0-17 ani,,27.3
2025,,,18 ani și peste,,103.2
2025,,,,Violență psihologică,24.4
2025,,,,Violență fizică,83.3
2025,,,,Violență sexuală,23.2
