Year,Sex,Grupa de vârstă,Regiuni statistice,Ocupaţii,Value
2013,,,,Muncitori calificați și asimilați,
2013,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,
2013,,,,Ocupații elementare,
2014,,,,,9.7
2014,Bărbați,,,,9.3
2014,Femei,,,,10.1
2014,,15-24,,,11.0
2014,,25 și peste,,,9.6
2014,,,Mun. Chișinău,,14.2
2014,,,Nord,,7.6
2014,,,Centru,,7.4
2014,,,Sud,,9.4
2014,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",10.188
2014,,,,Specialişti în diverse domenii de activitate,6.534
2014,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,7.215
2014,,,,Funcţionari administrativi,2.811
2014,,,,Lucrători în domeniul serviciilor și în comerț,0.972
2014,,,,Muncitori calificați și asimilați,40.269
2014,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,20.935
2014,,,,Ocupații elementare,7.401
2015,,,,,9.6
2015,Bărbați,,,,9.6
2015,Femei,,,,9.6
2015,,15-24,,,10.4
2015,,25 și peste,,,9.5
2015,,,Mun. Chișinău,,14.5
2015,,,Nord,,7.1
2015,,,Centru,,6.9
2015,,,Sud,,10.0
2015,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",11.69
2015,,,,Specialişti în diverse domenii de activitate,5.282
2015,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,7.576
2015,,,,Funcţionari administrativi,6.353
2015,,,,Lucrători în domeniul serviciilor și în comerț,0.593
2015,,,,Muncitori calificați și asimilați,41.162
2015,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,20.992
2015,,,,Ocupații elementare,10.477
2016,,,,,9.5
2016,Bărbați,,,,9.5
2016,Femei,,,,9.5
2016,,15-24,,,12.4
2016,,25 și peste,,,9.3
2016,,,Mun. Chișinău,,14.4
2016,,,Nord,,7.0
2016,,,Centru,,7.3
2016,,,Sud,,9.8
2016,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",12.843
2016,,,,Specialişti în diverse domenii de activitate,4.57
2016,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,7.269
2016,,,,Funcţionari administrativi,6.576
2016,,,,Lucrători în domeniul serviciilor și în comerț,0.328
2016,,,,Muncitori calificați și asimilați,42.719
2016,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,23.323
2016,,,,Ocupații elementare,10.312
2017,,,,,8.9
2017,Bărbați,,,,8.1
2017,Femei,,,,9.8
2017,,15-24,,,13.5
2017,,25 și peste,,,8.6
2017,,,Mun. Chișinău,,11.7
2017,,,Nord,,9.0
2017,,,Centru,,7.4
2017,,,Sud,,7.1
2017,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",13.402
2017,,,,Specialişti în diverse domenii de activitate,3.967
2017,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,5.1
2017,,,,Funcţionari administrativi,6.76
2017,,,,Lucrători în domeniul serviciilor și în comerț,0.218
2017,,,,Muncitori calificați și asimilați,42.588
2017,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,20.982
2017,,,,Ocupații elementare,9.406
2018,,,,,9.0
2018,Bărbați,,,,9.0
2018,Femei,,,,9.0
2018,,15-24,,,13.0
2018,,25 și peste,,,8.7
2018,,,Mun. Chișinău,,12.0
2018,,,Nord,,8.8
2018,,,Centru,,7.5
2018,,,Sud,,7.5
2018,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",13.8
2018,,,,Specialişti în diverse domenii de activitate,3.4
2018,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,6.1
2018,,,,Funcţionari administrativi,7.6
2018,,,,Lucrători în domeniul serviciilor și în comerț,0.3
2018,,,,Muncitori calificați și asimilați,43.3
2018,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,15.8
2018,,,,Ocupații elementare,10.1
2019,,,,,12.1
2019,Bărbați,,,,11.2
2019,Femei,,,,13.0
2019,,15-24,,,17.7
2019,,25 și peste,,,11.7
2019,,,Mun. Chișinău,,12.3
2019,,,Nord,,10.8
2019,,,Centru,,15.2
2019,,,Sud,,8.9
2019,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",7.069
2019,,,,Specialişti în diverse domenii de activitate,4.58
2019,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,6.923
2019,,,,Funcţionari administrativi,6.977
2019,,,,Lucrători în domeniul serviciilor și în comerț,1.055
2019,,,,Muncitori calificați și asimilați,42.602
2019,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,23.453
2019,,,,Ocupații elementare,10.062
2020,,,,,11.726
2020,Bărbați,,,,10.291
2020,Femei,,,,13.287
2020,,15-24,,,17.518
2020,,25 și peste,,,11.391
2020,,,Mun. Chișinău,,12.297
2020,,,Nord,,10.079
2020,,,Centru,,14.559
2020,,,Sud,,8.946
2020,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",6.565
2020,,,,Specialişti în diverse domenii de activitate,4.481
2020,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,6.31
2020,,,,Funcţionari administrativi,6.898
2020,,,,Lucrători în domeniul serviciilor și în comerț,1.289
2020,,,,Muncitori calificați și asimilați,38.389
2020,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,27.002
2020,,,,Ocupații elementare,10.559
2021,,,,,11.947
2021,Bărbați,,,,10.634
2021,Femei,,,,13.399
2021,,15-24,,,17.448
2021,,25 și peste,,,11.644
2021,,,Mun. Chișinău,,14.061
2021,,,Nord,,10.701
2021,,,Centru,,13.262
2021,,,Sud,,8.163
2021,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",7.94
2021,,,,Specialişti în diverse domenii de activitate,4.446
2021,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,7.052
2021,,,,Funcţionari administrativi,10.693
2021,,,,Lucrători în domeniul serviciilor și în comerț,1.011
2021,,,,Muncitori calificați și asimilați,38.61
2021,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,28.673
2021,,,,Ocupații elementare,9.002
2022,,,,,12.356
2022,Bărbați,,,,11.356
2022,Femei,,,,13.415
2022,,15-24,,,14.65
2022,,25 și peste,,,12.237
2022,,,Mun. Chișinău,,12.8
2022,,,Nord,,11.4
2022,,,Centru,,14.534
2022,,,Sud,,9.643
2022,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",9.744
2022,,,,Specialişti în diverse domenii de activitate,4.599
2022,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,9.608
2022,,,,Funcţionari administrativi,12.035
2022,,,,Lucrători în domeniul serviciilor și în comerț,0.563
2022,,,,Muncitori calificați și asimilați,38.247
2022,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,31.66
2022,,,,Ocupații elementare,8.461
