Year,Posturi de conducere ocupate de femei,Femei în funcții de conducere de nivel superior și mediu,Value
2011,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,,
2012,Urban - Proporția posturilor de conducere ocupate de femei,,
2012,Rural - Proporția posturilor de conducere ocupate de femei,,
2012,Agricultură - Proporția posturilor de conducere ocupate de femei,,
2012,Industrie - Proporția posturilor de conducere ocupate de femei,,
2012,Construcții - Proporția posturilor de conducere ocupate de femei,,
2012,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,
2012,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,
2012,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,
2012,Alte activități - Proporția posturilor de conducere ocupate de femei,,
2012,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,
2012,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,
2012,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2012,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,,
2013,Urban - Proporția posturilor de conducere ocupate de femei,,
2013,Rural - Proporția posturilor de conducere ocupate de femei,,
2013,Agricultură - Proporția posturilor de conducere ocupate de femei,,
2013,Industrie - Proporția posturilor de conducere ocupate de femei,,
2013,Construcții - Proporția posturilor de conducere ocupate de femei,,
2013,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,
2013,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,
2013,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,
2013,Alte activități - Proporția posturilor de conducere ocupate de femei,,
2013,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,
2013,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,
2013,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2013,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2014,,,42.569
2014,Urban - Proporția posturilor de conducere ocupate de femei,,40.393
2014,Rural - Proporția posturilor de conducere ocupate de femei,,48.81
2014,Agricultură - Proporția posturilor de conducere ocupate de femei,,10.327
2014,Industrie - Proporția posturilor de conducere ocupate de femei,,35.439
2014,Construcții - Proporția posturilor de conducere ocupate de femei,,14.257
2014,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,36.249
2014,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,47.167
2014,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,58.21
2014,Alte activități - Proporția posturilor de conducere ocupate de femei,,50.636
2014,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,56.458
2014,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,36.641
2014,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,43.735
2014,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,41.144
2014,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,50.363
2014,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,10.327
2014,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,36.367
2014,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,14.257
2014,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,37.353
2014,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,47.44
2014,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,58.54
2014,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.124
2014,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,57.628
2014,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,36.474
2015,,,48.468
2015,Urban - Proporția posturilor de conducere ocupate de femei,,47.131
2015,Rural - Proporția posturilor de conducere ocupate de femei,,52.358
2015,Agricultură - Proporția posturilor de conducere ocupate de femei,,13.03
2015,Industrie - Proporția posturilor de conducere ocupate de femei,,42.284
2015,Construcții - Proporția posturilor de conducere ocupate de femei,,18.111
2015,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,46.28
2015,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,49.587
2015,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,60.625
2015,Alte activități - Proporția posturilor de conducere ocupate de femei,,54.795
2015,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,60.904
2015,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,42.498
2015,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,48.8
2015,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,45.4
2015,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,58.3
2015,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,13.3
2015,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,42.9
2015,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,18.9
2015,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,58.8
2015,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,49.8
2015,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,63.0
2015,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.0
2015,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,64.424
2015,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,38.716
2016,,,46.596
2016,Urban - Proporția posturilor de conducere ocupate de femei,,45.07
2016,Rural - Proporția posturilor de conducere ocupate de femei,,51.013
2016,Agricultură - Proporția posturilor de conducere ocupate de femei,,12.473
2016,Industrie - Proporția posturilor de conducere ocupate de femei,,34.411
2016,Construcții - Proporția posturilor de conducere ocupate de femei,,28.266
2016,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,45.436
2016,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,48.207
2016,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,59.601
2016,Alte activități - Proporția posturilor de conducere ocupate de femei,,55.575
2016,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,61.981
2016,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,40.453
2016,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,46.3
2016,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,43.0
2016,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,54.4
2016,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,12.5
2016,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,33.4
2016,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,28.3
2016,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.5
2016,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,48.2
2016,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,61.2
2016,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,55.3
2016,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,65.8
2016,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,35.6
2017,,,41.452
2017,Urban - Proporția posturilor de conducere ocupate de femei,,39.014
2017,Rural - Proporția posturilor de conducere ocupate de femei,,48.226
2017,Agricultură - Proporția posturilor de conducere ocupate de femei,,10.48
2017,Industrie - Proporția posturilor de conducere ocupate de femei,,41.694
2017,Construcții - Proporția posturilor de conducere ocupate de femei,,25.793
2017,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,36.74
2017,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,41.223
2017,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,58.157
2017,Alte activități - Proporția posturilor de conducere ocupate de femei,,37.904
2017,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,53.336
2017,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,36.309
2017,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,45.5
2017,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,42.4
2017,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.8
2017,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,10.5
2017,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,42.0
2017,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,26.9
2017,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,58.5
2017,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,43.1
2017,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,63.0
2017,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,36.6
2017,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,59.0
2017,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,38.4
2018,,,40.252
2018,Urban - Proporția posturilor de conducere ocupate de femei,,36.016
2018,Rural - Proporția posturilor de conducere ocupate de femei,,51.888
2018,Agricultură - Proporția posturilor de conducere ocupate de femei,,12.207
2018,Industrie - Proporția posturilor de conducere ocupate de femei,,36.324
2018,Construcții - Proporția posturilor de conducere ocupate de femei,,13.184
2018,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,34.822
2018,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,48.777
2018,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,51.699
2018,Alte activități - Proporția posturilor de conducere ocupate de femei,,50.765
2018,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,47.95
2018,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,36.463
2018,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,43.1
2018,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,39.3
2018,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.5
2018,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,12.2
2018,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,36.5
2018,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,13.2
2018,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,68.2
2018,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,49.2
2018,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,51.4
2018,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.0
2018,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,46.5
2018,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,41.0
2019,,,45.676
2019,Urban - Proporția posturilor de conducere ocupate de femei,,43.771
2019,Rural - Proporția posturilor de conducere ocupate de femei,,49.75
2019,Agricultură - Proporția posturilor de conducere ocupate de femei,,21.237
2019,Industrie - Proporția posturilor de conducere ocupate de femei,,36.752
2019,Construcții - Proporția posturilor de conducere ocupate de femei,,15.623
2019,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,38.559
2019,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,52.618
2019,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,52.851
2019,Alte activități - Proporția posturilor de conducere ocupate de femei,,64.065
2019,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,56.822
2019,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,40.3
2019,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,46.8
2019,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,43.6
2019,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.8
2019,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,21.2
2019,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,34.4
2019,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,15.6
2019,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,62.5
2019,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.6
2019,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,49.8
2019,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,63.4
2019,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,54.1
2019,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,41.2
2020,,,42.268
2020,Urban - Proporția posturilor de conducere ocupate de femei,,38.859
2020,Rural - Proporția posturilor de conducere ocupate de femei,,49.654
2020,Agricultură - Proporția posturilor de conducere ocupate de femei,,13.968
2020,Industrie - Proporția posturilor de conducere ocupate de femei,,35.123
2020,Construcții - Proporția posturilor de conducere ocupate de femei,,4.307
2020,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,36.224
2020,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,47.269
2020,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,55.687
2020,Alte activități - Proporția posturilor de conducere ocupate de femei,,52.721
2020,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,54.824
2020,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,36.71
2020,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,45.2
2020,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,41.0
2020,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,54.6
2020,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,13.968
2020,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,35.205
2020,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,4.307
2020,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,59.612
2020,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,48.857
2020,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.49
2020,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,59.489
2020,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.5
2020,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,39.7
2021,,,44.59
2021,Urban - Proporția posturilor de conducere ocupate de femei,,42.686
2021,Rural - Proporția posturilor de conducere ocupate de femei,,49.295
2021,Agricultură - Proporția posturilor de conducere ocupate de femei,,14.147
2021,Industrie - Proporția posturilor de conducere ocupate de femei,,52.137
2021,Construcții - Proporția posturilor de conducere ocupate de femei,,30.83
2021,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,35.343
2021,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,61.303
2021,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,56.368
2021,Alte activități - Proporția posturilor de conducere ocupate de femei,,50.227
2021,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,55.381
2021,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,40.386
2021,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.004
2021,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,52.067
2021,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,51.877
2021,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,14.147
2021,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.226
2021,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,30.83
2021,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,55.925
2021,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,60.999
2021,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,59.707
2021,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,53.644
2021,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,58.7
2021,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,47.8
2022,,,44.598
2022,Urban - Proporția posturilor de conducere ocupate de femei,,42.427
2022,Rural - Proporția posturilor de conducere ocupate de femei,,50.193
2022,Agricultură - Proporția posturilor de conducere ocupate de femei,,4.05
2022,Industrie - Proporția posturilor de conducere ocupate de femei,,38.166
2022,Construcții - Proporția posturilor de conducere ocupate de femei,,28.475
2022,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,38.062
2022,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,63.191
2022,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,54.315
2022,Alte activități - Proporția posturilor de conducere ocupate de femei,,54.811
2022,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,58.233
2022,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,38.563
2022,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,47.282
2022,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,45.975
2022,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,50.454
2022,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,4.05
2022,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,37.646
2022,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,28.475
2022,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,54.87
2022,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,64.221
2022,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,50.729
2022,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,56.307
2022,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,56.531
2022,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,40.862
2023,,,43.569
2023,Urban - Proporția posturilor de conducere ocupate de femei,,42.737
2023,Rural - Proporția posturilor de conducere ocupate de femei,,46.474
2023,Agricultură - Proporția posturilor de conducere ocupate de femei,,7.729
2023,Industrie - Proporția posturilor de conducere ocupate de femei,,18.994
2023,Construcții - Proporția posturilor de conducere ocupate de femei,,32.765
2023,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,42.606
2023,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,48.042
2023,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,61.638
2023,Alte activități - Proporția posturilor de conducere ocupate de femei,,51.249
2023,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,59.318
2023,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,37.815
2023,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,42.67
2023,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,41.819
2023,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,45.644
2023,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,7.729
2023,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,19.616
2023,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,32.765
2023,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,42.528
2023,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,46.494
2023,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,62.056
2023,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,55.769
2023,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,59.829
2023,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,34.263
