Year,Tipuri de vaccin,Value
2015,Vaccinul diftero-tetano-pertusis (DTP),91.1
2015,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),89.7
2015,Vaccinul oral contra poliomielitei (VPO),91.7
2015,Vaccinul contra hepatitei B (HEPB),91.9
2015,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),90.9
2015,Vaccinul contra infecţiei cu rotavirusuri  (RV),77.7
2015,Vaccinul pneumococic (PC),83.1
2015,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,96.5
2015,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.0
2016,,
2016,Vaccinul contra tuberculozei (BCG),97.2
2016,Vaccinul diftero-tetano-pertusis (DTP),90.3
2016,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),88.8
2016,Vaccinul oral contra poliomielitei (VPO),91.5
2016,Vaccinul contra hepatitei B (HEPB),90.5
2016,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),90.2
2016,Vaccinul contra infecţiei cu rotavirusuri  (RV),79.3
2016,Vaccinul pneumococic (PC),86.2
2016,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,96.7
2016,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.2
2017,,
2017,Vaccinul contra tuberculozei (BCG),97.2
2017,Vaccinul diftero-tetano-pertusis (DTP),90.1
2017,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),88.1
2017,Vaccinul oral contra poliomielitei (VPO),91.1
2017,Vaccinul contra hepatitei B (HEPB),90.3
2017,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),89.9
2017,Vaccinul contra infecţiei cu rotavirusuri  (RV),79.7
2017,Vaccinul pneumococic (PC),85.7
2017,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,95.0
2017,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,95.6
2018,,
2018,Vaccinul contra tuberculozei (BCG),96.9
2018,Vaccinul diftero-tetano-pertusis (DTP),91.6
2018,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),90.6
2018,Vaccinul oral contra poliomielitei (VPO),92.1
2018,Vaccinul contra hepatitei B (HEPB),92.2
2018,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),91.2
2018,Vaccinul contra infecţiei cu rotavirusuri  (RV),80.6
2018,Vaccinul pneumococic (PC),89.0
2018,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,95.9
2018,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.1
2019,,
2019,Vaccinul contra tuberculozei (BCG),96.8
2019,Vaccinul diftero-tetano-pertusis (DTP),91.4
2019,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),88.7
2019,Vaccinul oral contra poliomielitei (VPO),92.5
2019,Vaccinul contra hepatitei B (HEPB),92.5
2019,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),91.1
2019,Vaccinul contra infecţiei cu rotavirusuri  (RV),81.9
2019,Vaccinul pneumococic (PC),87.8
2019,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,95.7
2019,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,96.6
2020,,
2020,Vaccinul contra tuberculozei (BCG),96.5
2020,Vaccinul diftero-tetano-pertusis (DTP),88.0
2020,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),84.3
2020,Vaccinul oral contra poliomielitei (VPO),88.6
2020,Vaccinul contra hepatitei B (HEPB),89.3
2020,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),88.3
2020,Vaccinul contra infecţiei cu rotavirusuri  (RV),78.9
2020,Vaccinul pneumococic (PC),84.5
2020,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,94.2
2020,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,93.1
2021,,
2021,Vaccinul contra tuberculozei (BCG),96.7
2021,Vaccinul diftero-tetano-pertusis (DTP),88.5
2021,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),84.3
2021,Vaccinul oral contra poliomielitei (VPO),89.1
2021,Vaccinul contra hepatitei B (HEPB),89.1
2021,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),88.5
2021,Vaccinul contra infecţiei cu rotavirusuri  (RV),76.9
2021,Vaccinul pneumococic (PC),83.7
2021,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,94.2
2021,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,93.6
2022,,
2022,Vaccinul contra tuberculozei (BCG),
2022,Vaccinul diftero-tetano-pertusis (DTP),
2022,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),
2022,Vaccinul oral contra poliomielitei (VPO),
2022,Vaccinul contra hepatitei B (HEPB),
2022,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),
2022,Vaccinul contra infecţiei cu rotavirusuri  (RV),
2022,Vaccinul pneumococic (PC),
2022,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,
2022,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,
