Year,Mediul de reședință,Regiuni statistice,Quintile pe cheltuielile de consum,Sexul capului gospodăriei,Tipul de canalizare,Value
2017,,Sud,,,,69.7
2017,,,I,,,40.1
2017,,,II,,,60.5
2017,,,III,,,71.3
2017,,,IV,,,83.7
2017,,,V,,,92.0
2017,,,,Bărbați,,70.0
2017,,,,Femei,,68.6
2017,,,,,Rețea publică,34.2
2017,,,,,Sistem propriu,35.3
2018,,,,,,72.3
2018,Urban,,,,,95.4
2018,Rural,,,,,56.3
2018,,Municipiul Chișinău,,,,97.7
2018,,Nord,,,,55.6
2018,,Centru,,,,66.2
2018,,Sud,,,,74.9
2018,,,I,,,45.9
2018,,,II,,,66.1
2018,,,III,,,74.5
2018,,,IV,,,83.2
2018,,,V,,,92.0
2018,,,,Bărbați,,73.0
2018,,,,Femei,,71.0
2018,,,,,Rețea publică,35.3
2018,,,,,Sistem propriu,37.0
2019,,,,,,74.5
2019,Urban,,,,,95.6
2019,Rural,,,,,60.6
2019,,Municipiul Chișinău,,,,98.1
2019,,Nord,,,,62.7
2019,,Centru,,,,70.8
2019,,Sud,,,,68.4
2019,,,I,,,46.2
2019,,,II,,,69.3
2019,,,III,,,77.9
2019,,,IV,,,85.8
2019,,,V,,,93.4
2019,,,,Bărbați,,75.8
2019,,,,Femei,,71.7
2019,,,,,Rețea publică,32.7
2019,,,,,Sistem propriu,41.8
2020,,,,,,77.6
2020,Urban,,,,,97.0
2020,Rural,,,,,64.9
2020,,Municipiul Chișinău,,,,98.7
2020,,Nord,,,,65.3
2020,,Centru,,,,73.9
2020,,Sud,,,,75.5
2020,,,I,,,57.4
2020,,,II,,,70.1
2020,,,III,,,78.1
2020,,,IV,,,86.7
2020,,,V,,,95.8
2020,,,,Bărbați,,79.5
2020,,,,Femei,,73.7
2020,,,,,Rețea publică,33.0
2020,,,,,Sistem propriu,44.6
2021,,,,,,80.4
2021,Urban,,,,,96.6
2021,Rural,,,,,69.7
2021,,Municipiul Chișinău,,,,98.6
2021,,Nord,,,,69.4
2021,,Centru,,,,76.9
2021,,Sud,,,,79.8
2021,,,I,,,59.2
2021,,,II,,,73.8
2021,,,III,,,83.7
2021,,,IV,,,88.9
2021,,,V,,,96.4
2021,,,,Bărbați,,81.7
2021,,,,Femei,,77.7
2021,,,,,Rețea publică,33.2
2021,,,,,Sistem propriu,47.2
2022,,,,,,81.5
2022,Urban,,,,,98.1
2022,Rural,,,,,70.5
2022,,Municipiul Chișinău,,,,99.3
2022,,Nord,,,,69.9
2022,,Centru,,,,79.2
2022,,Sud,,,,80.2
2022,,,I,,,65.3
2022,,,II,,,75.9
2022,,,III,,,80.4
2022,,,IV,,,88.9
2022,,,V,,,96.8
2022,,,,Bărbați,,83.1
2022,,,,Femei,,78.2
2022,,,,,Rețea publică,34.0
2022,,,,,Sistem propriu,47.5
