Year,Mediul de reședință,Sex,Grupa de vârstă,Quintile pe cheltuielile de consum,Existența dizabilității,Value
2016,,,,II,,20.687
2016,,,,III,,15.487
2016,,,,IV,,14.55
2016,,,,V,,14.313
2016,,,,,Persoane cu dizabilitate,9.521
2016,,,,,Persoane fără dizabilitate,19.641
2017,,,,,,17.645
2017,Urban,,,,,24.546
2017,Rural,,,,,12.822
2017,,Bărbați,,,,18.586
2017,,Femei,,,,16.819
2017,,,0-17,,,31.902
2017,,,18-29,,,21.137
2017,,,30-39,,,27.58
2017,,,40-49,,,15.544
2017,,,50-59,,,5.762
2017,,,60+,,,4.987
2017,,,,I,,27.667
2017,,,,II,,17.873
2017,,,,III,,14.514
2017,,,,IV,,18.136
2017,,,,V,,10.027
2017,,,,,Persoane cu dizabilitate,9.52
2017,,,,,Persoane fără dizabilitate,18.275
2018,,,,,,16.821
2018,Urban,,,,,26.216
2018,Rural,,,,,10.28
2018,,Bărbați,,,,17.207
2018,,Femei,,,,16.48
2018,,,0-17,,,30.09
2018,,,18-29,,,23.658
2018,,,30-39,,,25.921
2018,,,40-49,,,13.607
2018,,,50-59,,,6.307
2018,,,60+,,,3.92
2018,,,,I,,28.195
2018,,,,II,,14.624
2018,,,,III,,15.259
2018,,,,IV,,11.96
2018,,,,V,,14.063
2018,,,,,Persoane cu dizabilitate,8.407
2018,,,,,Persoane fără dizabilitate,17.456
2019,,,,,,17.51
2019,Urban,,,,,23.364
2019,Rural,,,,,13.645
2019,,Bărbați,,,,18.186
2019,,Femei,,,,16.918
2019,,,0-17,,,33.81
2019,,,18-29,,,21.412
2019,,,30-39,,,26.422
2019,,,40-49,,,15.708
2019,,,50-59,,,5.053
2019,,,60+,,,3.787
2019,,,,I,,30.313
2019,,,,II,,19.353
2019,,,,III,,13.61
2019,,,,IV,,10.376
2019,,,,V,,13.878
2019,,,,,Persoane cu dizabilitate,9.13
2019,,,,,Persoane fără dizabilitate,18.074
2020,,,,,,16.991
2020,Urban,,,,,23.284
2020,Rural,,,,,12.844
2020,,Bărbați,,,,17.618
2020,,Femei,,,,16.418
2020,,,0-17,,,33.25
2020,,,18-29,,,18.985
2020,,,30-39,,,26.663
2020,,,40-49,,,16.993
2020,,,50-59,,,5.252
2020,,,60+,,,2.928
2020,,,,I,,28.918
2020,,,,II,,16.109
2020,,,,III,,15.935
2020,,,,IV,,13.842
2020,,,,V,,10.157
2020,,,,,Persoane cu dizabilitate,10.213
2020,,,,,Persoane fără dizabilitate,17.499
2021,,,,,,17.045
2021,Urban,,,,,24.139
2021,Rural,,,,,12.382
2021,,Bărbați,,,,18.097
2021,,Femei,,,,16.159
2021,,,0-17,,,32.812
2021,,,18-29,,,21.739
2021,,,30-39,,,28.779
2021,,,40-49,,,14.968
2021,,,50-59,,,5.959
2021,,,60+,,,3.189
2021,,,,I,,31.099
2021,,,,II,,13.273
2021,,,,III,,13.342
2021,,,,IV,,16.406
2021,,,,V,,11.044
2021,,,,,Persoane cu dizabilitate,8.96
2021,,,,,Persoane fără dizabilitate,17.631
2022,,,,,,16.067
2022,Urban,,,,,25.424
2022,Rural,,,,,9.922
2022,,Bărbați,,,,17.12
2022,,Femei,,,,15.176
2022,,,0-17,,,32.962
2022,,,18-29,,,19.724
2022,,,30-39,,,26.999
2022,,,40-49,,,15.109
2022,,,50-59,,,4.227
2022,,,60+,,,2.561
2022,,,,I,,27.154
2022,,,,II,,18.135
2022,,,,III,,9.702
2022,,,,IV,,13.852
2022,,,,V,,11.481
2022,,,,,Persoane cu dizabilitate,7.826
2022,,,,,Persoane fără dizabilitate,16.657
2023,,,,,,18.552
2023,Urban,,,,,26.978
2023,Rural,,,,,12.217
2023,,Bărbați,,,,20.495
2023,,Femei,,,,16.916
2023,,,0-17,,,37.354
2023,,,18-29,,,25.192
2023,,,30-39,,,31.909
2023,,,40-49,,,16.407
2023,,,50-59,,,6.024
2023,,,60+,,,2.476
2023,,,,I,,29.291
2023,,,,II,,17.835
2023,,,,III,,15.757
2023,,,,IV,,16.918
2023,,,,V,,12.957
2023,,,,,Persoane cu dizabilitate,8.624
2023,,,,,Persoane fără dizabilitate,19.139
