Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,I,II,III,IV,V,People with disability,People without disability,Value
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,Existence of disability,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,19.6
2014,Area of residence,,,,,,,,,,,,,,,,,22.6
2014,,,,,,,,,,,,,,,,,,17.5
2014,,,Sex,,,,,,,,,,,,,,,18.4
2014,,,,,,,,,,,,,,,,,,20.7
2014,,,,,Age group,,,,,,,,,,,,,17.4
2014,,,,,,,,,,,,,,,,,,17.3
2014,,,,,,,,,,,,,,,,,,17.8
2014,,,,,,,,,,,,,,,,,,15.2
2014,,,,,,,,,,,,,,,,,,19.2
2014,,,,,,,,,,,,,,,,,,29.5
2014,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,14.7
2014,,,,,,,,,,,,,,,,,,15.7
2014,,,,,,,,,,,,,,,,,,20.0
2014,,,,,,,,,,,,,,,,,,22.1
2014,,,,,,,,,,,,,,,,,,25.7
2014,,,,,,,,,,,,,,,,Existence of disability,,23.1
2014,,,,,,,,,,,,,,,,,,19.4
2015,,,,,,,,,,,,,,,,,,17.4
2015,Area of residence,,,,,,,,,,,,,,,,,19.2
2015,,,,,,,,,,,,,,,,,,16.1
2015,,,Sex,,,,,,,,,,,,,,,15.8
2015,,,,,,,,,,,,,,,,,,18.8
2015,,,,,Age group,,,,,,,,,,,,,13.4
2015,,,,,,,,,,,,,,,,,,14.8
2015,,,,,,,,,,,,,,,,,,13.5
2015,,,,,,,,,,,,,,,,,,15.8
2015,,,,,,,,,,,,,,,,,,17.4
2015,,,,,,,,,,,,,,,,,,28.1
2015,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.8
2015,,,,,,,,,,,,,,,,,,13.8
2015,,,,,,,,,,,,,,,,,,17.0
2015,,,,,,,,,,,,,,,,,,19.5
2015,,,,,,,,,,,,,,,,,,23.8
2015,,,,,,,,,,,,,,,,Existence of disability,,23.2
2015,,,,,,,,,,,,,,,,,,16.9
2016,,,,,,,,,,,,,,,,,,17.2
2016,Area of residence,,,,,,,,,,,,,,,,,19.3
2016,,,,,,,,,,,,,,,,,,15.8
2016,,,Sex,,,,,,,,,,,,,,,15.4
2016,,,,,,,,,,,,,,,,,,18.9
2016,,,,,Age group,,,,,,,,,,,,,13.1
2016,,,,,,,,,,,,,,,,,,16.2
2016,,,,,,,,,,,,,,,,,,13.1
2016,,,,,,,,,,,,,,,,,,15.2
2016,,,,,,,,,,,,,,,,,,18.2
2016,,,,,,,,,,,,,,,,,,26.1
2016,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.9
2016,,,,,,,,,,,,,,,,,,15.5
2016,,,,,,,,,,,,,,,,,,17.9
2016,,,,,,,,,,,,,,,,,,19.6
2016,,,,,,,,,,,,,,,,,,20.4
2016,,,,,,,,,,,,,,,,Existence of disability,,22.2
2016,,,,,,,,,,,,,,,,,,16.8
2017,,,,,,,,,,,,,,,,,,16.4
2017,Area of residence,,,,,,,,,,,,,,,,,19.1
2017,,,,,,,,,,,,,,,,,,14.5
2017,,,Sex,,,,,,,,,,,,,,,14.6
2017,,,,,,,,,,,,,,,,,,17.9
2017,,,,,Age group,,,,,,,,,,,,,12.3
2017,,,,,,,,,,,,,,,,,,14.8
2017,,,,,,,,,,,,,,,,,,13.9
2017,,,,,,,,,,,,,,,,,,12.6
2017,,,,,,,,,,,,,,,,,,17.8
2017,,,,,,,,,,,,,,,,,,25.1
2017,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,11.2
2017,,,,,,,,,,,,,,,,,,12.7
2017,,,,,,,,,,,,,,,,,,16.5
2017,,,,,,,,,,,,,,,,,,20.1
2017,,,,,,,,,,,,,,,,,,21.5
2017,,,,,,,,,,,,,,,,Existence of disability,,20.4
2017,,,,,,,,,,,,,,,,,,15.9
2018,,,,,,,,,,,,,,,,,,15.7
2018,Area of residence,,,,,,,,,,,,,,,,,17.5
2018,,,,,,,,,,,,,,,,,,14.5
2018,,,Sex,,,,,,,,,,,,,,,14.1
2018,,,,,,,,,,,,,,,,,,17.2
2018,,,,,Age group,,,,,,,,,,,,,12.3
2018,,,,,,,,,,,,,,,,,,14.9
2018,,,,,,,,,,,,,,,,,,12.8
2018,,,,,,,,,,,,,,,,,,12.5
2018,,,,,,,,,,,,,,,,,,16.2
2018,,,,,,,,,,,,,,,,,,23.8
2018,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.6
2018,,,,,,,,,,,,,,,,,,13.2
2018,,,,,,,,,,,,,,,,,,14.5
2018,,,,,,,,,,,,,,,,,,18.2
2018,,,,,,,,,,,,,,,,,,20.2
2018,,,,,,,,,,,,,,,,Existence of disability,,19.4
2018,,,,,,,,,,,,,,,,,,15.4
2019,,,,,,,,,,,,,,,,,,11.5
2019,Area of residence,,,,,,,,,,,,,,,,,12.2
2019,,,,,,,,,,,,,,,,,,11.0
2019,,,Sex,,,,,,,,,,,,,,,10.5
2019,,,,,,,,,,,,,,,,,,12.3
2019,,,,,Age group,,,,,,,,,,,,,9.5
2019,,,,,,,,,,,,,,,,,,10.1
2019,,,,,,,,,,,,,,,,,,10.7
2019,,,,,,,,,,,,,,,,,,8.3
2019,,,,,,,,,,,,,,,,,,11.7
2019,,,,,,,,,,,,,,,,,,16.6
2019,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,8.0
2019,,,,,,,,,,,,,,,,,,8.6
2019,,,,,,,,,,,,,,,,,,13.0
2019,,,,,,,,,,,,,,,,,,12.3
2019,,,,,,,,,,,,,,,,,,15.4
2019,,,,,,,,,,,,,,,,Existence of disability,,12.9
2019,,,,,,,,,,,,,,,,,,11.3
2020,,,,,,,,,,,,,,,,,,10.7
2020,Area of residence,,,,,,,,,,,,,,,,,11.7
2020,,,,,,,,,,,,,,,,,,10.0
2020,,,Sex,,,,,,,,,,,,,,,9.9
2020,,,,,,,,,,,,,,,,,,11.4
2020,,,,,Age group,,,,,,,,,,,,,8.0
2020,,,,,,,,,,,,,,,,,,11.6
2020,,,,,,,,,,,,,,,,,,8.4
2020,,,,,,,,,,,,,,,,,,9.4
2020,,,,,,,,,,,,,,,,,,10.5
2020,,,,,,,,,,,,,,,,,,15.1
2020,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,5.9
2020,,,,,,,,,,,,,,,,,,8.9
2020,,,,,,,,,,,,,,,,,,10.3
2020,,,,,,,,,,,,,,,,,,13.6
2020,,,,,,,,,,,,,,,,,,14.7
2020,,,,,,,,,,,,,,,,Existence of disability,,14.2
2020,,,,,,,,,,,,,,,,,,10.4
2021,,,,,,,,,,,,,,,,,,9.6
2021,Area of residence,,,,,,,,,,,,,,,,,9.9
2021,,,,,,,,,,,,,,,,,,9.3
2021,,,Sex,,,,,,,,,,,,,,,8.6
2021,,,,,,,,,,,,,,,,,,10.4
2021,,,,,Age group,,,,,,,,,,,,,6.8
2021,,,,,,,,,,,,,,,,,,9.7
2021,,,,,,,,,,,,,,,,,,6.9
2021,,,,,,,,,,,,,,,,,,6.7
2021,,,,,,,,,,,,,,,,,,10.3
2021,,,,,,,,,,,,,,,,,,14.8
2021,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,6.4
2021,,,,,,,,,,,,,,,,,,6.1
2021,,,,,,,,,,,,,,,,,,9.8
2021,,,,,,,,,,,,,,,,,,14.6
2021,,,,,,,,,,,,,,,,,,11.0
2021,,,,,,,,,,,,,,,,Existence of disability,,13.2
2021,,,,,,,,,,,,,,,,,,9.3
2022,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,Sex,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,Age group,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,Existence of disability,,
2022,,,,,,,,,,,,,,,,,,
