Year,Etnie,Sex,Grupa de vârstă,Dizabilitate,Cetățenie,Statut de beneficiar - cetățean străin,Autoritatea solicitată,Baza legală,Tipul asistenței calificate,Asistența primară,Value
2017,,,,,,,Curtea Supremă de Justuție,,,,60.0
2017,,,,,,,Alte autorități,,,,2659.0
2017,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,38863.0
2017,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,15738.0
2017,,,,,,,,,Calificată cauze penale,,44005.0
2017,,,,,,,,,Calificată cauze contravenționale,,2425.0
2017,,,,,,,,,Calificată cauze civile,,3458.0
2017,,,,,,,,,Urgență cauze penale,,4525.0
2017,,,,,,,,,Urgență cauze contravenționale,,188.0
2017,,,,,,,,,,Total,10849.0
2018,,,,,,,,,,,49695.0
2018,Bulgari,,,,,,,,,,0.0
2018,Romi,,,,,,,,,,0.0
2018,Ruși,,,,,,,,,,3.0
2018,Evrei,,,,,,,,,,0.0
2018,Ucraineni,,,,,,,,,,1.0
2018,,Bărbați,,,,,,,,,44080.0
2018,,Femei,,,,,,,,,5615.0
2018,,,0-17,,,,,,,,2605.0
2018,,,18+,,,,,,,,47090.0
2018,,,, ,,,,,,,8.0
2018,,,,Mintală,,,,,,,7.0
2018,,,,Intelectuală,,,,,,,0.0
2018,,,,Senzorială,,,,,,,1.0
2018,,,,,Republica Moldova,,,,,,49629.0
2018,,,,,Cetățeni străini,,,,,,66.0
2018,,,,,Apatrizi,,,,,,0.0
2018,,,,,,Protecție temporă,,,,,38.0
2018,,,,,,Protecție umanitară,,,,,1.0
2018,,,,,,Refugiați,,,,,1.0
2018,,,,,,Solicitanți azil,,,,,12.0
2018,,,,,,,Procuratura,,,,1836.0
2018,,,,,,,Inspectoratul de politie,,,,21217.0
2018,,,,,,,Judecătoria,,,,19017.0
2018,,,,,,,Curtea de Apel,,,,5270.0
2018,,,,,,,Curtea Supremă de Justuție,,,,43.0
2018,,,,,,,Alte autorități,,,,2312.0
2018,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,36340.0
2018,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,13355.0
2018,,,,,,,,,Calificată cauze penale,,39903.0
2018,,,,,,,,,Calificată cauze contravenționale,,2737.0
2018,,,,,,,,,Calificată cauze civile,,3546.0
2018,,,,,,,,,Urgență cauze penale,,3464.0
2018,,,,,,,,,Urgență cauze contravenționale,,45.0
2018,,,,,,,,,,Total,10535.0
2019,,,,,,,,,,,48515.0
2019,Bulgari,,,,,,,,,,1.0
2019,Romi,,,,,,,,,,1.0
2019,Ruși,,,,,,,,,,7.0
2019,Evrei,,,,,,,,,,0.0
2019,Ucraineni,,,,,,,,,,5.0
2019,,Bărbați,,,,,,,,,42884.0
2019,,Femei,,,,,,,,,5631.0
2019,,,0-17,,,,,,,,2403.0
2019,,,18+,,,,,,,,46112.0
2019,,,, ,,,,,,,52.0
2019,,,,Mintală,,,,,,,21.0
2019,,,,Intelectuală,,,,,,,1.0
2019,,,,Senzorială,,,,,,,3.0
2019,,,,,Republica Moldova,,,,,,48385.0
2019,,,,,Cetățeni străini,,,,,,130.0
2019,,,,,Apatrizi,,,,,,0.0
2019,,,,,,Protecție temporă,,,,,100.0
2019,,,,,,Protecție umanitară,,,,,5.0
2019,,,,,,Refugiați,,,,,0.0
2019,,,,,,Solicitanți azil,,,,,14.0
2019,,,,,,,Procuratura,,,,1644.0
2019,,,,,,,Inspectoratul de politie,,,,19878.0
2019,,,,,,,Judecătoria,,,,19716.0
2019,,,,,,,Curtea de Apel,,,,5399.0
2019,,,,,,,Curtea Supremă de Justuție,,,,52.0
2019,,,,,,,Alte autorități,,,,1826.0
2019,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,38163.0
2019,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,10352.0
2019,,,,,,,,,Calificată cauze penale,,38663.0
2019,,,,,,,,,Calificată cauze contravenționale,,2738.0
2019,,,,,,,,,Calificată cauze civile,,3720.0
2019,,,,,,,,,Urgență cauze penale,,3333.0
2019,,,,,,,,,Urgență cauze contravenționale,,61.0
2019,,,,,,,,,,Total,11812.0
2020,,,,,,,,,,,44265.0
2020,Bulgari,,,,,,,,,,100.0
2020,Romi,,,,,,,,,,144.0
2020,Ruși,,,,,,,,,,412.0
2020,Evrei,,,,,,,,,,15.0
2020,Ucraineni,,,,,,,,,,148.0
2020,,Bărbați,,,,,,,,,38662.0
2020,,Femei,,,,,,,,,5603.0
2020,,,0-17,,,,,,,,2323.0
2020,,,18+,,,,,,,,41942.0
2020,,,, ,,,,,,,317.0
2020,,,,Mintală,,,,,,,232.0
2020,,,,Intelectuală,,,,,,,57.0
2020,,,,Senzorială,,,,,,,15.0
2020,,,,,Republica Moldova,,,,,,44218.0
2020,,,,,Cetățeni străini,,,,,,47.0
2020,,,,,Apatrizi,,,,,,0.0
2020,,,,,,Protecție temporă,,,,,866.0
2020,,,,,,Protecție umanitară,,,,,139.0
2020,,,,,,Refugiați,,,,,12.0
2020,,,,,,Solicitanți azil,,,,,20.0
2020,,,,,,,Procuratura,,,,1513.0
2020,,,,,,,Inspectoratul de politie,,,,19713.0
2020,,,,,,,Judecătoria,,,,17038.0
2020,,,,,,,Curtea de Apel,,,,4731.0
2020,,,,,,,Curtea Supremă de Justuție,,,,50.0
2020,,,,,,,Alte autorități,,,,1220.0
2020,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,32625.0
2020,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2020,,,,,,,,,Calificată cauze penale,,34563.0
2020,,,,,,,,,Calificată cauze contravenționale,,2868.0
2020,,,,,,,,,Calificată cauze civile,,3720.0
2020,,,,,,,,,Urgență cauze penale,,3061.0
2020,,,,,,,,,Urgență cauze contravenționale,,53.0
2020,,,,,,,,,,Total,12519.0
2021,,,,,,,,,,,47990.0
2021,Bulgari,,,,,,,,,,179.0
2021,Romi,,,,,,,,,,320.0
2021,Ruși,,,,,,,,,,832.0
2021,Evrei,,,,,,,,,,38.0
2021,Ucraineni,,,,,,,,,,356.0
2021,,Bărbați,,,,,,,,,41478.0
2021,,Femei,,,,,,,,,6512.0
2021,,,0-17,,,,,,,,2213.0
2021,,,18+,,,,,,,,45777.0
2021,,,, ,,,,,,,279.0
2021,,,,Mintală,,,,,,,579.0
2021,,,,Intelectuală,,,,,,,115.0
2021,,,,Senzorială,,,,,,,26.0
2021,,,,,Republica Moldova,,,,,,47937.0
2021,,,,,Cetățeni străini,,,,,,53.0
2021,,,,,Apatrizi,,,,,,0.0
2021,,,,,,Protecție temporă,,,,,2755.0
2021,,,,,,Protecție umanitară,,,,,135.0
2021,,,,,,Refugiați,,,,,19.0
2021,,,,,,Solicitanți azil,,,,,52.0
2021,,,,,,,Procuratura,,,,1419.0
2021,,,,,,,Inspectoratul de politie,,,,20406.0
2021,,,,,,,Judecătoria,,,,19392.0
2021,,,,,,,Curtea de Apel,,,,5277.0
2021,,,,,,,Curtea Supremă de Justuție,,,,45.0
2021,,,,,,,Alte autorități,,,,1451.0
2021,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,32854.0
2021,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2021,,,,,,,,,Calificată cauze penale,,36461.0
2021,,,,,,,,,Calificată cauze contravenționale,,3872.0
2021,,,,,,,,,Calificată cauze civile,,4133.0
2021,,,,,,,,,Urgență cauze penale,,3474.0
2021,,,,,,,,,Urgență cauze contravenționale,,50.0
2021,,,,,,,,,,Total,13364.0
2022,,,,,,,,,,,50360.0
2022,Bulgari,,,,,,,,,,215.0
2022,Romi,,,,,,,,,,255.0
2022,Ruși,,,,,,,,,,841.0
2022,Evrei,,,,,,,,,,26.0
2022,Ucraineni,,,,,,,,,,470.0
2022,,Bărbați,,,,,,,,,43566.0
2022,,Femei,,,,,,,,,6794.0
2022,,,0-17,,,,,,,,2513.0
2022,,,18+,,,,,,,,47847.0
2022,,,, ,,,,,,,239.0
2022,,,,Mintală,,,,,,,682.0
2022,,,,Intelectuală,,,,,,,138.0
2022,,,,Senzorială,,,,,,,19.0
2022,,,,,Republica Moldova,,,,,,50299.0
2022,,,,,Cetățeni străini,,,,,,61.0
2022,,,,,Apatrizi,,,,,,0.0
2022,,,,,,Protecție temporă,,,,,3540.0
2022,,,,,,Protecție umanitară,,,,,88.0
2022,,,,,,Refugiați,,,,,59.0
2022,,,,,,Solicitanți azil,,,,,55.0
2022,,,,,,,Procuratura,,,,1081.0
2022,,,,,,,Inspectoratul de politie,,,,20390.0
2022,,,,,,,Judecătoria,,,,21178.0
2022,,,,,,,Curtea de Apel,,,,6253.0
2022,,,,,,,Curtea Supremă de Justuție,,,,31.0
2022,,,,,,,Alte autorități,,,,1427.0
2022,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,36383.0
2022,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2022,,,,,,,,,Calificată cauze penale,,38297.0
2022,,,,,,,,,Calificată cauze contravenționale,,4087.0
2022,,,,,,,,,Calificată cauze civile,,3975.0
2022,,,,,,,,,Urgență cauze penale,,3922.0
2022,,,,,,,,,Urgență cauze contravenționale,,79.0
2022,,,,,,,,,,Total,13772.0
