Year,Proportion of female judges / Proportion of women in the working-age population        ,Proportion of female registrars / Proportion of women in the working-age population        ,Proportion of ‘young’ judges  aged 44 and below / Proportion of the working-age population aged above the eligibility age and below 45        ,Proportion of ‘young’  registrars aged 44 and below / Proportion of the working-age population aged above the eligibility age and below 45        ,Proportion of judges with a disability / Proportion of persons with a disability in the working-age population,Proportion of registrars with a disability / Proportion of persons with a disability in the working-age population,Value
2015,,,,Total (across all levels of courts),,,
2015,,,,,Constitutional/ supreme courts,,
2015,,,,,Higher-level courts,,
2015,,,,,Lower-level courts,,
2015,,,,,Total (across all levels of courts),,
2015,,,,,,Constitutional/ supreme courts,
2015,,,,,,Higher-level courts,
2015,,,,,,Lower-level courts,
2015,,,,,,Total (across all levels of courts),
2016,,,,,,,
2016,Constitutional/ supreme courts,,,,,,
2016,Higher-level courts,,,,,,
2016,Lower-level courts,,,,,,
2016,Total (across all levels of courts),,,,,,
2016,,Constitutional/ supreme courts,,,,,
2016,,Higher-level courts,,,,,
2016,,Lower-level courts,,,,,
2016,,Total (across all levels of courts),,,,,
2016,,,Constitutional/ supreme courts,,,,
2016,,,Higher-level courts,,,,
2016,,,Lower-level courts,,,,
2016,,,Total (across all levels of courts),,,,
2016,,,,Constitutional/ supreme courts,,,
2016,,,,Higher-level courts,,,
2016,,,,Lower-level courts,,,
2016,,,,Total (across all levels of courts),,,
2016,,,,,Constitutional/ supreme courts,,
2016,,,,,Higher-level courts,,
2016,,,,,Lower-level courts,,
2016,,,,,Total (across all levels of courts),,
2016,,,,,,Constitutional/ supreme courts,
2016,,,,,,Higher-level courts,
2016,,,,,,Lower-level courts,
2016,,,,,,Total (across all levels of courts),
2017,,,,,,,
2017,Constitutional/ supreme courts,,,,,,
2017,Higher-level courts,,,,,,
2017,Lower-level courts,,,,,,
2017,Total (across all levels of courts),,,,,,
2017,,Constitutional/ supreme courts,,,,,
2017,,Higher-level courts,,,,,
2017,,Lower-level courts,,,,,
2017,,Total (across all levels of courts),,,,,
2017,,,Constitutional/ supreme courts,,,,
2017,,,Higher-level courts,,,,
2017,,,Lower-level courts,,,,
2017,,,Total (across all levels of courts),,,,
2017,,,,Constitutional/ supreme courts,,,
2017,,,,Higher-level courts,,,
2017,,,,Lower-level courts,,,
2017,,,,Total (across all levels of courts),,,
2017,,,,,Constitutional/ supreme courts,,
2017,,,,,Higher-level courts,,
2017,,,,,Lower-level courts,,
2017,,,,,Total (across all levels of courts),,
2017,,,,,,Constitutional/ supreme courts,
2017,,,,,,Higher-level courts,
2017,,,,,,Lower-level courts,
2017,,,,,,Total (across all levels of courts),
2018,,,,,,,
2018,Constitutional/ supreme courts,,,,,,
2018,Higher-level courts,,,,,,
2018,Lower-level courts,,,,,,
2018,Total (across all levels of courts),,,,,,
2018,,Constitutional/ supreme courts,,,,,
2018,,Higher-level courts,,,,,
2018,,Lower-level courts,,,,,
2018,,Total (across all levels of courts),,,,,
2018,,,Constitutional/ supreme courts,,,,
2018,,,Higher-level courts,,,,
2018,,,Lower-level courts,,,,
2018,,,Total (across all levels of courts),,,,
2018,,,,Constitutional/ supreme courts,,,
2018,,,,Higher-level courts,,,
2018,,,,Lower-level courts,,,
2018,,,,Total (across all levels of courts),,,
2018,,,,,Constitutional/ supreme courts,,
2018,,,,,Higher-level courts,,
2018,,,,,Lower-level courts,,
2018,,,,,Total (across all levels of courts),,
2018,,,,,,Constitutional/ supreme courts,
2018,,,,,,Higher-level courts,
2018,,,,,,Lower-level courts,
2018,,,,,,Total (across all levels of courts),
2019,,,,,,,
2019,Constitutional/ supreme courts,,,,,,1.0
2019,Higher-level courts,,,,,,0.9
2019,Lower-level courts,,,,,,1.0
2019,Total (across all levels of courts),,,,,,1.0
2019,,Constitutional/ supreme courts,,,,,1.5
2019,,Higher-level courts,,,,,1.4
2019,,Lower-level courts,,,,,1.6
2019,,Total (across all levels of courts),,,,,1.6
2019,,,Constitutional/ supreme courts,,,,0.0
2019,,,Higher-level courts,,,,0.2
2019,,,Lower-level courts,,,,1.3
2019,,,Total (across all levels of courts),,,,1.0
2019,,,,Constitutional/ supreme courts,,,1.8
2019,,,,Higher-level courts,,,2.0
2019,,,,Lower-level courts,,,1.9
2019,,,,Total (across all levels of courts),,,1.9
2019,,,,,Constitutional/ supreme courts,,0.0
2019,,,,,Higher-level courts,,0.0
2019,,,,,Lower-level courts,,0.0
2019,,,,,Total (across all levels of courts),,0.0
2019,,,,,,Constitutional/ supreme courts,0.0
2019,,,,,,Higher-level courts,0.1
2019,,,,,,Lower-level courts,0.0
2019,,,,,,Total (across all levels of courts),0.1
2020,,,,,,,
2020,Constitutional/ supreme courts,,,,,,1.0
2020,Higher-level courts,,,,,,0.9
2020,Lower-level courts,,,,,,1.0
2020,Total (across all levels of courts),,,,,,1.0
2020,,Constitutional/ supreme courts,,,,,1.5
2020,,Higher-level courts,,,,,1.4
2020,,Lower-level courts,,,,,1.7
2020,,Total (across all levels of courts),,,,,1.6
2020,,,Constitutional/ supreme courts,,,,0.0
2020,,,Higher-level courts,,,,0.3
2020,,,Lower-level courts,,,,1.5
2020,,,Total (across all levels of courts),,,,1.2
2020,,,,Constitutional/ supreme courts,,,2.1
2020,,,,Higher-level courts,,,2.1
2020,,,,Lower-level courts,,,2.0
2020,,,,Total (across all levels of courts),,,2.0
2020,,,,,Constitutional/ supreme courts,,0.0
2020,,,,,Higher-level courts,,0.0
2020,,,,,Lower-level courts,,0.0
2020,,,,,Total (across all levels of courts),,0.0
2020,,,,,,Constitutional/ supreme courts,0.0
2020,,,,,,Higher-level courts,0.0
2020,,,,,,Lower-level courts,0.0
2020,,,,,,Total (across all levels of courts),0.0
2021,,,,,,,
2021,Constitutional/ supreme courts,,,,,,1.0
2021,Higher-level courts,,,,,,0.8
2021,Lower-level courts,,,,,,1.0
2021,Total (across all levels of courts),,,,,,1.0
2021,,Constitutional/ supreme courts,,,,,1.4
2021,,Higher-level courts,,,,,1.4
2021,,Lower-level courts,,,,,1.7
2021,,Total (across all levels of courts),,,,,1.6
2021,,,Constitutional/ supreme courts,,,,0.0
2021,,,Higher-level courts,,,,0.7
2021,,,Lower-level courts,,,,1.2
2021,,,Total (across all levels of courts),,,,1.1
2021,,,,Constitutional/ supreme courts,,,2.0
2021,,,,Higher-level courts,,,2.0
2021,,,,Lower-level courts,,,2.0
2021,,,,Total (across all levels of courts),,,2.0
2021,,,,,Constitutional/ supreme courts,,0.0
2021,,,,,Higher-level courts,,0.0
2021,,,,,Lower-level courts,,0.1
2021,,,,,Total (across all levels of courts),,0.0
2021,,,,,,Constitutional/ supreme courts,0.0
2021,,,,,,Higher-level courts,0.0
2021,,,,,,Lower-level courts,0.0
2021,,,,,,Total (across all levels of courts),0.0
2022,,,,,,,
2022,Constitutional/ supreme courts,,,,,,1.0
2022,Higher-level courts,,,,,,0.8
2022,Lower-level courts,,,,,,1.1
2022,Total (across all levels of courts),,,,,,1.0
2022,,Constitutional/ supreme courts,,,,,1.4
2022,,Higher-level courts,,,,,1.4
2022,,Lower-level courts,,,,,1.7
2022,,Total (across all levels of courts),,,,,1.6
2022,,,Constitutional/ supreme courts,,,,0.0
2022,,,Higher-level courts,,,,0.6
2022,,,Lower-level courts,,,,1.2
2022,,,Total (across all levels of courts),,,,1.0
2022,,,,Constitutional/ supreme courts,,,2.0
2022,,,,Higher-level courts,,,2.0
2022,,,,Lower-level courts,,,2.0
2022,,,,Total (across all levels of courts),,,2.0
2022,,,,,Constitutional/ supreme courts,,0.0
2022,,,,,Higher-level courts,,0.0
2022,,,,,Lower-level courts,,0.1
2022,,,,,Total (across all levels of courts),,0.1
2022,,,,,,Constitutional/ supreme courts,0.0
2022,,,,,,Higher-level courts,0.1
2022,,,,,,Lower-level courts,0.0
2022,,,,,,Total (across all levels of courts),0.0
