Year,Proportion of persons aged of 13-15 year who have completed primary education,Area of residence,Sex,Proportion of persons aged of 18-20 year who have completed lower secondary education (gimnasium),Area of residence.1,Sex.1,Proportion of persons aged of 21-23 year who have completed upper secondary education,Area of residence.2,Sex.2,Value
2019,,,,,,,,,,0.0
2019,Total,,,,,,,,,99.6
2019,,Urban,,,,,,,,99.7
2019,,Rural,,,,,,,,99.5
2019,,,Men,,,,,,,99.7
2019,,,Women,,,,,,,99.4
2019,,,,Total,,,,,,99.1
2019,,,,,Urban,,,,,98.3
2019,,,,,Rural,,,,,99.6
2019,,,,,,Men,,,,99.2
2019,,,,,,Women,,,,99.0
2019,,,,,,,Total,,,80.5
2019,,,,,,,,Urban,,91.1
2019,,,,,,,,Rural,,72.9
2019,,,,,,,,,Men,77.3
2019,,,,,,,,,Women,83.7
2020,,,,,,,,,,0.0
2020,Total,,,,,,,,,99.8
2020,,Urban,,,,,,,,99.7
2020,,Rural,,,,,,,,99.8
2020,,,Men,,,,,,,99.8
2020,,,Women,,,,,,,99.8
2020,,,,Total,,,,,,100.0
2020,,,,,Urban,,,,,100.0
2020,,,,,Rural,,,,,100.0
2020,,,,,,Men,,,,100.0
2020,,,,,,Women,,,,100.0
2020,,,,,,,Total,,,80.6
2020,,,,,,,,Urban,,88.7
2020,,,,,,,,Rural,,74.7
2020,,,,,,,,,Men,78.2
2020,,,,,,,,,Women,83.1
2021,,,,,,,,,,0.0
2021,Total,,,,,,,,,100.0
2021,,Urban,,,,,,,,100.0
2021,,Rural,,,,,,,,100.0
2021,,,Men,,,,,,,100.0
2021,,,Women,,,,,,,100.0
2021,,,,Total,,,,,,99.1
2021,,,,,Urban,,,,,98.6
2021,,,,,Rural,,,,,99.4
2021,,,,,,Men,,,,99.1
2021,,,,,,Women,,,,99.1
2021,,,,,,,Total,,,78.1
2021,,,,,,,,Urban,,85.3
2021,,,,,,,,Rural,,72.1
2021,,,,,,,,,Men,74.8
2021,,,,,,,,,Women,81.3
2022,,,,,,,,,,0.0
2022,Total,,,,,,,,,99.8
2022,,Urban,,,,,,,,99.7
2022,,Rural,,,,,,,,99.9
2022,,,Men,,,,,,,99.8
2022,,,Women,,,,,,,99.8
2022,,,,Total,,,,,,99.0
2022,,,,,Urban,,,,,98.6
2022,,,,,Rural,,,,,99.3
2022,,,,,,Men,,,,98.9
2022,,,,,,Women,,,,99.2
2022,,,,,,,Total,,,75.0
2022,,,,,,,,Urban,,83.0
2022,,,,,,,,Rural,,68.4
2022,,,,,,,,,Men,73.1
2022,,,,,,,,,Women,76.8
