Year,Mediul de reședință,Sex,Grupa de vârstă,Quintile pe cheltuielile de consum,Existența dizabilității,Value
2016,,,,II,,15.5
2016,,,,III,,17.9
2016,,,,IV,,19.6
2016,,,,V,,20.4
2016,,,,,Persoane cu dizabilitate,22.2
2016,,,,,Persoane fără dizabilitate,16.8
2017,,,,,,16.4
2017,Urban,,,,,19.1
2017,Rural,,,,,14.5
2017,,Bărbați,,,,14.6
2017,,Femei,,,,17.9
2017,,,0-17,,,12.3
2017,,,18-29,,,14.8
2017,,,30-39,,,13.9
2017,,,40-49,,,12.6
2017,,,50-59,,,17.8
2017,,,60+,,,25.1
2017,,,,I,,11.2
2017,,,,II,,12.7
2017,,,,III,,16.5
2017,,,,IV,,20.1
2017,,,,V,,21.5
2017,,,,,Persoane cu dizabilitate,20.4
2017,,,,,Persoane fără dizabilitate,15.9
2018,,,,,,15.7
2018,Urban,,,,,17.5
2018,Rural,,,,,14.5
2018,,Bărbați,,,,14.1
2018,,Femei,,,,17.2
2018,,,0-17,,,12.3
2018,,,18-29,,,14.9
2018,,,30-39,,,12.8
2018,,,40-49,,,12.5
2018,,,50-59,,,16.2
2018,,,60+,,,23.8
2018,,,,I,,12.6
2018,,,,II,,13.2
2018,,,,III,,14.5
2018,,,,IV,,18.2
2018,,,,V,,20.2
2018,,,,,Persoane cu dizabilitate,19.4
2018,,,,,Persoane fără dizabilitate,15.4
2019,,,,,,11.482
2019,Urban,,,,,12.21
2019,Rural,,,,,11.002
2019,,Bărbați,,,,10.519
2019,,Femei,,,,12.325
2019,,,0-17,,,9.541
2019,,,18-29,,,10.147
2019,,,30-39,,,10.75
2019,,,40-49,,,8.332
2019,,,50-59,,,11.71
2019,,,60+,,,16.616
2019,,,,I,,8.022
2019,,,,II,,8.63
2019,,,,III,,13.036
2019,,,,IV,,12.309
2019,,,,V,,15.413
2019,,,,,Persoane cu dizabilitate,12.879
2019,,,,,Persoane fără dizabilitate,11.319
2020,,,,,,10.673
2020,Urban,,,,,11.698
2020,Rural,,,,,9.997
2020,,Bărbați,,,,9.882
2020,,Femei,,,,11.394
2020,,,0-17,,,8.012
2020,,,18-29,,,11.569
2020,,,30-39,,,8.394
2020,,,40-49,,,9.369
2020,,,50-59,,,10.525
2020,,,60+,,,15.112
2020,,,,I,,5.912
2020,,,,II,,8.949
2020,,,,III,,10.259
2020,,,,IV,,13.577
2020,,,,V,,14.668
2020,,,,,Persoane cu dizabilitate,14.161
2020,,,,,Persoane fără dizabilitate,10.36
2021,,,,,,9.582
2021,Urban,,,,,9.948
2021,Rural,,,,,9.341
2021,,Bărbați,,,,8.595
2021,,Femei,,,,10.412
2021,,,0-17,,,6.767
2021,,,18-29,,,9.739
2021,,,30-39,,,6.933
2021,,,40-49,,,6.708
2021,,,50-59,,,10.289
2021,,,60+,,,14.827
2021,,,,I,,6.379
2021,,,,II,,6.144
2021,,,,III,,9.784
2021,,,,IV,,14.61
2021,,,,V,,10.984
2021,,,,,Persoane cu dizabilitate,13.158
2021,,,,,Persoane fără dizabilitate,9.302
2022,,,,,,10.09
2022,Urban,,,,,9.898
2022,Rural,,,,,10.216
2022,,Bărbați,,,,8.401
2022,,Femei,,,,11.52
2022,,,0-17,,,6.51
2022,,,18-29,,,12.369
2022,,,30-39,,,6.175
2022,,,40-49,,,7.112
2022,,,50-59,,,12.531
2022,,,60+,,,14.525
2022,,,,I,,4.791
2022,,,,II,,8.834
2022,,,,III,,11.058
2022,,,,IV,,11.546
2022,,,,V,,14.223
2022,,,,,Persoane cu dizabilitate,13.369
2022,,,,,Persoane fără dizabilitate,9.832
2023,,,,,,13.616
2023,Urban,,,,,12.816
2023,Rural,,,,,14.217
2023,,Bărbați,,,,11.851
2023,,Femei,,,,15.101
2023,,,0-17,,,10.877
2023,,,18-29,,,13.49
2023,,,30-39,,,9.8
2023,,,40-49,,,12.204
2023,,,50-59,,,11.091
2023,,,60+,,,20.616
2023,,,,I,,9.645
2023,,,,II,,9.587
2023,,,,III,,14.297
2023,,,,IV,,18.383
2023,,,,V,,16.154
2023,,,,,Persoane cu dizabilitate,12.916
2023,,,,,Persoane fără dizabilitate,13.548
