Year,Area of residence,Educational level,Wealth quintiles ,Age group,Socioeconomic status,Ethnicity,Value
2016,,xx,,,,,
2016,,xx,,,,,
2016,,xx,,,,,
2016,,,I,,,,
2016,,,II,,,,
2016,,,III,,,,
2016,,,IV,,,,
2016,,,V,,,,
2016,,,,15-24,,,
2016,,,,25-34,,,
2016,,,,35-44,,,
2016,,,,45-54,,,
2016,,,,55+,,,
2016,,,,,xx,,
2016,,,,,xx,,
2016,,,,,xx,,
2016,,,,,,xx,
2016,,,,,,xx,
2016,,,,,,xx,
2017,,,,,,,
2017,Urban,,,,,,
2017,Rural,,,,,,
2017,,xx,,,,,
2017,,xx,,,,,
2017,,xx,,,,,
2017,,,I,,,,
2017,,,II,,,,
2017,,,III,,,,
2017,,,IV,,,,
2017,,,V,,,,
2017,,,,15-24,,,
2017,,,,25-34,,,
2017,,,,35-44,,,
2017,,,,45-54,,,
2017,,,,55+,,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,,xx,
2017,,,,,,xx,
2017,,,,,,xx,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,xx,,,,,
2018,,xx,,,,,
2018,,xx,,,,,
2018,,,I,,,,
2018,,,II,,,,
2018,,,III,,,,
2018,,,IV,,,,
2018,,,V,,,,
2018,,,,15-24,,,
2018,,,,25-34,,,
2018,,,,35-44,,,
2018,,,,45-54,,,
2018,,,,55+,,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,,xx,
2018,,,,,,xx,
2018,,,,,,xx,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,xx,,,,,
2019,,xx,,,,,
2019,,xx,,,,,
2019,,,I,,,,
2019,,,II,,,,
2019,,,III,,,,
2019,,,IV,,,,
2019,,,V,,,,
2019,,,,15-24,,,
2019,,,,25-34,,,
2019,,,,35-44,,,
2019,,,,45-54,,,
2019,,,,55+,,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,,xx,
2019,,,,,,xx,
2019,,,,,,xx,
2020,,,,,,,
2020,Urban,,,,,,
2020,Rural,,,,,,
2020,,xx,,,,,
2020,,xx,,,,,
2020,,xx,,,,,
2020,,,I,,,,
2020,,,II,,,,
2020,,,III,,,,
2020,,,IV,,,,
2020,,,V,,,,
2020,,,,15-24,,,
2020,,,,25-34,,,
2020,,,,35-44,,,
2020,,,,45-54,,,
2020,,,,55+,,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,,xx,
2020,,,,,,xx,
2020,,,,,,xx,
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,xx,,,,,
2021,,xx,,,,,
2021,,xx,,,,,
2021,,,I,,,,
2021,,,II,,,,
2021,,,III,,,,
2021,,,IV,,,,
2021,,,V,,,,
2021,,,,15-24,,,
2021,,,,25-34,,,
2021,,,,35-44,,,
2021,,,,45-54,,,
2021,,,,55+,,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,,xx,
2021,,,,,,xx,
2021,,,,,,xx,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,xx,,,,,
2022,,xx,,,,,
2022,,xx,,,,,
2022,,,I,,,,
2022,,,II,,,,
2022,,,III,,,,
2022,,,IV,,,,
2022,,,V,,,,
2022,,,,15-24,,,
2022,,,,25-34,,,
2022,,,,35-44,,,
2022,,,,45-54,,,
2022,,,,55+,,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,,xx,
2022,,,,,,xx,
2022,,,,,,xx,
