Year,Urban,Rural,Men,Women,<30,30-39,40-49,50-59,60-64,65+,I,II,III,IV,V,With children up to 18 years,Without children up to 18 years,Value
2013,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,Household type,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,15.4
2014,Area of residence,,,,,,,,,,,,,,,,,14.0
2014,,,,,,,,,,,,,,,,,,16.4
2014,,,Sex of the head of the household,,,,,,,,,,,,,,,14.8
2014,,,,,,,,,,,,,,,,,,16.8
2014,,,,,"Age groups of head of household, years",,,,,,,,,,,,,13.5
2014,,,,,,,,,,,,,,,,,,8.2
2014,,,,,,,,,,,,,,,,,,9.6
2014,,,,,,,,,,,,,,,,,,16.8
2014,,,,,,,,,,,,,,,,,,18.5
2014,,,,,,,,,,,,,,,,,,29.8
2014,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,10.2
2014,,,,,,,,,,,,,,,,,,12.6
2014,,,,,,,,,,,,,,,,,,16.8
2014,,,,,,,,,,,,,,,,,,18.4
2014,,,,,,,,,,,,,,,,,,19.2
2014,,,,,,,,,,,,,,,,Household type,,11.6
2014,,,,,,,,,,,,,,,,,,19.7
2015,,,,,,,,,,,,,,,,,,18.0
2015,Area of residence,,,,,,,,,,,,,,,,,17.7
2015,,,,,,,,,,,,,,,,,,18.3
2015,,,Sex of the head of the household,,,,,,,,,,,,,,,16.5
2015,,,,,,,,,,,,,,,,,,21.4
2015,,,,,"Age groups of head of household, years",,,,,,,,,,,,,8.6
2015,,,,,,,,,,,,,,,,,,12.5
2015,,,,,,,,,,,,,,,,,,12.5
2015,,,,,,,,,,,,,,,,,,18.2
2015,,,,,,,,,,,,,,,,,,24.5
2015,,,,,,,,,,,,,,,,,,33.8
2015,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.7
2015,,,,,,,,,,,,,,,,,,15.1
2015,,,,,,,,,,,,,,,,,,19.1
2015,,,,,,,,,,,,,,,,,,19.3
2015,,,,,,,,,,,,,,,,,,23.9
2015,,,,,,,,,,,,,,,,Household type,,13.0
2015,,,,,,,,,,,,,,,,,,23.5
2016,,,,,,,,,,,,,,,,,,17.2
2016,Area of residence,,,,,,,,,,,,,,,,,17.2
2016,,,,,,,,,,,,,,,,,,17.1
2016,,,Sex of the head of the household,,,,,,,,,,,,,,,16.1
2016,,,,,,,,,,,,,,,,,,19.2
2016,,,,,"Age groups of head of household, years",,,,,,,,,,,,,9.2
2016,,,,,,,,,,,,,,,,,,11.1
2016,,,,,,,,,,,,,,,,,,11.1
2016,,,,,,,,,,,,,,,,,,18.4
2016,,,,,,,,,,,,,,,,,,23.5
2016,,,,,,,,,,,,,,,,,,31.1
2016,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.1
2016,,,,,,,,,,,,,,,,,,14.4
2016,,,,,,,,,,,,,,,,,,16.3
2016,,,,,,,,,,,,,,,,,,20.8
2016,,,,,,,,,,,,,,,,,,22.2
2016,,,,,,,,,,,,,,,,Household type,,11.7
2016,,,,,,,,,,,,,,,,,,22.9
2017,,,,,,,,,,,,,,,,,,16.3
2017,Area of residence,,,,,,,,,,,,,,,,,15.6
2017,,,,,,,,,,,,,,,,,,16.8
2017,,,Sex of the head of the household,,,,,,,,,,,,,,,14.9
2017,,,,,,,,,,,,,,,,,,19.0
2017,,,,,"Age groups of head of household, years",,,,,,,,,,,,,7.1
2017,,,,,,,,,,,,,,,,,,7.9
2017,,,,,,,,,,,,,,,,,,9.9
2017,,,,,,,,,,,,,,,,,,17.9
2017,,,,,,,,,,,,,,,,,,24.3
2017,,,,,,,,,,,,,,,,,,31.9
2017,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,12.3
2017,,,,,,,,,,,,,,,,,,15.6
2017,,,,,,,,,,,,,,,,,,15.6
2017,,,,,,,,,,,,,,,,,,16.7
2017,,,,,,,,,,,,,,,,,,21.2
2017,,,,,,,,,,,,,,,,Household type,,11.3
2017,,,,,,,,,,,,,,,,,,21.6
2018,,,,,,,,,,,,,,,,,,13.1
2018,Area of residence,,,,,,,,,,,,,,,,,13.5
2018,,,,,,,,,,,,,,,,,,12.8
2018,,,Sex of the head of the household,,,,,,,,,,,,,,,12.1
2018,,,,,,,,,,,,,,,,,,15.1
2018,,,,,"Age groups of head of household, years",,,,,,,,,,,,,7.1
2018,,,,,,,,,,,,,,,,,,8.9
2018,,,,,,,,,,,,,,,,,,9.8
2018,,,,,,,,,,,,,,,,,,11.2
2018,,,,,,,,,,,,,,,,,,18.0
2018,,,,,,,,,,,,,,,,,,25.3
2018,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,7.9
2018,,,,,,,,,,,,,,,,,,12.2
2018,,,,,,,,,,,,,,,,,,12.8
2018,,,,,,,,,,,,,,,,,,13.3
2018,,,,,,,,,,,,,,,,,,19.3
2018,,,,,,,,,,,,,,,,Household type,,10.4
2018,,,,,,,,,,,,,,,,,,15.9
2019,,,,,,,,,,,,,,,,,,14.0
2019,Area of residence,,,,,,,,,,,,,,,,,15.4
2019,,,,,,,,,,,,,,,,,,13.1
2019,,,Sex of the head of the household,,,,,,,,,,,,,,,13.0
2019,,,,,,,,,,,,,,,,,,16.4
2019,,,,,"Age groups of head of household, years",,,,,,,,,,,,,12.3
2019,,,,,,,,,,,,,,,,,,8.4
2019,,,,,,,,,,,,,,,,,,8.7
2019,,,,,,,,,,,,,,,,,,15.7
2019,,,,,,,,,,,,,,,,,,19.2
2019,,,,,,,,,,,,,,,,,,23.4
2019,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,6.8
2019,,,,,,,,,,,,,,,,,,11.2
2019,,,,,,,,,,,,,,,,,,13.0
2019,,,,,,,,,,,,,,,,,,18.0
2019,,,,,,,,,,,,,,,,,,21.3
2019,,,,,,,,,,,,,,,,Household type,,9.3
2019,,,,,,,,,,,,,,,,,,18.9
2020,,,,,,,,,,,,,,,,,,12.0
2020,Area of residence,,,,,,,,,,,,,,,,,14.1
2020,,,,,,,,,,,,,,,,,,10.6
2020,,,Sex of the head of the household,,,,,,,,,,,,,,,11.0
2020,,,,,,,,,,,,,,,,,,14.0
2020,,,,,"Age groups of head of household, years",,,,,,,,,,,,,9.7
2020,,,,,,,,,,,,,,,,,,7.0
2020,,,,,,,,,,,,,,,,,,8.6
2020,,,,,,,,,,,,,,,,,,11.9
2020,,,,,,,,,,,,,,,,,,15.8
2020,,,,,,,,,,,,,,,,,,21.8
2020,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,3.9
2020,,,,,,,,,,,,,,,,,,8.0
2020,,,,,,,,,,,,,,,,,,12.5
2020,,,,,,,,,,,,,,,,,,18.0
2020,,,,,,,,,,,,,,,,,,17.5
2020,,,,,,,,,,,,,,,,Household type,,7.7
2020,,,,,,,,,,,,,,,,,,16.3
2021,,,,,,,,,,,,,,,,,,14.2
2021,Area of residence,,,,,,,,,,,,,,,,,17.1
2021,,,,,,,,,,,,,,,,,,12.2
2021,,,Sex of the head of the household,,,,,,,,,,,,,,,13.5
2021,,,,,,,,,,,,,,,,,,15.5
2021,,,,,"Age groups of head of household, years",,,,,,,,,,,,,8.5
2021,,,,,,,,,,,,,,,,,,10.2
2021,,,,,,,,,,,,,,,,,,10.5
2021,,,,,,,,,,,,,,,,,,14.2
2021,,,,,,,,,,,,,,,,,,18.4
2021,,,,,,,,,,,,,,,,,,23.6
2021,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,6.9
2021,,,,,,,,,,,,,,,,,,11.7
2021,,,,,,,,,,,,,,,,,,11.4
2021,,,,,,,,,,,,,,,,,,17.7
2021,,,,,,,,,,,,,,,,,,23.2
2021,,,,,,,,,,,,,,,,Household type,,11.2
2021,,,,,,,,,,,,,,,,,,17.1
2022,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,Sex of the head of the household,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,Household type,,
2022,,,,,,,,,,,,,,,,,,
