Year,Urban,Rural,Municipality Chisinau,North,Center,South,I,II,III,IV,V,Men,Women,Value
2015,,,,,,,,,,,,,,26.2
2015,,,,,,,Quintiles on consumption expenditures,,,,,,,10.1
2015,,,,,,,,,,,,,,27.6
2015,,,,,,,,,,,,,,38.0
2015,,,,,,,,,,,,,,55.0
2015,,,,,,,,,,,,,,73.0
2015,,,,,,,,,,,,Sex of the head of the household,,39.8
2015,,,,,,,,,,,,,,42.8
2016,,,,,,,,,,,,,,42.8
2016,Area of residence,,,,,,,,,,,,,79.9
2016,,,,,,,,,,,,,,16.1
2016,,,Statistical regions,,,,,,,,,,,91.7
2016,,,,,,,,,,,,,,26.4
2016,,,,,,,,,,,,,,28.2
2016,,,,,,,,,,,,,,28.3
2016,,,,,,,Quintiles on consumption expenditures,,,,,,,11.8
2016,,,,,,,,,,,,,,29.2
2016,,,,,,,,,,,,,,41.3
2016,,,,,,,,,,,,,,56.6
2016,,,,,,,,,,,,,,75.0
2016,,,,,,,,,,,,Sex of the head of the household,,41.7
2016,,,,,,,,,,,,,,44.8
2017,,,,,,,,,,,,,,45.0
2017,Area of residence,,,,,,,,,,,,,82.7
2017,,,,,,,,,,,,,,18.6
2017,,,Statistical regions,,,,,,,,,,,91.1
2017,,,,,,,,,,,,,,30.0
2017,,,,,,,,,,,,,,31.9
2017,,,,,,,,,,,,,,29.6
2017,,,,,,,Quintiles on consumption expenditures,,,,,,,15.9
2017,,,,,,,,,,,,,,29.0
2017,,,,,,,,,,,,,,43.9
2017,,,,,,,,,,,,,,59.8
2017,,,,,,,,,,,,,,76.1
2017,,,,,,,,,,,,Sex of the head of the household,,43.4
2017,,,,,,,,,,,,,,47.9
2018,,,,,,,,,,,,,,46.7
2018,Area of residence,,,,,,,,,,,,,83.8
2018,,,,,,,,,,,,,,20.8
2018,,,Statistical regions,,,,,,,,,,,91.6
2018,,,,,,,,,,,,,,30.9
2018,,,,,,,,,,,,,,33.9
2018,,,,,,,,,,,,,,33.9
2018,,,,,,,Quintiles on consumption expenditures,,,,,,,17.4
2018,,,,,,,,,,,,,,32.0
2018,,,,,,,,,,,,,,46.5
2018,,,,,,,,,,,,,,59.9
2018,,,,,,,,,,,,,,77.7
2018,,,,,,,,,,,,Sex of the head of the household,,45.7
2018,,,,,,,,,,,,,,48.6
2019,,,,,,,,,,,,,,55.9
2019,Area of residence,,,,,,,,,,,,,87.2
2019,,,,,,,,,,,,,,35.2
2019,,,Statistical regions,,,,,,,,,,,91.6
2019,,,,,,,,,,,,,,42.5
2019,,,,,,,,,,,,,,48.1
2019,,,,,,,,,,,,,,43.4
2019,,,,,,,Quintiles on consumption expenditures,,,,,,,23.2
2019,,,,,,,,,,,,,,43.9
2019,,,,,,,,,,,,,,58.7
2019,,,,,,,,,,,,,,70.3
2019,,,,,,,,,,,,,,83.2
2019,,,,,,,,,,,,Sex of the head of the household,,56.6
2019,,,,,,,,,,,,,,54.2
2020,,,,,,,,,,,,,,57.2
2020,Area of residence,,,,,,,,,,,,,87.0
2020,,,,,,,,,,,,,,37.6
2020,,,Statistical regions,,,,,,,,,,,92.6
2020,,,,,,,,,,,,,,42.4
2020,,,,,,,,,,,,,,48.7
2020,,,,,,,,,,,,,,48.7
2020,,,,,,,Quintiles on consumption expenditures,,,,,,,28.1
2020,,,,,,,,,,,,,,44.7
2020,,,,,,,,,,,,,,58.4
2020,,,,,,,,,,,,,,68.9
2020,,,,,,,,,,,,,,86.0
2020,,,,,,,,,,,,Sex of the head of the household,,58.7
2020,,,,,,,,,,,,,,54.3
2021,,,,,,,,,,,,,,62.7
2021,Area of residence,,,,,,,,,,,,,88.4
2021,,,,,,,,,,,,,,45.8
2021,,,Statistical regions,,,,,,,,,,,91.1
2021,,,,,,,,,,,,,,53.9
2021,,,,,,,,,,,,,,52.3
2021,,,,,,,,,,,,,,56.9
2021,,,,,,,Quintiles on consumption expenditures,,,,,,,33.5
2021,,,,,,,,,,,,,,51.8
2021,,,,,,,,,,,,,,64.4
2021,,,,,,,,,,,,,,74.7
2021,,,,,,,,,,,,,,89.2
2021,,,,,,,,,,,,Sex of the head of the household,,64.0
2021,,,,,,,,,,,,,,60.0
2022,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,Statistical regions,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,Quintiles on consumption expenditures,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2022,,,,,,,,,,,,Sex of the head of the household,,
2022,,,,,,,,,,,,,,
