Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,Higher,Vocational,General secondary,Primary or less,Employees,Self-employers in agriculture,Self-employers in non-agricultural activities,Pensioners,Others,Value
2013,Area of residence,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,Sex,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,Age group,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,Education level,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,Employment status,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,Area of residence,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,Sex,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,Age group,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,Education level,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,Employment status,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,Area of residence,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,Sex,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,Age group,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,Education level,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,Employment status,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,Area of residence,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,Sex,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,Age group,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,Education level,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,Employment status,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,Area of residence,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,Sex,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,Age group,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,Education level,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,Employment status,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,Area of residence,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,Sex,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,Age group,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,Education level,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,Employment status,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,Area of residence,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,Sex,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,Age group,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,Education level,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,Employment status,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,Area of residence,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,Sex,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,Age group,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,Education level,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,Employment status,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,Area of residence,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,Sex,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,Age group,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,Education level,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,Employment status,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,Sex,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,Age group,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Education level,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,Employment status,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
