Year,"Reported on a person, by sources","Reported on a person, by ingredients","Quantity of emissions, total","Quantity of emissions, by sources","Quantity of emissions, by ingredients",Value
2016,,Hydrocarbs,,,,7.7
2016,,Aldehydes,,,,2.5
2016,,Solids,,,,1.1
2016,,,Total,,,201.5
2016,,,,Auto,,166.0
2016,,,,Railway,,2.9
2016,,,,Air,,32.6
2016,,,,,Carbon monoxide,144.8
2016,,,,,Nitrogen dioxide,19.8
2016,,,,,Sulphur dioxide,5.1
2016,,,,,Hydrocarbs,21.6
2016,,,,,Aldehydes,7.0
2016,,,,,Solids,3.2
2017,,,,,,117.0
2017,Auto,,,,,107.4
2017,Railway,,,,,0.9
2017,Air,,,,,8.7
2017,,Carbon monoxide,,,,89.7
2017,,Nitrogen dioxide,,,,10.9
2017,,Sulphur dioxide,,,,2.5
2017,,Hydrocarbs,,,,11.6
2017,,Aldehydes,,,,0.7
2017,,Solids,,,,1.6
2017,,,Total,,,322.3
2017,,,,Auto,,296.0
2017,,,,Railway,,2.4
2017,,,,Air,,23.9
2017,,,,,Carbon monoxide,247.1
2017,,,,,Nitrogen dioxide,29.9
2017,,,,,Sulphur dioxide,7.0
2017,,,,,Hydrocarbs,31.9
2017,,,,,Aldehydes,2.0
2017,,,,,Solids,4.4
2018,,,,,,84.2
2018,Auto,,,,,73.2
2018,Railway,,,,,0.7
2018,Air,,,,,10.3
2018,,Carbon monoxide,,,,61.7
2018,,Nitrogen dioxide,,,,9.2
2018,,Sulphur dioxide,,,,2.4
2018,,Hydrocarbs,,,,8.6
2018,,Aldehydes,,,,0.7
2018,,Solids,,,,1.6
2018,,,Total,,,227.9
2018,,,,Auto,,198.1
2018,,,,Railway,,2.0
2018,,,,Air,,27.8
2018,,,,,Carbon monoxide,167.1
2018,,,,,Nitrogen dioxide,25.0
2018,,,,,Sulphur dioxide,6.6
2018,,,,,Hydrocarbs,23.3
2018,,,,,Aldehydes,1.8
2018,,,,,Solids,4.1
2019,,,,,,71.1
2019,Auto,,,,,61.5
2019,Railway,,,,,0.3
2019,Air,,,,,9.3
2019,,Carbon monoxide,,,,48.0
2019,,Nitrogen dioxide,,,,9.9
2019,,Sulphur dioxide,,,,3.0
2019,,Hydrocarbs,,,,7.7
2019,,Aldehydes,,,,0.8
2019,,Solids,,,,1.7
2019,,,Total,,,189.5
2019,,,,Auto,,163.8
2019,,,,Railway,,0.9
2019,,,,Air,,24.8
2019,,,,,Carbon monoxide,127.8
2019,,,,,Nitrogen dioxide,26.5
2019,,,,,Sulphur dioxide,7.9
2019,,,,,Hydrocarbs,20.5
2019,,,,,Aldehydes,2.0
2019,,,,,Solids,4.8
2020,,,,,,59.0
2020,Auto,,,,,56.3
2020,Railway,,,,,0.3
2020,Air,,,,,2.4
2020,,Carbon monoxide,,,,38.2
2020,,Nitrogen dioxide,,,,9.0
2020,,Sulphur dioxide,,,,2.8
2020,,Hydrocarbs,,,,6.6
2020,,Aldehydes,,,,0.7
2020,,Solids,,,,1.7
2020,,,Total,,,155.6
2020,,,,Auto,,148.7
2020,,,,Railway,,0.7
2020,,,,Air,,6.2
2020,,,,,Carbon monoxide,100.6
2020,,,,,Nitrogen dioxide,23.9
2020,,,,,Sulphur dioxide,7.4
2020,,,,,Hydrocarbs,17.3
2020,,,,,Aldehydes,1.8
2020,,,,,Solids,4.6
2021,,,,,,74.0
2021,Auto,,,,,65.8
2021,Railway,,,,,0.3
2021,Air,,,,,7.9
2021,,Carbon monoxide,,,,49.8
2021,,Nitrogen dioxide,,,,10.4
2021,,Sulphur dioxide,,,,3.0
2021,,Hydrocarbs,,,,8.1
2021,,Aldehydes,,,,0.8
2021,,Solids,,,,1.9
2021,,,Total,,,193.4
2021,,,,Auto,,172.1
2021,,,,Railway,,0.7
2021,,,,Air,,20.6
2021,,,,,Carbon monoxide,130.3
2021,,,,,Nitrogen dioxide,27.2
2021,,,,,Sulphur dioxide,7.9
2021,,,,,Hydrocarbs,21.1
2021,,,,,Aldehydes,2.0
2021,,,,,Solids,4.9
2022,,,,,,
2022,Auto,,,,,
2022,Railway,,,,,
2022,Air,,,,,
2022,,Carbon monoxide,,,,
2022,,Nitrogen dioxide,,,,
2022,,Sulphur dioxide,,,,
2022,,Hydrocarbs,,,,
2022,,Aldehydes,,,,
2022,,Solids,,,,
2022,,,Total,,,
2022,,,,Auto,,
2022,,,,Railway,,
2022,,,,Air,,
2022,,,,,Carbon monoxide,
2022,,,,,Nitrogen dioxide,
2022,,,,,Sulphur dioxide,
2022,,,,,Hydrocarbs,
2022,,,,,Aldehydes,
2022,,,,,Solids,
