Year,Ethnicity,Sex,Age group,Disability,Citizenship,Beneficiary status - foreign citizen,Requested authority,Legal basis,Type of qualified assistance,Primary care,Value
2014,,,,Intellectual,,,,,,,2.0
2014,,,,Sensory,,,,,,,0.0
2014,,,,,Republic of Moldova,,,,,,43062.0
2014,,,,,Foreign citizenship,,,,,,85.0
2014,,,,,Stateless,,,,,,0.0
2014,,,,,,Temporary protection,,,,,81.0
2014,,,,,,Humanitarian protection,,,,,3.0
2014,,,,,,Refugees,,,,,0.0
2014,,,,,,Asylum seekers,,,,,1.0
2014,,,,,,,Prosecution,,,,4411.0
2014,,,,,,,Police inspectorate,,,,22868.0
2014,,,,,,,Court,,,,8854.0
2014,,,,,,,Court of Appeal,,,,3950.0
2014,,,,,,,Supreme Court of Justice,,,,352.0
2014,,,,,,,Other authorities,,,,2712.0
2014,,,,,,,,Regardless of income level (art. 20 law 198),,,27356.0
2014,,,,,,,,Depending on the income level (art. 21 law 198),,,15791.0
2014,,,,,,,,,Qualified criminal cases,,36108.0
2014,,,,,,,,,Qualified contravention cases,,816.0
2014,,,,,,,,,Qualified civil cases,,2561.0
2014,,,,,,,,,Emergency criminal cases,,3366.0
2014,,,,,,,,,Emergency contravention cases,,304.0
2014,,,,,,,,,,Total,7403.0
2015,,,,,,,,,,,43980.0
2015,Bulgarians,,,,,,,,,,25.0
2015,Roma,,,,,,,,,,3.0
2015,Russians,,,,,,,,,,12.0
2015,Jews,,,,,,,,,,0.0
2015,Ukrainians,,,,,,,,,,12.0
2015,,Men,,,,,,,,,38947.0
2015,,Women,,,,,,,,,5033.0
2015,,,0-17,,,,,,,,2472.0
2015,,,18+,,,,,,,,41508.0
2015,,,, ,,,,,,,1.0
2015,,,,Mental,,,,,,,2.0
2015,,,,Intellectual,,,,,,,2.0
2015,,,,Sensory,,,,,,,0.0
2015,,,,,Republic of Moldova,,,,,,43883.0
2015,,,,,Foreign citizenship,,,,,,97.0
2015,,,,,Stateless,,,,,,0.0
2015,,,,,,Temporary protection,,,,,92.0
2015,,,,,,Humanitarian protection,,,,,2.0
2015,,,,,,Refugees,,,,,1.0
2015,,,,,,Asylum seekers,,,,,2.0
2015,,,,,,,Prosecution,,,,4536.0
2015,,,,,,,Police inspectorate,,,,23110.0
2015,,,,,,,Court,,,,9465.0
2015,,,,,,,Court of Appeal,,,,3983.0
2015,,,,,,,Supreme Court of Justice,,,,40.0
2015,,,,,,,Other authorities,,,,2846.0
2015,,,,,,,,Regardless of income level (art. 20 law 198),,,28671.0
2015,,,,,,,,Depending on the income level (art. 21 law 198),,,15309.0
2015,,,,,,,,,Qualified criminal cases,,36124.0
2015,,,,,,,,,Qualified contravention cases,,789.0
2015,,,,,,,,,Qualified civil cases,,2452.0
2015,,,,,,,,,Emergency criminal cases,,4153.0
2015,,,,,,,,,Emergency contravention cases,,462.0
2015,,,,,,,,,,Total,9813.0
2016,,,,,,,,,,,49560.0
2016,Bulgarians,,,,,,,,,,0.0
2016,Roma,,,,,,,,,,0.0
2016,Russians,,,,,,,,,,1.0
2016,Jews,,,,,,,,,,0.0
2016,Ukrainians,,,,,,,,,,1.0
2016,,Men,,,,,,,,,43940.0
2016,,Women,,,,,,,,,5620.0
2016,,,0-17,,,,,,,,2801.0
2016,,,18+,,,,,,,,46759.0
2016,,,, ,,,,,,,0.0
2016,,,,Mental,,,,,,,21.0
2016,,,,Intellectual,,,,,,,1.0
2016,,,,Sensory,,,,,,,0.0
2016,,,,,Republic of Moldova,,,,,,49471.0
2016,,,,,Foreign citizenship,,,,,,89.0
2016,,,,,Stateless,,,,,,0.0
2016,,,,,,Temporary protection,,,,,78.0
2016,,,,,,Humanitarian protection,,,,,0.0
2016,,,,,,Refugees,,,,,2.0
2016,,,,,,Asylum seekers,,,,,9.0
2016,,,,,,,Prosecution,,,,3585.0
2016,,,,,,,Police inspectorate,,,,25480.0
2016,,,,,,,Court,,,,13453.0
2016,,,,,,,Court of Appeal,,,,4267.0
2016,,,,,,,Supreme Court of Justice,,,,72.0
2016,,,,,,,Other authorities,,,,2703.0
2016,,,,,,,,Regardless of income level (art. 20 law 198),,,37535.0
2016,,,,,,,,Depending on the income level (art. 21 law 198),,,17066.0
2016,,,,,,,,,Qualified criminal cases,,40366.0
2016,,,,,,,,,Qualified contravention cases,,1086.0
2016,,,,,,,,,Qualified civil cases,,2910.0
2016,,,,,,,,,Emergency criminal cases,,4776.0
2016,,,,,,,,,Emergency contravention cases,,422.0
2016,,,,,,,,,,Total,9335.0
2017,,,,,,,,,,,54601.0
2017,Bulgarians,,,,,,,,,,0.0
2017,Roma,,,,,,,,,,0.0
2017,Russians,,,,,,,,,,0.0
2017,Jews,,,,,,,,,,0.0
2017,Ukrainians,,,,,,,,,,0.0
2017,,Men,,,,,,,,,47988.0
2017,,Women,,,,,,,,,6613.0
2017,,,0-17,,,,,,,,2864.0
2017,,,18+,,,,,,,,51737.0
2017,,,, ,,,,,,,1.0
2017,,,,Mental,,,,,,,0.0
2017,,,,Intellectual,,,,,,,2.0
2017,,,,Sensory,,,,,,,1.0
2017,,,,,Republic of Moldova,,,,,,54535.0
2017,,,,,Foreign citizenship,,,,,,66.0
2017,,,,,Stateless,,,,,,0.0
2017,,,,,,Temporary protection,,,,,36.0
2017,,,,,,Humanitarian protection,,,,,1.0
2017,,,,,,Refugees,,,,,3.0
2017,,,,,,Asylum seekers,,,,,26.0
2017,,,,,,,Prosecution,,,,2221.0
2017,,,,,,,Police inspectorate,,,,23996.0
2017,,,,,,,Court,,,,20039.0
2017,,,,,,,Court of Appeal,,,,5626.0
2017,,,,,,,Supreme Court of Justice,,,,60.0
2017,,,,,,,Other authorities,,,,2659.0
2017,,,,,,,,Regardless of income level (art. 20 law 198),,,38863.0
2017,,,,,,,,Depending on the income level (art. 21 law 198),,,15738.0
2017,,,,,,,,,Qualified criminal cases,,44005.0
2017,,,,,,,,,Qualified contravention cases,,2425.0
2017,,,,,,,,,Qualified civil cases,,3458.0
2017,,,,,,,,,Emergency criminal cases,,4525.0
2017,,,,,,,,,Emergency contravention cases,,188.0
2017,,,,,,,,,,Total,10849.0
2018,,,,,,,,,,,49695.0
2018,Bulgarians,,,,,,,,,,0.0
2018,Roma,,,,,,,,,,0.0
2018,Russians,,,,,,,,,,3.0
2018,Jews,,,,,,,,,,0.0
2018,Ukrainians,,,,,,,,,,1.0
2018,,Men,,,,,,,,,44080.0
2018,,Women,,,,,,,,,5615.0
2018,,,0-17,,,,,,,,2605.0
2018,,,18+,,,,,,,,47090.0
2018,,,, ,,,,,,,8.0
2018,,,,Mental,,,,,,,7.0
2018,,,,Intellectual,,,,,,,0.0
2018,,,,Sensory,,,,,,,1.0
2018,,,,,Republic of Moldova,,,,,,49629.0
2018,,,,,Foreign citizenship,,,,,,66.0
2018,,,,,Stateless,,,,,,0.0
2018,,,,,,Temporary protection,,,,,38.0
2018,,,,,,Humanitarian protection,,,,,1.0
2018,,,,,,Refugees,,,,,1.0
2018,,,,,,Asylum seekers,,,,,12.0
2018,,,,,,,Prosecution,,,,1836.0
2018,,,,,,,Police inspectorate,,,,21217.0
2018,,,,,,,Court,,,,19017.0
2018,,,,,,,Court of Appeal,,,,5270.0
2018,,,,,,,Supreme Court of Justice,,,,43.0
2018,,,,,,,Other authorities,,,,2312.0
2018,,,,,,,,Regardless of income level (art. 20 law 198),,,36340.0
2018,,,,,,,,Depending on the income level (art. 21 law 198),,,13355.0
2018,,,,,,,,,Qualified criminal cases,,39903.0
2018,,,,,,,,,Qualified contravention cases,,2737.0
2018,,,,,,,,,Qualified civil cases,,3546.0
2018,,,,,,,,,Emergency criminal cases,,3464.0
2018,,,,,,,,,Emergency contravention cases,,45.0
2018,,,,,,,,,,Total,10535.0
2019,,,,,,,,,,,48515.0
2019,Bulgarians,,,,,,,,,,1.0
2019,Roma,,,,,,,,,,1.0
2019,Russians,,,,,,,,,,7.0
2019,Jews,,,,,,,,,,0.0
2019,Ukrainians,,,,,,,,,,5.0
2019,,Men,,,,,,,,,42884.0
2019,,Women,,,,,,,,,5631.0
2019,,,0-17,,,,,,,,2403.0
2019,,,18+,,,,,,,,46112.0
2019,,,, ,,,,,,,52.0
2019,,,,Mental,,,,,,,21.0
2019,,,,Intellectual,,,,,,,1.0
2019,,,,Sensory,,,,,,,3.0
2019,,,,,Republic of Moldova,,,,,,48385.0
2019,,,,,Foreign citizenship,,,,,,130.0
2019,,,,,Stateless,,,,,,0.0
2019,,,,,,Temporary protection,,,,,100.0
2019,,,,,,Humanitarian protection,,,,,5.0
2019,,,,,,Refugees,,,,,0.0
2019,,,,,,Asylum seekers,,,,,14.0
2019,,,,,,,Prosecution,,,,1644.0
2019,,,,,,,Police inspectorate,,,,19878.0
2019,,,,,,,Court,,,,19716.0
2019,,,,,,,Court of Appeal,,,,5399.0
2019,,,,,,,Supreme Court of Justice,,,,52.0
2019,,,,,,,Other authorities,,,,1826.0
2019,,,,,,,,Regardless of income level (art. 20 law 198),,,38163.0
2019,,,,,,,,Depending on the income level (art. 21 law 198),,,10352.0
2019,,,,,,,,,Qualified criminal cases,,38663.0
2019,,,,,,,,,Qualified contravention cases,,2738.0
2019,,,,,,,,,Qualified civil cases,,3720.0
2019,,,,,,,,,Emergency criminal cases,,3333.0
2019,,,,,,,,,Emergency contravention cases,,61.0
2019,,,,,,,,,,Total,11812.0
2020,,,,,,,,,,,44265.0
2020,Bulgarians,,,,,,,,,,100.0
2020,Roma,,,,,,,,,,144.0
2020,Russians,,,,,,,,,,412.0
2020,Jews,,,,,,,,,,15.0
2020,Ukrainians,,,,,,,,,,148.0
2020,,Men,,,,,,,,,38662.0
2020,,Women,,,,,,,,,5603.0
2020,,,0-17,,,,,,,,2323.0
2020,,,18+,,,,,,,,41942.0
2020,,,, ,,,,,,,317.0
2020,,,,Mental,,,,,,,232.0
2020,,,,Intellectual,,,,,,,57.0
2020,,,,Sensory,,,,,,,15.0
2020,,,,,Republic of Moldova,,,,,,44218.0
2020,,,,,Foreign citizenship,,,,,,47.0
2020,,,,,Stateless,,,,,,0.0
2020,,,,,,Temporary protection,,,,,866.0
2020,,,,,,Humanitarian protection,,,,,139.0
2020,,,,,,Refugees,,,,,12.0
2020,,,,,,Asylum seekers,,,,,20.0
2020,,,,,,,Prosecution,,,,1513.0
2020,,,,,,,Police inspectorate,,,,19713.0
2020,,,,,,,Court,,,,17038.0
2020,,,,,,,Court of Appeal,,,,4731.0
2020,,,,,,,Supreme Court of Justice,,,,50.0
2020,,,,,,,Other authorities,,,,1220.0
2020,,,,,,,,Regardless of income level (art. 20 law 198),,,32625.0
2020,,,,,,,,Depending on the income level (art. 21 law 198),,,
2020,,,,,,,,,Qualified criminal cases,,34563.0
2020,,,,,,,,,Qualified contravention cases,,2868.0
2020,,,,,,,,,Qualified civil cases,,3720.0
2020,,,,,,,,,Emergency criminal cases,,3061.0
2020,,,,,,,,,Emergency contravention cases,,53.0
2020,,,,,,,,,,Total,12519.0
2021,,,,,,,,,,,47990.0
2021,Bulgarians,,,,,,,,,,179.0
2021,Roma,,,,,,,,,,320.0
2021,Russians,,,,,,,,,,832.0
2021,Jews,,,,,,,,,,38.0
2021,Ukrainians,,,,,,,,,,356.0
2021,,Men,,,,,,,,,41478.0
2021,,Women,,,,,,,,,6512.0
2021,,,0-17,,,,,,,,2213.0
2021,,,18+,,,,,,,,45777.0
2021,,,, ,,,,,,,279.0
2021,,,,Mental,,,,,,,579.0
2021,,,,Intellectual,,,,,,,115.0
2021,,,,Sensory,,,,,,,26.0
2021,,,,,Republic of Moldova,,,,,,47937.0
2021,,,,,Foreign citizenship,,,,,,53.0
2021,,,,,Stateless,,,,,,0.0
2021,,,,,,Temporary protection,,,,,2755.0
2021,,,,,,Humanitarian protection,,,,,135.0
2021,,,,,,Refugees,,,,,19.0
2021,,,,,,Asylum seekers,,,,,52.0
2021,,,,,,,Prosecution,,,,1419.0
2021,,,,,,,Police inspectorate,,,,20406.0
2021,,,,,,,Court,,,,19392.0
2021,,,,,,,Court of Appeal,,,,5277.0
2021,,,,,,,Supreme Court of Justice,,,,45.0
2021,,,,,,,Other authorities,,,,1451.0
2021,,,,,,,,Regardless of income level (art. 20 law 198),,,32854.0
2021,,,,,,,,Depending on the income level (art. 21 law 198),,,
2021,,,,,,,,,Qualified criminal cases,,36461.0
2021,,,,,,,,,Qualified contravention cases,,3872.0
2021,,,,,,,,,Qualified civil cases,,4133.0
2021,,,,,,,,,Emergency criminal cases,,3474.0
2021,,,,,,,,,Emergency contravention cases,,50.0
2021,,,,,,,,,,Total,13364.0
2022,,,,,,,,,,,50360.0
2022,Bulgarians,,,,,,,,,,215.0
2022,Roma,,,,,,,,,,255.0
2022,Russians,,,,,,,,,,841.0
2022,Jews,,,,,,,,,,26.0
2022,Ukrainians,,,,,,,,,,470.0
2022,,Men,,,,,,,,,43566.0
2022,,Women,,,,,,,,,6794.0
2022,,,0-17,,,,,,,,2513.0
2022,,,18+,,,,,,,,47847.0
2022,,,, ,,,,,,,239.0
2022,,,,Mental,,,,,,,682.0
2022,,,,Intellectual,,,,,,,138.0
2022,,,,Sensory,,,,,,,19.0
2022,,,,,Republic of Moldova,,,,,,50299.0
2022,,,,,Foreign citizenship,,,,,,61.0
2022,,,,,Stateless,,,,,,0.0
2022,,,,,,Temporary protection,,,,,3540.0
2022,,,,,,Humanitarian protection,,,,,88.0
2022,,,,,,Refugees,,,,,59.0
2022,,,,,,Asylum seekers,,,,,55.0
2022,,,,,,,Prosecution,,,,1081.0
2022,,,,,,,Police inspectorate,,,,20390.0
2022,,,,,,,Court,,,,21178.0
2022,,,,,,,Court of Appeal,,,,6253.0
2022,,,,,,,Supreme Court of Justice,,,,31.0
2022,,,,,,,Other authorities,,,,1427.0
2022,,,,,,,,Regardless of income level (art. 20 law 198),,,36383.0
2022,,,,,,,,Depending on the income level (art. 21 law 198),,,
2022,,,,,,,,,Qualified criminal cases,,38297.0
2022,,,,,,,,,Qualified contravention cases,,4087.0
2022,,,,,,,,,Qualified civil cases,,3975.0
2022,,,,,,,,,Emergency criminal cases,,3922.0
2022,,,,,,,,,Emergency contravention cases,,79.0
2022,,,,,,,,,,Total,13772.0
