Year,Urban,Rural,Men,Women,<30,30-39,40-49,50-59,60-64,65+,I,II,III,IV,V,With children up to 18 years,Without children up to 18 years,Value
2013,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,Household type,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,2.5
2014,Area of residence,,,,,,,,,,,,,,,,,1.9
2014,,,,,,,,,,,,,,,,,,2.9
2014,,,Sex of the head of the household,,,,,,,,,,,,,,,2.3
2014,,,,,,,,,,,,,,,,,,2.8
2014,,,,,"Age groups of head of household, years",,,,,,,,,,,,,2.5
2014,,,,,,,,,,,,,,,,,,0.4
2014,,,,,,,,,,,,,,,,,,1.4
2014,,,,,,,,,,,,,,,,,,2.7
2014,,,,,,,,,,,,,,,,,,4.3
2014,,,,,,,,,,,,,,,,,,5.1
2014,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,1.0
2014,,,,,,,,,,,,,,,,,,1.4
2014,,,,,,,,,,,,,,,,,,2.3
2014,,,,,,,,,,,,,,,,,,3.8
2014,,,,,,,,,,,,,,,,,,3.9
2014,,,,,,,,,,,,,,,,Household type,,1.4
2014,,,,,,,,,,,,,,,,,,3.7
2015,,,,,,,,,,,,,,,,,,3.1
2015,Area of residence,,,,,,,,,,,,,,,,,2.2
2015,,,,,,,,,,,,,,,,,,3.8
2015,,,Sex of the head of the household,,,,,,,,,,,,,,,2.9
2015,,,,,,,,,,,,,,,,,,3.6
2015,,,,,"Age groups of head of household, years",,,,,,,,,,,,,0.6
2015,,,,,,,,,,,,,,,,,,0.9
2015,,,,,,,,,,,,,,,,,,2.5
2015,,,,,,,,,,,,,,,,,,3.4
2015,,,,,,,,,,,,,,,,,,6.1
2015,,,,,,,,,,,,,,,,,,5.6
2015,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,0.9
2015,,,,,,,,,,,,,,,,,,1.3
2015,,,,,,,,,,,,,,,,,,3.5
2015,,,,,,,,,,,,,,,,,,4.2
2015,,,,,,,,,,,,,,,,,,5.6
2015,,,,,,,,,,,,,,,,Household type,,1.8
2015,,,,,,,,,,,,,,,,,,4.6
2016,,,,,,,,,,,,,,,,,,2.9
2016,Area of residence,,,,,,,,,,,,,,,,,2.5
2016,,,,,,,,,,,,,,,,,,3.2
2016,,,Sex of the head of the household,,,,,,,,,,,,,,,2.7
2016,,,,,,,,,,,,,,,,,,3.5
2016,,,,,"Age groups of head of household, years",,,,,,,,,,,,,1.3
2016,,,,,,,,,,,,,,,,,,1.4
2016,,,,,,,,,,,,,,,,,,1.3
2016,,,,,,,,,,,,,,,,,,3.1
2016,,,,,,,,,,,,,,,,,,3.9
2016,,,,,,,,,,,,,,,,,,7.0
2016,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,1.1
2016,,,,,,,,,,,,,,,,,,1.6
2016,,,,,,,,,,,,,,,,,,2.8
2016,,,,,,,,,,,,,,,,,,3.3
2016,,,,,,,,,,,,,,,,,,6.0
2016,,,,,,,,,,,,,,,,Household type,,1.3
2016,,,,,,,,,,,,,,,,,,4.7
2017,,,,,,,,,,,,,,,,,,3.0
2017,Area of residence,,,,,,,,,,,,,,,,,2.6
2017,,,,,,,,,,,,,,,,,,3.3
2017,,,Sex of the head of the household,,,,,,,,,,,,,,,2.9
2017,,,,,,,,,,,,,,,,,,3.3
2017,,,,,"Age groups of head of household, years",,,,,,,,,,,,,0.6
2017,,,,,,,,,,,,,,,,,,1.3
2017,,,,,,,,,,,,,,,,,,2.0
2017,,,,,,,,,,,,,,,,,,2.5
2017,,,,,,,,,,,,,,,,,,5.1
2017,,,,,,,,,,,,,,,,,,7.1
2017,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,1.4
2017,,,,,,,,,,,,,,,,,,1.6
2017,,,,,,,,,,,,,,,,,,2.1
2017,,,,,,,,,,,,,,,,,,3.9
2017,,,,,,,,,,,,,,,,,,6.1
2017,,,,,,,,,,,,,,,,Household type,,1.6
2017,,,,,,,,,,,,,,,,,,4.5
2018,,,,,,,,,,,,,,,,,,1.8
2018,Area of residence,,,,,,,,,,,,,,,,,1.5
2018,,,,,,,,,,,,,,,,,,2.0
2018,,,Sex of the head of the household,,,,,,,,,,,,,,,1.5
2018,,,,,,,,,,,,,,,,,,2.2
2018,,,,,"Age groups of head of household, years",,,,,,,,,,,,,1.8
2018,,,,,,,,,,,,,,,,,,1.3
2018,,,,,,,,,,,,,,,,,,0.8
2018,,,,,,,,,,,,,,,,,,1.5
2018,,,,,,,,,,,,,,,,,,1.4
2018,,,,,,,,,,,,,,,,,,4.1
2018,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,0.4
2018,,,,,,,,,,,,,,,,,,0.8
2018,,,,,,,,,,,,,,,,,,2.1
2018,,,,,,,,,,,,,,,,,,1.8
2018,,,,,,,,,,,,,,,,,,3.7
2018,,,,,,,,,,,,,,,,Household type,,0.9
2018,,,,,,,,,,,,,,,,,,2.6
2019,,,,,,,,,,,,,,,,,,2.4
2019,Area of residence,,,,,,,,,,,,,,,,,2.6
2019,,,,,,,,,,,,,,,,,,2.2
2019,,,Sex of the head of the household,,,,,,,,,,,,,,,2.1
2019,,,,,,,,,,,,,,,,,,2.9
2019,,,,,"Age groups of head of household, years",,,,,,,,,,,,,1.6
2019,,,,,,,,,,,,,,,,,,0.5
2019,,,,,,,,,,,,,,,,,,1.2
2019,,,,,,,,,,,,,,,,,,3.6
2019,,,,,,,,,,,,,,,,,,3.7
2019,,,,,,,,,,,,,,,,,,3.9
2019,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,0.5
2019,,,,,,,,,,,,,,,,,,1.0
2019,,,,,,,,,,,,,,,,,,0.7
2019,,,,,,,,,,,,,,,,,,4.0
2019,,,,,,,,,,,,,,,,,,5.4
2019,,,,,,,,,,,,,,,,Household type,,0.9
2019,,,,,,,,,,,,,,,,,,3.8
2020,,,,,,,,,,,,,,,,,,1.9
2020,Area of residence,,,,,,,,,,,,,,,,,2.6
2020,,,,,,,,,,,,,,,,,,1.4
2020,,,Sex of the head of the household,,,,,,,,,,,,,,,1.5
2020,,,,,,,,,,,,,,,,,,2.6
2020,,,,,"Age groups of head of household, years",,,,,,,,,,,,,0.8
2020,,,,,,,,,,,,,,,,,,0.7
2020,,,,,,,,,,,,,,,,,,0.9
2020,,,,,,,,,,,,,,,,,,2.5
2020,,,,,,,,,,,,,,,,,,3.0
2020,,,,,,,,,,,,,,,,,,3.8
2020,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,0.4
2020,,,,,,,,,,,,,,,,,,0.2
2020,,,,,,,,,,,,,,,,,,1.0
2020,,,,,,,,,,,,,,,,,,2.5
2020,,,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,Household type,,1.1
2020,,,,,,,,,,,,,,,,,,2.7
2021,,,,,,,,,,,,,,,,,,2.5
2021,Area of residence,,,,,,,,,,,,,,,,,3.3
2021,,,,,,,,,,,,,,,,,,2.0
2021,,,Sex of the head of the household,,,,,,,,,,,,,,,2.1
2021,,,,,,,,,,,,,,,,,,3.3
2021,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,1.6
2021,,,,,,,,,,,,,,,,,,0.4
2021,,,,,,,,,,,,,,,,,,3.5
2021,,,,,,,,,,,,,,,,,,3.1
2021,,,,,,,,,,,,,,,,,,5.7
2021,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,0.1
2021,,,,,,,,,,,,,,,,,,1.2
2021,,,,,,,,,,,,,,,,,,1.5
2021,,,,,,,,,,,,,,,,,,3.2
2021,,,,,,,,,,,,,,,,,,6.3
2021,,,,,,,,,,,,,,,,Household type,,1.2
2021,,,,,,,,,,,,,,,,,,3.8
2022,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,Sex of the head of the household,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,Household type,,
2022,,,,,,,,,,,,,,,,,,
