Year,Area of residence (subjected to violence),Sex (subjected to violence),Age group (subjected to violence),Disability (subjected to violence),"Number of neglected children, at the end of the year",Area of residence (neglected),Sex (neglected),Age group (neglected),Disability (neglected),Value
2014,,,,,,,Girls,,,
2014,,,,,,,Boys,,,
2014,,,,,,,,0-2 years old,,
2014,,,,,,,,3-6 years old,,
2014,,,,,,,,7-15 years old,,
2014,,,,,,,,16-17 years old,,
2014,,,,,,,,,With disabilities,
2015,,,,,,,,,,
2015,Urban,,,,,,,,,
2015,Rural,,,,,,,,,
2015,,Girls,,,,,,,,
2015,,Boys,,,,,,,,
2015,,,0-2 years,,,,,,,
2015,,,3-6 years,,,,,,,
2015,,,7-15 years,,,,,,,
2015,,,16-17 years,,,,,,,
2015,,,,With disabilities,,,,,,
2015,,,,,Total,,,,,
2015,,,,,,Urban,,,,
2015,,,,,,Rural,,,,
2015,,,,,,,Girls,,,
2015,,,,,,,Boys,,,
2015,,,,,,,,0-2 years old,,
2015,,,,,,,,3-6 years old,,
2015,,,,,,,,7-15 years old,,
2015,,,,,,,,16-17 years old,,
2015,,,,,,,,,With disabilities,
2016,,,,,,,,,,
2016,Urban,,,,,,,,,
2016,Rural,,,,,,,,,
2016,,Girls,,,,,,,,
2016,,Boys,,,,,,,,
2016,,,0-2 years,,,,,,,
2016,,,3-6 years,,,,,,,
2016,,,7-15 years,,,,,,,
2016,,,16-17 years,,,,,,,
2016,,,,With disabilities,,,,,,
2016,,,,,Total,,,,,
2016,,,,,,Urban,,,,
2016,,,,,,Rural,,,,
2016,,,,,,,Girls,,,
2016,,,,,,,Boys,,,
2016,,,,,,,,0-2 years old,,
2016,,,,,,,,3-6 years old,,
2016,,,,,,,,7-15 years old,,
2016,,,,,,,,16-17 years old,,
2016,,,,,,,,,With disabilities,
2017,,,,,,,,,,
2017,Urban,,,,,,,,,
2017,Rural,,,,,,,,,
2017,,Girls,,,,,,,,
2017,,Boys,,,,,,,,
2017,,,0-2 years,,,,,,,
2017,,,3-6 years,,,,,,,
2017,,,7-15 years,,,,,,,
2017,,,16-17 years,,,,,,,
2017,,,,With disabilities,,,,,,
2017,,,,,Total,,,,,
2017,,,,,,Urban,,,,
2017,,,,,,Rural,,,,
2017,,,,,,,Girls,,,
2017,,,,,,,Boys,,,
2017,,,,,,,,0-2 years old,,
2017,,,,,,,,3-6 years old,,
2017,,,,,,,,7-15 years old,,
2017,,,,,,,,16-17 years old,,
2017,,,,,,,,,With disabilities,
2018,,,,,,,,,,977.0
2018,Urban,,,,,,,,,613.0
2018,Rural,,,,,,,,,364.0
2018,,Girls,,,,,,,,437.0
2018,,Boys,,,,,,,,540.0
2018,,,0-2 years,,,,,,,77.0
2018,,,3-6 years,,,,,,,172.0
2018,,,7-15 years,,,,,,,420.0
2018,,,16-17 years,,,,,,,308.0
2018,,,,With disabilities,,,,,,23.0
2018,,,,,Total,,,,,7672.0
2018,,,,,,Urban,,,,2115.0
2018,,,,,,Rural,,,,5557.0
2018,,,,,,,Girls,,,3761.0
2018,,,,,,,Boys,,,3911.0
2018,,,,,,,,0-2 years old,,839.0
2018,,,,,,,,3-6 years old,,1843.0
2018,,,,,,,,7-15 years old,,3797.0
2018,,,,,,,,16-17 years old,,1193.0
2018,,,,,,,,,With disabilities,154.0
2019,,,,,,,,,,755.0
2019,Urban,,,,,,,,,387.0
2019,Rural,,,,,,,,,368.0
2019,,Girls,,,,,,,,374.0
2019,,Boys,,,,,,,,381.0
2019,,,0-2 years,,,,,,,35.0
2019,,,3-6 years,,,,,,,93.0
2019,,,7-15 years,,,,,,,403.0
2019,,,16-17 years,,,,,,,224.0
2019,,,,With disabilities,,,,,,17.0
2019,,,,,Total,,,,,8559.0
2019,,,,,,Urban,,,,2051.0
2019,,,,,,Rural,,,,6508.0
2019,,,,,,,Girls,,,4182.0
2019,,,,,,,Boys,,,4377.0
2019,,,,,,,,0-2 years old,,922.0
2019,,,,,,,,3-6 years old,,2123.0
2019,,,,,,,,7-15 years old,,4206.0
2019,,,,,,,,16-17 years old,,1308.0
2019,,,,,,,,,With disabilities,174.0
2020,,,,,,,,,,866.0
2020,Urban,,,,,,,,,475.0
2020,Rural,,,,,,,,,391.0
2020,,Girls,,,,,,,,373.0
2020,,Boys,,,,,,,,493.0
2020,,,0-2 years,,,,,,,39.0
2020,,,3-6 years,,,,,,,141.0
2020,,,7-15 years,,,,,,,363.0
2020,,,16-17 years,,,,,,,323.0
2020,,,,With disabilities,,,,,,17.0
2020,,,,,Total,,,,,8065.0
2020,,,,,,Urban,,,,1969.0
2020,,,,,,Rural,,,,6096.0
2020,,,,,,,Girls,,,3903.0
2020,,,,,,,Boys,,,4162.0
2020,,,,,,,,0-2 years old,,807.0
2020,,,,,,,,3-6 years old,,1809.0
2020,,,,,,,,7-15 years old,,4221.0
2020,,,,,,,,16-17 years old,,1228.0
2020,,,,,,,,,With disabilities,180.0
2021,,,,,,,,,,783.0
2021,Urban,,,,,,,,,288.0
2021,Rural,,,,,,,,,495.0
2021,,Girls,,,,,,,,385.0
2021,,Boys,,,,,,,,398.0
2021,,,0-2 years,,,,,,,42.0
2021,,,3-6 years,,,,,,,156.0
2021,,,7-15 years,,,,,,,439.0
2021,,,16-17 years,,,,,,,146.0
2021,,,,With disabilities,,,,,,7.0
2021,,,,,Total,,,,,6297.0
2021,,,,,,Urban,,,,1434.0
2021,,,,,,Rural,,,,4863.0
2021,,,,,,,Girls,,,3226.0
2021,,,,,,,Boys,,,3071.0
2021,,,,,,,,0-2 years old,,626.0
2021,,,,,,,,3-6 years old,,1481.0
2021,,,,,,,,7-15 years old,,3250.0
2021,,,,,,,,16-17 years old,,940.0
2021,,,,,,,,,With disabilities,142.0
2022,,,,,,,,,,515.0
2022,Urban,,,,,,,,,193.0
2022,Rural,,,,,,,,,322.0
2022,,Girls,,,,,,,,277.0
2022,,Boys,,,,,,,,238.0
2022,,,0-2 years,,,,,,,34.0
2022,,,3-6 years,,,,,,,97.0
2022,,,7-15 years,,,,,,,278.0
2022,,,16-17 years,,,,,,,106.0
2022,,,,With disabilities,,,,,,3.0
2022,,,,,Total,,,,,12102.0
2022,,,,,,Urban,,,,3899.0
2022,,,,,,Rural,,,,8203.0
2022,,,,,,,Girls,,,5822.0
2022,,,,,,,Boys,,,6280.0
2022,,,,,,,,0-2 years old,,1526.0
2022,,,,,,,,3-6 years old,,2952.0
2022,,,,,,,,7-15 years old,,6105.0
2022,,,,,,,,16-17 years old,,1519.0
2022,,,,,,,,,With disabilities,307.0
