Year,Sex,Grupa de vârstă,Mediu de reședință al respondenților,Criterii de discriminare,Entități în care au fost discriminați,Characteristics of persons who discriminated,The quality of the person who discriminated,The quality/function held by the natural person,The field of activity related to the person who discriminated,Value
2011,,,,,,,, Person with a function of public dignity,,
2011,,,,,,,,Public official,,
2011,,,,,,,,Person with responsibility functions,,
2011,,,,,,,,,Publică,
2011,,,,,,,,,Private,
2012,,,,,,,,,,
2012,Bărbați,,,,,,,,,
2012,Femei,,,,,,,,,
2012,,18-29,,,,,,,,
2012,,30-44,,,,,,,,
2012,,45-59,,,,,,,,
2012,,60+,,,,,,,,
2012,,,Urban,,,,,,,
2012,,,Rural,,,,,,,
2012,,,,Statut social,,,,,,
2012,,,,Vârsta,,,,,,
2012,,,,Dizabilitate,,,,,,
2012,,,,Orientarea sexuală,,,,,,
2012,,,,Existența antecedentelor penale,,,,,,
2012,,,,HIV,,,,,,
2012,,,,Etnia romă,,,,,,
2012,,,,Sex/gen,,,,,,
2012,,,,Altă etnie,,,,,,
2012,,,,Religia,,,,,,
2012,,,,Alte,,,,,,
2012,,,,,Policlinica,,,,,
2012,,,,,Locul de muncă,,,,,
2012,,,,,Poliția,,,,,
2012,,,,,Primăria,,,,,
2012,,,,,Strada,,,,,
2012,,,,,Asistența socială,,,,,
2012,,,,,Școala,,,,,
2012,,,,,Magazin,,,,,
2012,,,,,Biserica,,,,,
2012,,,,,Alte,,,,,
2012,,,,,,,,,,
2012,,,,,,,Individual person,,,
2012,,,,,,,Legal person,,,
2012,,,,,,,, Person with a function of public dignity,,
2012,,,,,,,,Public official,,
2012,,,,,,,,Person with responsibility functions,,
2012,,,,,,,,,Publică,
2012,,,,,,,,,Private,
2013,,,,,,,,,,
2013,Bărbați,,,,,,,,,
2013,Femei,,,,,,,,,
2013,,18-29,,,,,,,,
2013,,30-44,,,,,,,,
2013,,45-59,,,,,,,,
2013,,60+,,,,,,,,
2013,,,Urban,,,,,,,
2013,,,Rural,,,,,,,
2013,,,,Statut social,,,,,,
2013,,,,Vârsta,,,,,,
2013,,,,Dizabilitate,,,,,,
2013,,,,Orientarea sexuală,,,,,,
2013,,,,Existența antecedentelor penale,,,,,,
2013,,,,HIV,,,,,,
2013,,,,Etnia romă,,,,,,
2013,,,,Sex/gen,,,,,,
2013,,,,Altă etnie,,,,,,
2013,,,,Religia,,,,,,
2013,,,,Alte,,,,,,
2013,,,,,Policlinica,,,,,
2013,,,,,Locul de muncă,,,,,
2013,,,,,Poliția,,,,,
2013,,,,,Primăria,,,,,
2013,,,,,Strada,,,,,
2013,,,,,Asistența socială,,,,,
2013,,,,,Școala,,,,,
2013,,,,,Magazin,,,,,
2013,,,,,Biserica,,,,,
2013,,,,,Alte,,,,,
2013,,,,,,,,,,
2013,,,,,,,Individual person,,,
2013,,,,,,,Legal person,,,
2013,,,,,,,, Person with a function of public dignity,,
2013,,,,,,,,Public official,,
2013,,,,,,,,Person with responsibility functions,,
2013,,,,,,,,,Publică,
2013,,,,,,,,,Private,
2014,,,,,,,,,,19.5
2014,Bărbați,,,,,,,,,
2014,Femei,,,,,,,,,
2014,,18-29,,,,,,,,
2014,,30-44,,,,,,,,
2014,,45-59,,,,,,,,
2014,,60+,,,,,,,,
2014,,,Urban,,,,,,,
2014,,,Rural,,,,,,,
2014,,,,Statut social,,,,,,31.9
2014,,,,Vârsta,,,,,,28.8
2014,,,,Dizabilitate,,,,,,
2014,,,,Orientarea sexuală,,,,,,19.9
2014,,,,Existența antecedentelor penale,,,,,,14.2
2014,,,,HIV,,,,,,12.6
2014,,,,Etnia romă,,,,,,7.2
2014,,,,Sex/gen,,,,,,5.8
2014,,,,Altă etnie,,,,,,4.1
2014,,,,Religia,,,,,,3.5
2014,,,,Alte,,,,,,2.0
2014,,,,,Policlinica,,,,,39.2
2014,,,,,Locul de muncă,,,,,22.0
2014,,,,,Poliția,,,,,19.4
2014,,,,,Primăria,,,,,19.3
2014,,,,,Strada,,,,,18.5
2014,,,,,Asistența socială,,,,,13.9
2014,,,,,Școala,,,,,9.4
2014,,,,,Magazin,,,,,6.3
2014,,,,,Biserica,,,,,2.2
2014,,,,,Alte,,,,,6.0
2014,,,,,,,,,,
2014,,,,,,,Individual person,,,
2014,,,,,,,Legal person,,,
2014,,,,,,,, Person with a function of public dignity,,
2014,,,,,,,,Public official,,
2014,,,,,,,,Person with responsibility functions,,
2014,,,,,,,,,Publică,
2014,,,,,,,,,Private,
2015,,,,,,,,,,
2015,Bărbați,,,,,,,,,
2015,Femei,,,,,,,,,
2015,,18-29,,,,,,,,
2015,,30-44,,,,,,,,
2015,,45-59,,,,,,,,
2015,,60+,,,,,,,,
2015,,,Urban,,,,,,,
2015,,,Rural,,,,,,,
2015,,,,Statut social,,,,,,
2015,,,,Vârsta,,,,,,
2015,,,,Dizabilitate,,,,,,
2015,,,,Orientarea sexuală,,,,,,
2015,,,,Existența antecedentelor penale,,,,,,
2015,,,,HIV,,,,,,
2015,,,,Etnia romă,,,,,,
2015,,,,Sex/gen,,,,,,
2015,,,,Altă etnie,,,,,,
2015,,,,Religia,,,,,,
2015,,,,Alte,,,,,,
2015,,,,,Policlinica,,,,,
2015,,,,,Locul de muncă,,,,,
2015,,,,,Poliția,,,,,
2015,,,,,Primăria,,,,,
2015,,,,,Strada,,,,,
2015,,,,,Asistența socială,,,,,
2015,,,,,Școala,,,,,
2015,,,,,Magazin,,,,,
2015,,,,,Biserica,,,,,
2015,,,,,Alte,,,,,
2015,,,,,,,,,,
2015,,,,,,,Individual person,,,
2015,,,,,,,Legal person,,,
2015,,,,,,,, Person with a function of public dignity,,
2015,,,,,,,,Public official,,
2015,,,,,,,,Person with responsibility functions,,
2015,,,,,,,,,Publică,
2015,,,,,,,,,Private,
2016,,,,,,,,,,
2016,Bărbați,,,,,,,,,
2016,Femei,,,,,,,,,
2016,,18-29,,,,,,,,
2016,,30-44,,,,,,,,
2016,,45-59,,,,,,,,
2016,,60+,,,,,,,,
2016,,,Urban,,,,,,,
2016,,,Rural,,,,,,,
2016,,,,Statut social,,,,,,
2016,,,,Vârsta,,,,,,
2016,,,,Dizabilitate,,,,,,
2016,,,,Orientarea sexuală,,,,,,
2016,,,,Existența antecedentelor penale,,,,,,
2016,,,,HIV,,,,,,
2016,,,,Etnia romă,,,,,,
2016,,,,Sex/gen,,,,,,
2016,,,,Altă etnie,,,,,,
2016,,,,Religia,,,,,,
2016,,,,Alte,,,,,,
2016,,,,,Policlinica,,,,,
2016,,,,,Locul de muncă,,,,,
2016,,,,,Poliția,,,,,
2016,,,,,Primăria,,,,,
2016,,,,,Strada,,,,,
2016,,,,,Asistența socială,,,,,
2016,,,,,Școala,,,,,
2016,,,,,Magazin,,,,,
2016,,,,,Biserica,,,,,
2016,,,,,Alte,,,,,
2016,,,,,,,,,,
2016,,,,,,,Individual person,,,
2016,,,,,,,Legal person,,,
2016,,,,,,,, Person with a function of public dignity,,
2016,,,,,,,,Public official,,
2016,,,,,,,,Person with responsibility functions,,
2016,,,,,,,,,Publică,
2016,,,,,,,,,Private,
2017,,,,,,,,,,
2017,Bărbați,,,,,,,,,
2017,Femei,,,,,,,,,
2017,,18-29,,,,,,,,
2017,,30-44,,,,,,,,
2017,,45-59,,,,,,,,
2017,,60+,,,,,,,,
2017,,,Urban,,,,,,,
2017,,,Rural,,,,,,,
2017,,,,Statut social,,,,,,
2017,,,,Vârsta,,,,,,
2017,,,,Dizabilitate,,,,,,
2017,,,,Orientarea sexuală,,,,,,
2017,,,,Existența antecedentelor penale,,,,,,
2017,,,,HIV,,,,,,
2017,,,,Etnia romă,,,,,,
2017,,,,Sex/gen,,,,,,
2017,,,,Altă etnie,,,,,,
2017,,,,Religia,,,,,,
2017,,,,Alte,,,,,,
2017,,,,,Policlinica,,,,,
2017,,,,,Locul de muncă,,,,,
2017,,,,,Poliția,,,,,
2017,,,,,Primăria,,,,,
2017,,,,,Strada,,,,,
2017,,,,,Asistența socială,,,,,
2017,,,,,Școala,,,,,
2017,,,,,Magazin,,,,,
2017,,,,,Biserica,,,,,
2017,,,,,Alte,,,,,
2017,,,,,,,,,,
2017,,,,,,,Individual person,,,
2017,,,,,,,Legal person,,,
2017,,,,,,,, Person with a function of public dignity,,
2017,,,,,,,,Public official,,
2017,,,,,,,,Person with responsibility functions,,
2017,,,,,,,,,Publică,
2017,,,,,,,,,Private,
2018,,,,,,,,,,26.3
2018,Bărbați,,,,,,,,,26.6
2018,Femei,,,,,,,,,26.0
2018,,18-29,,,,,,,,25.6
2018,,30-44,,,,,,,,29.0
2018,,45-59,,,,,,,,22.8
2018,,60+,,,,,,,,26.9
2018,,,Urban,,,,,,,28.6
2018,,,Rural,,,,,,,24.2
2018,,,,Statut social,,,,,,23.1
2018,,,,Vârsta,,,,,,17.9
2018,,,,Dizabilitate,,,,,,7.6
2018,,,,Orientarea sexuală,,,,,,
2018,,,,Existența antecedentelor penale,,,,,,
2018,,,,HIV,,,,,,
2018,,,,Etnia romă,,,,,,
2018,,,,Sex/gen,,,,,,16.3
2018,,,,Altă etnie,,,,,,12.9
2018,,,,Religia,,,,,,3.1
2018,,,,Alte,,,,,,26.3
2018,,,,,Policlinica,,,,,
2018,,,,,Locul de muncă,,,,,
2018,,,,,Poliția,,,,,
2018,,,,,Primăria,,,,,
2018,,,,,Strada,,,,,
2018,,,,,Asistența socială,,,,,
2018,,,,,Școala,,,,,
2018,,,,,Magazin,,,,,
2018,,,,,Biserica,,,,,
2018,,,,,Alte,,,,,
2018,,,,,,,,,,
2018,,,,,,,Individual person,,,
2018,,,,,,,Legal person,,,
2018,,,,,,,, Person with a function of public dignity,,
2018,,,,,,,,Public official,,
2018,,,,,,,,Person with responsibility functions,,
2018,,,,,,,,,Publică,
2018,,,,,,,,,Private,
2019,,,,,,,,,,
2019,Bărbați,,,,,,,,,
2019,Femei,,,,,,,,,
2019,,18-29,,,,,,,,
2019,,30-44,,,,,,,,
2019,,45-59,,,,,,,,
2019,,60+,,,,,,,,
2019,,,Urban,,,,,,,
2019,,,Rural,,,,,,,
2019,,,,Statut social,,,,,,
2019,,,,Vârsta,,,,,,
2019,,,,Dizabilitate,,,,,,
2019,,,,Orientarea sexuală,,,,,,
2019,,,,Existența antecedentelor penale,,,,,,
2019,,,,HIV,,,,,,
2019,,,,Etnia romă,,,,,,
2019,,,,Sex/gen,,,,,,
2019,,,,Altă etnie,,,,,,
2019,,,,Religia,,,,,,
2019,,,,Alte,,,,,,
2019,,,,,Policlinica,,,,,
2019,,,,,Locul de muncă,,,,,
2019,,,,,Poliția,,,,,
2019,,,,,Primăria,,,,,
2019,,,,,Strada,,,,,
2019,,,,,Asistența socială,,,,,
2019,,,,,Școala,,,,,
2019,,,,,Magazin,,,,,
2019,,,,,Biserica,,,,,
2019,,,,,Alte,,,,,
2019,,,,,,,,,,
2019,,,,,,,Individual person,,,
2019,,,,,,,Legal person,,,
2019,,,,,,,, Person with a function of public dignity,,
2019,,,,,,,,Public official,,
2019,,,,,,,,Person with responsibility functions,,
2019,,,,,,,,,Publică,
2019,,,,,,,,,Private,
2020,,,,,,,,,,
2020,Bărbați,,,,,,,,,
2020,Femei,,,,,,,,,
2020,,18-29,,,,,,,,
2020,,30-44,,,,,,,,
2020,,45-59,,,,,,,,
2020,,60+,,,,,,,,
2020,,,Urban,,,,,,,
2020,,,Rural,,,,,,,
2020,,,,Statut social,,,,,,
2020,,,,Vârsta,,,,,,
2020,,,,Dizabilitate,,,,,,
2020,,,,Orientarea sexuală,,,,,,
2020,,,,Existența antecedentelor penale,,,,,,
2020,,,,HIV,,,,,,
2020,,,,Etnia romă,,,,,,
2020,,,,Sex/gen,,,,,,
2020,,,,Altă etnie,,,,,,
2020,,,,Religia,,,,,,
2020,,,,Alte,,,,,,
2020,,,,,Policlinica,,,,,
2020,,,,,Locul de muncă,,,,,
2020,,,,,Poliția,,,,,
2020,,,,,Primăria,,,,,
2020,,,,,Strada,,,,,
2020,,,,,Asistența socială,,,,,
2020,,,,,Școala,,,,,
2020,,,,,Magazin,,,,,
2020,,,,,Biserica,,,,,
2020,,,,,Alte,,,,,
2020,,,,,,,,,,
2020,,,,,,,Individual person,,,
2020,,,,,,,Legal person,,,
2020,,,,,,,, Person with a function of public dignity,,
2020,,,,,,,,Public official,,
2020,,,,,,,,Person with responsibility functions,,
2020,,,,,,,,,Publică,
2020,,,,,,,,,Private,
2021,,,,,,,,,,
2021,Bărbați,,,,,,,,,
2021,Femei,,,,,,,,,
2021,,18-29,,,,,,,,
2021,,30-44,,,,,,,,
2021,,45-59,,,,,,,,
2021,,60+,,,,,,,,
2021,,,Urban,,,,,,,
2021,,,Rural,,,,,,,
2021,,,,Statut social,,,,,,
2021,,,,Vârsta,,,,,,
2021,,,,Dizabilitate,,,,,,
2021,,,,Orientarea sexuală,,,,,,
2021,,,,Existența antecedentelor penale,,,,,,
2021,,,,HIV,,,,,,
2021,,,,Etnia romă,,,,,,
2021,,,,Sex/gen,,,,,,
2021,,,,Altă etnie,,,,,,
2021,,,,Religia,,,,,,
2021,,,,Alte,,,,,,
2021,,,,,Policlinica,,,,,
2021,,,,,Locul de muncă,,,,,
2021,,,,,Poliția,,,,,
2021,,,,,Primăria,,,,,
2021,,,,,Strada,,,,,
2021,,,,,Asistența socială,,,,,
2021,,,,,Școala,,,,,
2021,,,,,Magazin,,,,,
2021,,,,,Biserica,,,,,
2021,,,,,Alte,,,,,
2021,,,,,,,,,,
2021,,,,,,,Individual person,,,30.0
2021,,,,,,,Legal person,,,57.5
2021,,,,,,,, Person with a function of public dignity,,10.0
2021,,,,,,,,Public official,,10.0
2021,,,,,,,,Person with responsibility functions,,12.5
2021,,,,,,,,,Publică,75.0
2021,,,,,,,,,Private,25.0
2022,,,,,,,,,,22.0
2022,Bărbați,,,,,,,,,22.3
2022,Femei,,,,,,,,,22.3
2022,,18-29,,,,,,,,28.6
2022,,30-44,,,,,,,,20.5
2022,,45-59,,,,,,,,25.1
2022,,60+,,,,,,,,32.9
2022,,,Urban,,,,,,,46.3
2022,,,Rural,,,,,,,21.6
2022,,,,Statut social,,,,,,
2022,,,,Vârsta,,,,,,28.0
2022,,,,Dizabilitate,,,,,,9.0
2022,,,,Orientarea sexuală,,,,,,4.0
2022,,,,Existența antecedentelor penale,,,,,,2.0
2022,,,,HIV,,,,,,0.0
2022,,,,Etnia romă,,,,,,
2022,,,,Sex/gen,,,,,,15.0
2022,,,,Altă etnie,,,,,,12.0
2022,,,,Religia,,,,,,8.0
2022,,,,Alte,,,,,,21.0
2022,,,,,Policlinica,,,,,42.0
2022,,,,,Locul de muncă,,,,,35.0
2022,,,,,Poliția,,,,,19.0
2022,,,,,Primăria,,,,,29.0
2022,,,,,Strada,,,,,
2022,,,,,Asistența socială,,,,,29.0
2022,,,,,Școala,,,,,24.0
2022,,,,,Magazin,,,,,
2022,,,,,Biserica,,,,,
2022,,,,,Alte,,,,,12.0
2022,,,,,,,,,,
2022,,,,,,,Individual person,,,33.3
2022,,,,,,,Legal person,,,43.3
2022,,,,,,,, Person with a function of public dignity,,6.6
2022,,,,,,,,Public official,,16.6
2022,,,,,,,,Person with responsibility functions,,
2022,,,,,,,,,Publică,73.3
2022,,,,,,,,,Private,26.6
