Year,Sex,Grupe de persoane,Ţări de destinaţie,Forme de exploatare,Mediu de reședință,Nivel de studii,Value
2012,,,Portugalia,,,,
2012,,,Spania,,,,
2012,,,Cipru,,,,
2012,,,România,,,,
2012,,,Grecia,,,,
2012,,,Cehia,,,,
2012,,,Alte,,,,
2012,,,,Sexuală,,,
2012,,,,Muncă,,,
2012,,,,Cerșit,,,
2012,,,,Mixt,,,
2012,,,,Mamă-surogat,,,
2012,,,,Antrenarea în activități criminale,,,
2012,,,,"Prelevare de organe, țesuturi sau celule umane",,,
2012,,,,,Urban,,
2012,,,,,Rural,,
2012,,,,,Locuitor al altui stat,,
2012,,,,,Persoană fără loc de trai permanent,,
2012,,,,,,Superioare,
2012,,,,,,Superioare incomplete,
2012,,,,,,Medii speciale,
2012,,,,,,Medii,
2012,,,,,,Medii incomplete,
2012,,,,,,Primare,
2012,,,,,,Alt nivel de educație,
2012,,,,,,Analfabet,
2013,,,,,,,
2013,Bărbați,,,,,,
2013,Femei,,,,,,
2013,,Adulți,,,,,
2013,,Copii,,,,,
2013,,,Republica Moldova,,,,
2013,,,Federația Rusă,,,,
2013,,,Germania,,,,
2013,,,Polonia,,,,
2013,,,Turcia,,,,
2013,,,Italia,,,,
2013,,,Portugalia,,,,
2013,,,Spania,,,,
2013,,,Cipru,,,,
2013,,,România,,,,
2013,,,Grecia,,,,
2013,,,Cehia,,,,
2013,,,Alte,,,,
2013,,,,Sexuală,,,
2013,,,,Muncă,,,
2013,,,,Cerșit,,,
2013,,,,Mixt,,,
2013,,,,Mamă-surogat,,,
2013,,,,Antrenarea în activități criminale,,,
2013,,,,"Prelevare de organe, țesuturi sau celule umane",,,
2013,,,,,Urban,,
2013,,,,,Rural,,
2013,,,,,Locuitor al altui stat,,
2013,,,,,Persoană fără loc de trai permanent,,
2013,,,,,,Superioare,
2013,,,,,,Superioare incomplete,
2013,,,,,,Medii speciale,
2013,,,,,,Medii,
2013,,,,,,Medii incomplete,
2013,,,,,,Primare,
2013,,,,,,Alt nivel de educație,
2013,,,,,,Analfabet,
2014,,,,,,,9.3
2014,Bărbați,,,,,,6.3
2014,Femei,,,,,,12.0
2014,,Adulți,,,,,10.7
2014,,Copii,,,,,4.2
2014,,,Republica Moldova,,,,1.2
2014,,,Federația Rusă,,,,4.6
2014,,,Germania,,,,0.2
2014,,,Polonia,,,,0.0
2014,,,Turcia,,,,0.7
2014,,,Italia,,,,0.4
2014,,,Portugalia,,,,0.0
2014,,,Spania,,,,0.0
2014,,,Cipru,,,,0.0
2014,,,România,,,,0.1
2014,,,Grecia,,,,0.3
2014,,,Cehia,,,,0.1
2014,,,Alte,,,,1.8
2014,,,,Sexuală,,,4.1
2014,,,,Muncă,,,3.1
2014,,,,Cerșit,,,1.9
2014,,,,Mixt,,,0.0
2014,,,,Mamă-surogat,,,0.0
2014,,,,Antrenarea în activități criminale,,,0.2
2014,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2014,,,,,Urban,,
2014,,,,,Rural,,
2014,,,,,Locuitor al altui stat,,
2014,,,,,Persoană fără loc de trai permanent,,
2014,,,,,,Superioare,
2014,,,,,,Superioare incomplete,
2014,,,,,,Medii speciale,
2014,,,,,,Medii,
2014,,,,,,Medii incomplete,
2014,,,,,,Primare,
2014,,,,,,Alt nivel de educație,
2014,,,,,,Analfabet,
2015,,,,,,,11.0
2015,Bărbați,,,,,,7.4
2015,Femei,,,,,,14.3
2015,,Adulți,,,,,10.9
2015,,Copii,,,,,11.2
2015,,,Republica Moldova,,,,3.4
2015,,,Federația Rusă,,,,4.3
2015,,,Germania,,,,0.3
2015,,,Polonia,,,,0.1
2015,,,Turcia,,,,0.6
2015,,,Italia,,,,0.4
2015,,,Portugalia,,,,0.0
2015,,,Spania,,,,0.1
2015,,,Cipru,,,,0.0
2015,,,România,,,,0.1
2015,,,Grecia,,,,0.2
2015,,,Cehia,,,,0.0
2015,,,Alte,,,,1.5
2015,,,,Sexuală,,,4.9
2015,,,,Muncă,,,4.8
2015,,,,Cerșit,,,1.0
2015,,,,Mixt,,,0.0
2015,,,,Mamă-surogat,,,0.0
2015,,,,Antrenarea în activități criminale,,,0.1
2015,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.2
2015,,,,,Urban,,
2015,,,,,Rural,,
2015,,,,,Locuitor al altui stat,,
2015,,,,,Persoană fără loc de trai permanent,,
2015,,,,,,Superioare,
2015,,,,,,Superioare incomplete,
2015,,,,,,Medii speciale,
2015,,,,,,Medii,
2015,,,,,,Medii incomplete,
2015,,,,,,Primare,
2015,,,,,,Alt nivel de educație,
2015,,,,,,Analfabet,
2016,,,,,,,8.3
2016,Bărbați,,,,,,7.9
2016,Femei,,,,,,8.7
2016,,Adulți,,,,,9.0
2016,,Copii,,,,,5.8
2016,,,Republica Moldova,,,,1.5
2016,,,Federația Rusă,,,,2.8
2016,,,Germania,,,,0.4
2016,,,Polonia,,,,0.1
2016,,,Turcia,,,,0.5
2016,,,Italia,,,,0.2
2016,,,Portugalia,,,,0.0
2016,,,Spania,,,,0.2
2016,,,Cipru,,,,0.1
2016,,,România,,,,0.3
2016,,,Grecia,,,,0.0
2016,,,Cehia,,,,0.3
2016,,,Alte,,,,2.2
2016,,,,Sexuală,,,3.3
2016,,,,Muncă,,,3.0
2016,,,,Cerșit,,,0.9
2016,,,,Mixt,,,0.4
2016,,,,Mamă-surogat,,,0.0
2016,,,,Antrenarea în activități criminale,,,0.7
2016,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2016,,,,,Urban,,
2016,,,,,Rural,,
2016,,,,,Locuitor al altui stat,,
2016,,,,,Persoană fără loc de trai permanent,,
2016,,,,,,Superioare,
2016,,,,,,Superioare incomplete,
2016,,,,,,Medii speciale,
2016,,,,,,Medii,
2016,,,,,,Medii incomplete,
2016,,,,,,Primare,
2016,,,,,,Alt nivel de educație,
2016,,,,,,Analfabet,
2017,,,,,,,9.1
2017,Bărbați,,,,,,9.2
2017,Femei,,,,,,9.1
2017,,Adulți,,,,,9.4
2017,,Copii,,,,,8.0
2017,,,Republica Moldova,,,,2.1
2017,,,Federația Rusă,,,,3.7
2017,,,Germania,,,,0.3
2017,,,Polonia,,,,0.1
2017,,,Turcia,,,,0.5
2017,,,Italia,,,,0.7
2017,,,Portugalia,,,,0.1
2017,,,Spania,,,,0.0
2017,,,Cipru,,,,0.2
2017,,,România,,,,0.0
2017,,,Grecia,,,,0.2
2017,,,Cehia,,,,0.3
2017,,,Alte,,,,1.1
2017,,,,Sexuală,,,2.2
2017,,,,Muncă,,,4.4
2017,,,,Cerșit,,,0.5
2017,,,,Mixt,,,0.0
2017,,,,Mamă-surogat,,,0.0
2017,,,,Antrenarea în activități criminale,,,0.0
2017,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.2
2017,,,,,Urban,,
2017,,,,,Rural,,
2017,,,,,Locuitor al altui stat,,
2017,,,,,Persoană fără loc de trai permanent,,
2017,,,,,,Superioare,
2017,,,,,,Superioare incomplete,
2017,,,,,,Medii speciale,
2017,,,,,,Medii,
2017,,,,,,Medii incomplete,
2017,,,,,,Primare,
2017,,,,,,Alt nivel de educație,
2017,,,,,,Analfabet,
2018,,,,,,,13.6
2018,Bărbați,,,,,,15.9
2018,Femei,,,,,,11.5
2018,,Adulți,,,,,14.5
2018,,Copii,,,,,10.3
2018,,,Republica Moldova,,,,3.8
2018,,,Federația Rusă,,,,2.0
2018,,,Germania,,,,1.3
2018,,,Polonia,,,,0.5
2018,,,Turcia,,,,0.7
2018,,,Italia,,,,0.2
2018,,,Portugalia,,,,0.6
2018,,,Spania,,,,0.6
2018,,,Cipru,,,,0.1
2018,,,România,,,,0.9
2018,,,Grecia,,,,0.1
2018,,,Cehia,,,,1.1
2018,,,Alte,,,,1.2
2018,,,,Sexuală,,,3.5
2018,,,,Muncă,,,8.9
2018,,,,Cerșit,,,0.4
2018,,,,Mixt,,,0.0
2018,,,,Mamă-surogat,,,0.0
2018,,,,Antrenarea în activități criminale,,,0.0
2018,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2018,,,,,Urban,,
2018,,,,,Rural,,
2018,,,,,Locuitor al altui stat,,
2018,,,,,Persoană fără loc de trai permanent,,
2018,,,,,,Superioare,
2018,,,,,,Superioare incomplete,
2018,,,,,,Medii speciale,
2018,,,,,,Medii,
2018,,,,,,Medii incomplete,
2018,,,,,,Primare,
2018,,,,,,Alt nivel de educație,
2018,,,,,,Analfabet,
2019,,,,,,,12.9
2019,Bărbați,,,,,,11.6
2019,Femei,,,,,,14.1
2019,,Adulți,,,,,11.2
2019,,Copii,,,,,19.1
2019,,,Republica Moldova,,,,4.7
2019,,,Federația Rusă,,,,0.8
2019,,,Germania,,,,0.8
2019,,,Polonia,,,,0.6
2019,,,Turcia,,,,0.3
2019,,,Italia,,,,0.4
2019,,,Portugalia,,,,0.3
2019,,,Spania,,,,0.0
2019,,,Cipru,,,,0.0
2019,,,România,,,,0.4
2019,,,Grecia,,,,3.3
2019,,,Cehia,,,,0.0
2019,,,Alte,,,,1.2
2019,,,,Sexuală,,,3.2
2019,,,,Muncă,,,8.5
2019,,,,Cerșit,,,0.7
2019,,,,Mixt,,,0.4
2019,,,,Mamă-surogat,,,0.0
2019,,,,Antrenarea în activități criminale,,,0.0
2019,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.1
2019,,,,,Urban,,
2019,,,,,Rural,,
2019,,,,,Locuitor al altui stat,,
2019,,,,,Persoană fără loc de trai permanent,,
2019,,,,,,Superioare,
2019,,,,,,Superioare incomplete,
2019,,,,,,Medii speciale,
2019,,,,,,Medii,
2019,,,,,,Medii incomplete,
2019,,,,,,Primare,
2019,,,,,,Alt nivel de educație,
2019,,,,,,Analfabet,
2020,,,,,,,5.3
2020,Bărbați,,,,,,6.9
2020,Femei,,,,,,3.8
2020,,Adulți,,,,,5.6
2020,,Copii,,,,,4.1
2020,,,Republica Moldova,,,,1.4
2020,,,Federația Rusă,,,,0.6
2020,,,Germania,,,,0.0
2020,,,Polonia,,,,0.0
2020,,,Turcia,,,,0.4
2020,,,Italia,,,,0.1
2020,,,Portugalia,,,,0.3
2020,,,Spania,,,,0.0
2020,,,Cipru,,,,0.0
2020,,,România,,,,0.2
2020,,,Grecia,,,,0.1
2020,,,Cehia,,,,0.0
2020,,,Alte,,,,2.1
2020,,,,Sexuală,,,1.7
2020,,,,Muncă,,,3.4
2020,,,,Cerșit,,,0.2
2020,,,,Mixt,,,0.0
2020,,,,Mamă-surogat,,,0.0
2020,,,,Antrenarea în activități criminale,,,0.0
2020,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2020,,,,,Urban,,
2020,,,,,Rural,,
2020,,,,,Locuitor al altui stat,,
2020,,,,,Persoană fără loc de trai permanent,,
2020,,,,,,Superioare,
2020,,,,,,Superioare incomplete,
2020,,,,,,Medii speciale,
2020,,,,,,Medii,
2020,,,,,,Medii incomplete,
2020,,,,,,Primare,
2020,,,,,,Alt nivel de educație,
2020,,,,,,Analfabet,
2021,,,,,,,13.9
2021,Bărbați,,,,,,16.9
2021,Femei,,,,,,11.2
2021,,Adulți,,,,,16.7
2021,,Copii,,,,,4.0
2021,,,Republica Moldova,,,,1.6
2021,,,Federația Rusă,,,,0.5
2021,,,Germania,,,,1.6
2021,,,Polonia,,,,0.0
2021,,,Turcia,,,,0.1
2021,,,Italia,,,,2.5
2021,,,Portugalia,,,,0.2
2021,,,Spania,,,,0.0
2021,,,Cipru,,,,0.0
2021,,,România,,,,0.1
2021,,,Grecia,,,,0.5
2021,,,Cehia,,,,0.0
2021,,,Alte,,,,6.9
2021,,,,Sexuală,,,1.4
2021,,,,Muncă,,,10.6
2021,,,,Cerșit,,,0.2
2021,,,,Mixt,,,0.0
2021,,,,Mamă-surogat,,,0.0
2021,,,,Antrenarea în activități criminale,,,0.0
2021,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2021,,,,,Urban,,
2021,,,,,Rural,,
2021,,,,,Locuitor al altui stat,,
2021,,,,,Persoană fără loc de trai permanent,,
2021,,,,,,Superioare,
2021,,,,,,Superioare incomplete,
2021,,,,,,Medii speciale,
2021,,,,,,Medii,
2021,,,,,,Medii incomplete,
2021,,,,,,Primare,
2021,,,,,,Alt nivel de educație,
2021,,,,,,Analfabet,
2022,,,,,,,6.1
2022,Bărbați,,,,,,6.5
2022,Femei,,,,,,5.7
2022,,Adulți,,,,,5.5
2022,,Copii,,,,,8.3
2022,,,Republica Moldova,,,,2.6
2022,,,Federația Rusă,,,,0.4
2022,,,Germania,,,,1.4
2022,,,Polonia,,,,0.3
2022,,,Turcia,,,,0.0
2022,,,Italia,,,,0.4
2022,,,Portugalia,,,,0.2
2022,,,Spania,,,,0.0
2022,,,Cipru,,,,0.0
2022,,,România,,,,0.0
2022,,,Grecia,,,,0.1
2022,,,Cehia,,,,0.0
2022,,,Alte,,,,0.7
2022,,,,Sexuală,,,2.1
2022,,,,Muncă,,,3.4
2022,,,,Cerșit,,,0.1
2022,,,,Mixt,,,0.0
2022,,,,Mamă-surogat,,,0.0
2022,,,,Antrenarea în activități criminale,,,0.0
2022,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2022,,,,,Urban,,
2022,,,,,Rural,,
2022,,,,,Locuitor al altui stat,,
2022,,,,,Persoană fără loc de trai permanent,,
2022,,,,,,Superioare,
2022,,,,,,Superioare incomplete,
2022,,,,,,Medii speciale,
2022,,,,,,Medii,
2022,,,,,,Medii incomplete,
2022,,,,,,Primare,
2022,,,,,,Alt nivel de educație,
2022,,,,,,Analfabet,
2023,,,,,,,7.0
2023,Bărbați,,,,,,11.9
2023,Femei,,,,,,2.7
2023,,Adulți,,,,,7.5
2023,,Copii,,,,,4.9
2023,,,Republica Moldova,,,,3.7
2023,,,Federația Rusă,,,,0.6
2023,,,Germania,,,,0.0
2023,,,Polonia,,,,0.0
2023,,,Turcia,,,,0.1
2023,,,Italia,,,,0.0
2023,,,Portugalia,,,,0.0
2023,,,Spania,,,,0.0
2023,,,Cipru,,,,0.0
2023,,,România,,,,0.1
2023,,,Grecia,,,,0.1
2023,,,Cehia,,,,0.0
2023,,,Alte,,,,2.2
2023,,,,Sexuală,,,0.9
2023,,,,Muncă,,,3.8
2023,,,,Cerșit,,,0.1
2023,,,,Mixt,,,0.0
2023,,,,Mamă-surogat,,,0.0
2023,,,,Antrenarea în activități criminale,,,2.1
2023,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2023,,,,,Urban,,
2023,,,,,Rural,,
2023,,,,,Locuitor al altui stat,,
2023,,,,,Persoană fără loc de trai permanent,,
2023,,,,,,Superioare,
2023,,,,,,Superioare incomplete,
2023,,,,,,Medii speciale,
2023,,,,,,Medii,
2023,,,,,,Medii incomplete,
2023,,,,,,Primare,
2023,,,,,,Alt nivel de educație,
2023,,,,,,Analfabet,
2024,,,,,,,5.0
2024,Bărbați,,,,,,6.5
2024,Femei,,,,,,3.7
2024,,Adulți,,,,,4.7
2024,,Copii,,,,,6.1
2024,,,Republica Moldova,,,,2.9
2024,,,Federația Rusă,,,,0.1
2024,,,Germania,,,,0.2
2024,,,Polonia,,,,0.2
2024,,,Turcia,,,,0.0
2024,,,Italia,,,,0.0
2024,,,Portugalia,,,,0.0
2024,,,Spania,,,,0.0
2024,,,Cipru,,,,0.0
2024,,,România,,,,0.1
2024,,,Grecia,,,,0.0
2024,,,Cehia,,,,0.3
2024,,,Alte,,,,1.1
2024,,,,Sexuală,,,1.3
2024,,,,Muncă,,,2.4
2024,,,,Cerșit,,,0.3
2024,,,,Mixt,,,0.0
2024,,,,Mamă-surogat,,,0.1
2024,,,,Antrenarea în activități criminale,,,0.8
2024,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2024,,,,,Urban,,
2024,,,,,Rural,,
2024,,,,,Locuitor al altui stat,,
2024,,,,,Persoană fără loc de trai permanent,,
2024,,,,,,Superioare,
2024,,,,,,Superioare incomplete,
2024,,,,,,Medii speciale,
2024,,,,,,Medii,
2024,,,,,,Medii incomplete,
2024,,,,,,Primare,
2024,,,,,,Alt nivel de educație,
2024,,,,,,Analfabet,
2025,,,,,,,4.5
2025,Bărbați,,,,,,2.0
2025,Femei,,,,,,1.5
2025,,Adulți,,,,,3.5
2025,,Copii,,,,,1.0
2025,,,Republica Moldova,,,,3.1
2025,,,Federația Rusă,,,,0.1
2025,,,Germania,,,,0.2
2025,,,Polonia,,,,0.0
2025,,,Turcia,,,,0.0
2025,,,Italia,,,,0.1
2025,,,Portugalia,,,,0.0
2025,,,Spania,,,,0.0
2025,,,Cipru,,,,0.0
2025,,,România,,,,0.0
2025,,,Grecia,,,,0.1
2025,,,Cehia,,,,0.2
2025,,,Alte,,,,0.6
2025,,,,Sexuală,,,1.6
2025,,,,Muncă,,,2.5
2025,,,,Cerșit,,,0.2
2025,,,,Mixt,,,0.0
2025,,,,Mamă-surogat,,,0.1
2025,,,,Antrenarea în activități criminale,,,0.1
2025,,,,"Prelevare de organe, țesuturi sau celule umane",,,0.0
2025,,,,,Urban,,0.46
2025,,,,,Rural,,3.06
2025,,,,,Locuitor al altui stat,,0.0
2025,,,,,Persoană fără loc de trai permanent,,0.0
2025,,,,,,Superioare,0.08
2025,,,,,,Superioare incomplete,0.0
2025,,,,,,Medii speciale,0.0
2025,,,,,,Medii,2.47
2025,,,,,,Medii incomplete,0.58
2025,,,,,,Primare,0.25
2025,,,,,,Alt nivel de educație,0.0
2025,,,,,,Analfabet,0.0
