Year,Urban,Rural,Men,Women,15-24,25-34,35-44,45-54,55+,0-14 / Total,15+ / Total,15+ / Men,15+ / Women,15-24 / Total,15-24 / Men,15-24 / Women,25+ / Total,25+ / Men,25+ / Women,Self-employers in agriculture,Employees in the agricultural sector,Employees in the non-agricultural sector,Self-employers in non-agricultural activities,Pensioners,Others,Value
2011,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,Sex,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,Age group,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,Sex,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,Age group,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2014,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2014,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2014,,,Sex,,,,,,,,,,,,,,,,,,,,,,,7.4
2014,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2014,,,,,Age group,,,,,,,,,,,,,,,,,,,,,7.8
2014,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2014,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2014,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,12.8
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2014,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2014,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,7.8
2014,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2014,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2014,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,14.5
2014,,,,,,,,,,,,,,,,,,,,,,,,,,17.3
2014,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2014,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2014,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2014,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2015,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2015,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2015,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2015,,,Sex,,,,,,,,,,,,,,,,,,,,,,,6.4
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2015,,,,,Age group,,,,,,,,,,,,,,,,,,,,,7.6
2015,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2015,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2015,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2015,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2015,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,10.5
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2015,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,7.6
2015,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2015,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2015,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2015,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2015,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,14.8
2015,,,,,,,,,,,,,,,,,,,,,,,,,,18.7
2015,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2015,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2015,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2016,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2016,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2016,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2016,,,Sex,,,,,,,,,,,,,,,,,,,,,,,5.9
2016,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2016,,,,,Age group,,,,,,,,,,,,,,,,,,,,,6.8
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2016,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2016,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2016,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,10.0
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2016,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,6.8
2016,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2016,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2016,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2016,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2016,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,12.3
2016,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2016,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2016,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2016,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2016,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2017,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2017,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2017,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2017,,,Sex,,,,,,,,,,,,,,,,,,,,,,,6.5
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2017,,,,,Age group,,,,,,,,,,,,,,,,,,,,,9.2
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2017,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2017,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,10.2
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2017,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2017,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,9.2
2017,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2017,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2017,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2017,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,15.6
2017,,,,,,,,,,,,,,,,,,,,,,,,,,16.8
2017,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2017,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2017,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2018,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2018,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.3
2018,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2018,,,Sex,,,,,,,,,,,,,,,,,,,,,,,5.2
2018,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2018,,,,,Age group,,,,,,,,,,,,,,,,,,,,,7.8
2018,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2018,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2018,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,8.1
2018,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2018,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,7.8
2018,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2018,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2018,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,9.4
2018,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2018,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2018,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2018,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2018,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2019,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2019,,,Sex,,,,,,,,,,,,,,,,,,,,,,,5.3
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019,,,,,Age group,,,,,,,,,,,,,,,,,,,,,7.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2019,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2019,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2019,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,9.0
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2019,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,7.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2019,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2019,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2019,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2019,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,10.3
2019,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2019,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2019,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2019,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2019,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2020,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2020,,,Sex,,,,,,,,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2020,,,,,Age group,,,,,,,,,,,,,,,,,,,,,5.5
2020,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2020,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,8.9
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2020,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2020,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,5.5
2020,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2020,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2020,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2020,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,7.5
2020,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2020,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2020,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2020,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2021,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2021,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2021,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021,,,Sex,,,,,,,,,,,,,,,,,,,,,,,4.6
2021,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2021,,,,,Age group,,,,,,,,,,,,,,,,,,,,,5.7
2021,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2021,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2021,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,7.6
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,5.7
2021,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2021,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2021,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,8.0
2021,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2021,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2021,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,Sex,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,Age group,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,Age group 1 and Sex,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,Age group 2 and Sex,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,Employment status,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
